pan_troglodytes ENSPTRG00000010876
pan_paniscus ENSPPAG00000039154
gorilla_gorilla ENSGGOG00000015332
homo_sapiens ENSG00000011600
pongo_abelii ENSPPYG00000009889
nomascus_leucogenys ENSNLEG00000011600
macaca_nemestrina ENSMNEG00000042075
macaca_fascicularis ENSMFAG00000039856
chlorocebus_sabaeus ENSCSAG00000004287
mandrillus_leucophaeus ENSMLEG00000030554
theropithecus_gelada ENSTGEG00000008591
cercocebus_atys ENSCATG00000035896
papio_anubis ENSPANG00000020941
piliocolobus_tephrosceles ENSPTEG00000012312
rhinopithecus_bieti ENSRBIG00000044035
colobus_angolensis_palliatus ENSCANG00000029881
rhinopithecus_roxellana ENSRROG00000030496
macaca_mulatta ENSMMUG00000008004
saimiri_boliviensis_boliviensis ENSSBOG00000035421
cebus_capucinus ENSCCAG00000030200
callithrix_jacchus ENSCJAG00000009777
aotus_nancymaae ENSANAG00000026798
carlito_syrichta ENSTSYG00000000470
propithecus_coquereli ENSPCOG00000020097
microcebus_murinus ENSMICG00000032551
prolemur_simus ENSPSMG00000001294
otolemur_garnettii ENSOGAG00000004198
chinchilla_lanigera ENSCLAG00000012735
octodon_degus ENSODEG00000015961
heterocephalus_glaber_male ENSHGLG00100004627
heterocephalus_glaber_female ENSHGLG00000008483
fukomys_damarensis ENSFDAG00000013023
cavia_aperea ENSCAPG00000006679
cavia_porcellus ENSCPOG00000020175
ictidomys_tridecemlineatus ENSSTOG00000024892
urocitellus_parryii ENSUPAG00010012463
marmota_marmota_marmota ENSMMMG00000004857
cricetulus_griseus_crigri-picr ENSCGRG00015016587
cricetulus_griseus_chok1gshd ENSCGRG00001019738
cricetulus_griseus_crigri ENSCGRG00000010794
mesocricetus_auratus ENSMAUG00000021701
peromyscus_maniculatus_bairdii ENSPEMG00000004463
microtus_ochrogaster ENSMOCG00000002907
mus_musculus ENSMUSG00000030579
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030613
mus_spicilegus ENSMSIG00000004839
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029517
mus_pahari MGP_PahariEiJ_G0012751
rattus_norvegicus ENSRNOG00000020845
meriones_unguiculatus ENSMUGG00000012505
nannospalax_galili ENSNGAG00000000834
jaculus_jaculus ENSJJAG00000017713
dipodomys_ordii ENSDORG00000003145
oryctolagus_cuniculus ENSOCUG00000024755
ochotona_princeps ENSOPRG00000010537
tursiops_truncatus ENSTTRG00000003911
sus_scrofa ENSSSCG00000002919
ovis_aries ENSOARG00000005167
capra_hircus ENSCHIG00000011501
bos_mutus ENSBMUG00000017702
bison_bison_bison ENSBBBG00000022448
sorex_araneus ENSSARG00000003687
pteropus_vampyrus ENSPVAG00000012868
myotis_lucifugus ENSMLUG00000016013
equus_asinus_asinus ENSEASG00005001444
mustela_putorius_furo ENSMPUG00000005887
neovison_vison ENSNVIG00000016485
canis_lupus_dingo ENSCAFG00020018175
canis_lupus_familiaris ENSCAFG00000006697
vulpes_vulpes ENSVVUG00000013686
ursus_maritimus ENSUMAG00000020741
ursus_americanus ENSUAMG00000020586
ailuropoda_melanoleuca ENSAMEG00000000856
panthera_tigris_altaica ENSPTIG00000016201
panthera_pardus ENSPPRG00000013904
felis_catus ENSFCAG00000006617
bos_taurus ENSBTAG00000007338
castor_canadensis ENSCCNG00000009042
loxodonta_africana ENSLAFG00000000021
procavia_capensis ENSPCAG00000016901
dasypus_novemcinctus ENSDNOG00000046032
erinaceus_europaeus ENSEEUG00000013783
phascolarctos_cinereus ENSPCIG00000015493
notamacropus_eugenii ENSMEUG00000013732
monodelphis_domestica ENSMODG00000014057
ornithorhynchus_anatinus ENSOANG00000019717
ornithorhynchus_anatinus ENSOANG00000020309
danio_rerio ENSDARG00000094894
