chlorocebus_sabaeus ENSCSAG00000006731
pongo_abelii ENSPPYG00000004435
aotus_nancymaae ENSANAG00000026526
propithecus_coquereli ENSPCOG00000013491
prolemur_simus ENSPSMG00000008950
microcebus_murinus ENSMICG00000012891
otolemur_garnettii ENSOGAG00000006469
chinchilla_lanigera ENSCLAG00000002175
octodon_degus ENSODEG00000003269
cavia_porcellus ENSCPOG00000005301
cavia_aperea ENSCAPG00000012878
heterocephalus_glaber_male ENSHGLG00100003020
heterocephalus_glaber_female ENSHGLG00000003895
fukomys_damarensis ENSFDAG00000000942
peromyscus_maniculatus_bairdii ENSPEMG00000026110
urocitellus_parryii ENSUPAG00010003457
spermophilus_dauricus ENSSDAG00000000505
ictidomys_tridecemlineatus ENSSTOG00000016301
marmota_marmota_marmota ENSMMMG00000022650
castor_canadensis ENSCCNG00000013006
dipodomys_ordii ENSDORG00000028155
peromyscus_maniculatus_bairdii ENSPEMG00000027302
microtus_ochrogaster ENSMOCG00000006739
cricetulus_griseus_crigri ENSCGRG00000014241
cricetulus_griseus_crigri-picr ENSCGRG00015003386
cricetulus_griseus_chok1gshd ENSCGRG00001013047
mesocricetus_auratus ENSMAUG00000009292
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021102
mus_spicilegus ENSMSIG00000026985
mus_musculus ENSMUSG00000023169
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020206
mus_pahari MGP_PahariEiJ_G0020210
rattus_norvegicus ENSRNOG00000005291
meriones_unguiculatus ENSMUGG00000002964
oryctolagus_cuniculus ENSOCUG00000005164
ochotona_princeps ENSOPRG00000013349
nannospalax_galili ENSNGAG00000019998
jaculus_jaculus ENSJJAG00000013537
equus_caballus ENSECAG00000007576
equus_asinus_asinus ENSEASG00005023505
myotis_lucifugus ENSMLUG00000004812
capra_hircus ENSCHIG00000001165
ovis_aries ENSOARG00000019508
bos_mutus ENSBMUG00000004329
bos_taurus ENSBTAG00000000859
bison_bison_bison ENSBBBG00000013825
sus_scrofa ENSSSCG00000000807
ursus_americanus ENSUAMG00000023533
ursus_maritimus ENSUMAG00000024309
ailuropoda_melanoleuca ENSAMEG00000006789
mustela_putorius_furo ENSMPUG00000000386
neovison_vison ENSNVIG00000006047
canis_lupus_dingo ENSCAFG00020010878
canis_lupus_familiaris ENSCAFG00000009286
vulpes_vulpes ENSVVUG00000017089
dasypus_novemcinctus ENSDNOG00000018363
loxodonta_africana ENSLAFG00000005185
rhinopithecus_bieti ENSRBIG00000034735
piliocolobus_tephrosceles ENSPTEG00000015892
colobus_angolensis_palliatus ENSCANG00000028582
cercocebus_atys ENSCATG00000031471
mandrillus_leucophaeus ENSMLEG00000039431
theropithecus_gelada ENSTGEG00000023145
macaca_mulatta ENSMMUG00000011999
macaca_fascicularis ENSMFAG00000009753
macaca_nemestrina ENSMNEG00000034047
papio_anubis ENSPANG00000015831
gorilla_gorilla ENSGGOG00000000005
homo_sapiens ENSG00000111371
pan_troglodytes ENSPTRG00000004855
pan_paniscus ENSPPAG00000027005
nomascus_leucogenys ENSNLEG00000029941
saimiri_boliviensis_boliviensis ENSSBOG00000025476
cebus_capucinus ENSCCAG00000019617
callithrix_jacchus ENSCJAG00000012989
carlito_syrichta ENSTSYG00000006429
panthera_pardus ENSPPRG00000012581
panthera_tigris_altaica ENSPTIG00000009524
felis_catus ENSFCAG00000013535
tursiops_truncatus ENSTTRG00000017104
vicugna_pacos ENSVPAG00000004788
sorex_araneus ENSSARG00000002033
erinaceus_europaeus ENSEEUG00000001645
pteropus_vampyrus ENSPVAG00000009843
tupaia_belangeri ENSTBEG00000015317
procavia_capensis ENSPCAG00000004234
echinops_telfairi ENSETEG00000013319
choloepus_hoffmanni ENSCHOG00000010166
ornithorhynchus_anatinus ENSOANG00000006345
anolis_carolinensis ENSACAG00000002285
pogona_vitticeps ENSPVIG00000009724
notechis_scutatus ENSNSUG00000006953
salvator_merianae ENSSMRG00000016075
sphenodon_punctatus ENSSPUG00000008463
anas_platyrhynchos_platyrhynchos ENSAPLG00000010056
anser_brachyrhynchus ENSABRG00000004840
meleagris_gallopavo ENSMGAG00000009687
gallus_gallus ENSGALG00000009698
coturnix_japonica ENSCJPG00005013425
numida_meleagris ENSNMEG00000011734
manacus_vitellinus ENSMVIG00005005640
lepidothrix_coronata ENSLCOG00000014496
taeniopygia_guttata ENSTGUG00000006103
lonchura_striata_domestica ENSLSDG00000016068
serinus_canaria ENSSCAG00000000243
zonotrichia_albicollis ENSZALG00000009731
junco_hyemalis ENSJHYG00000017230
parus_major ENSPMJG00000011062
cyanistes_caeruleus ENSCCEG00000009286
ficedula_albicollis ENSFALG00000010150
melopsittacus_undulatus ENSMUNG00000015859
calidris_pygmaea ENSCPGG00000019511
calidris_pugnax ENSCPUG00000005021
apteryx_haastii ENSAHAG00000004485
apteryx_rowi ENSARWG00000007120
apteryx_owenii ENSAOWG00000013344
dromaius_novaehollandiae ENSDNVG00000008229
nothoprocta_perdicaria ENSNPEG00000004530
crocodylus_porosus ENSCPRG00005008184
gopherus_agassizii ENSGAGG00000002540
chelonoidis_abingdonii ENSCABG00000006003
chrysemys_picta_bellii ENSCPBG00000015327
pelodiscus_sinensis ENSPSIG00000017990
notamacropus_eugenii ENSMEUG00000008025
sarcophilus_harrisii ENSSHAG00000008623
monodelphis_domestica ENSMODG00000025456
latimeria_chalumnae ENSLACG00000000949
lepisosteus_oculatus ENSLOCG00000016419
