electrophorus_electricus ENSEEEG00000001991
paramormyrops_kingsleyae ENSPKIG00000021395
eptatretus_burgeri ENSEBUG00000012179
denticeps_clupeoides ENSDCDG00000005351
clupea_harengus ENSCHAG00000011080
astyanax_mexicanus ENSAMXG00000011411
astyanax_mexicanus ENSAMXG00005019853
pygocentrus_nattereri ENSPNAG00000016447
ictalurus_punctatus ENSIPUG00000008768
danio_rerio ENSDARG00000076250
hucho_hucho ENSHHUG00000047429
hucho_hucho ENSHHUG00000003490
esox_lucius ENSELUG00000019855
takifugu_rubripes ENSTRUG00000011541
tetraodon_nigroviridis ENSTNIG00000006010
labrus_bergylta ENSLBEG00000003369
betta_splendens ENSBSLG00000004807
larimichthys_crocea ENSLCRG00005012215
labrus_bergylta ENSLBEG00000021098
gasterosteus_aculeatus ENSGACG00000007528
mastacembelus_armatus ENSMAMG00000001536
monopterus_albus ENSMALG00000009830
anabas_testudineus ENSATEG00000015032
amphiprion_percula ENSAPEG00000003461
amphiprion_ocellaris ENSAOCG00000011464
acanthochromis_polyacanthus ENSAPOG00000024369
stegastes_partitus ENSSPAG00000002442
parambassis_ranga ENSPRNG00000016243
oryzias_latipes ENSORLG00020020049
oryzias_latipes ENSORLG00000005076
oryzias_latipes ENSORLG00015008479
oryzias_melastigma ENSOMEG00000023457
kryptolebias_marmoratus ENSKMAG00000021106
xiphophorus_maculatus ENSXMAG00000015129
xiphophorus_couchianus ENSXCOG00000005178
gambusia_affinis ENSGAFG00000013735
poecilia_formosa ENSPFOG00000018924
poecilia_latipinna ENSPLAG00000022907
poecilia_mexicana ENSPMEG00000006546
poecilia_reticulata ENSPREG00000018728
cyprinodon_variegatus ENSCVAG00000006168
fundulus_heteroclitus ENSFHEG00000022470
gouania_willdenowi ENSGWIG00000012729
haplochromis_burtoni ENSHBUG00000010345
astatotilapia_calliptera ENSACLG00000017818
maylandia_zebra ENSMZEG00005004819
oreochromis_niloticus ENSONIG00000015021
neolamprologus_brichardi ENSNBRG00000012335
pundamilia_nyererei ENSPNYG00000010579
amphilophus_citrinellus ENSACIG00000005549
seriola_lalandi ENSSLDG00000001784
seriola_dumerili ENSSDUG00000022228
scophthalmus_maximus ENSSMAG00000000942
lates_calcarifer ENSLCAG00010000419
cynoglossus_semilaevis ENSCSEG00000017898
mola_mola ENSMMOG00000000102
cottoperca_gobio ENSCGOG00000008186
hippocampus_comes ENSHCOG00000010976
periophthalmus_magnuspinnatus ENSPMGG00000015499
gadus_morhua ENSGMOG00000010090
lepisosteus_oculatus ENSLOCG00000002094
scleropages_formosus ENSSFOG00015009014
erpetoichthys_calabaricus ENSECRG00000001298
anolis_carolinensis ENSACAG00000002155
pogona_vitticeps ENSPVIG00000023306
salvator_merianae ENSSMRG00000019166
sphenodon_punctatus ENSSPUG00000002899
anser_brachyrhynchus ENSABRG00000018279
anas_platyrhynchos ENSAPLG00000013969
gallus_gallus ENSGALG00000012576
coturnix_japonica ENSCJPG00005009383
numida_meleagris ENSNMEG00000017390
parus_major ENSPMJG00000000105
cyanistes_caeruleus ENSCCEG00000010488
serinus_canaria ENSSCAG00000004821
zonotrichia_albicollis ENSZALG00000011594
ficedula_albicollis ENSFALG00000003611
taeniopygia_guttata ENSTGUG00000003216
lonchura_striata ENSLSDG00000017435
lepidothrix_coronata ENSLCOG00000006892
manacus_vitellinus ENSMVIG00005009551
melopsittacus_undulatus ENSMUNG00000012508
calidris_pygmaea ENSCPGG00000013069
calidris_pugnax ENSCPUG00000014722
dromaius_novaehollandiae ENSDNVG00000010253
crocodylus_porosus ENSCPRG00005006676
gopherus_agassizii ENSGAGG00000007338
chelonoidis_abingdonii ENSCABG00000011376
chrysemys_picta ENSCPBG00000019037
pelodiscus_sinensis ENSPSIG00000017699
vombatus_ursinus ENSVURG00010015787
vombatus_ursinus ENSVURG00010020018
phascolarctos_cinereus ENSPCIG00000027655
notamacropus_eugenii ENSMEUG00000016412
sarcophilus_harrisii ENSSHAG00000000688
monodelphis_domestica ENSMODG00000009037
dasypus_novemcinctus ENSDNOG00000006002
choloepus_hoffmanni ENSCHOG00000001831
loxodonta_africana ENSLAFG00000010552
ovis_aries ENSOARG00000009073
capra_hircus ENSCHIG00000020336
bos_indicus ENSBIXG00005020475
bos_indicus ENSBIXG00000024488
bos_indicus ENSBIXG00005005454
bos_indicus ENSBIXG00000010121
bos_taurus ENSBTAG00000021751
bos_mutus ENSBMUG00000018328
bison_bison ENSBBBG00000002310
sus_scrofa ENSSSCG00000040707
tursiops_truncatus ENSTTRG00000002061
vicugna_pacos ENSVPAG00000004680
vicugna_pacos ENSVPAG00000006791
equus_caballus ENSECAG00000000324
equus_asinus ENSEASG00005015967
pteropus_vampyrus ENSPVAG00000003682
myotis_lucifugus ENSMLUG00000013108
ursus_americanus ENSUAMG00000021591
ursus_maritimus ENSUMAG00000004670
ailuropoda_melanoleuca ENSAMEG00000009467
mustela_putorius ENSMPUG00000013070
canis_lupus ENSCAFG00020023859
canis_lupus ENSCAFG00000001453
vulpes_vulpes ENSVVUG00000029736
panthera_tigris ENSPTIG00000006676
panthera_pardus ENSPPRG00000008487
felis_catus ENSFCAG00000002416
erinaceus_europaeus ENSEEUG00000008455
castor_canadensis ENSCCNG00000008236
dipodomys_ordii ENSDORG00000015570
mus_spretus MGP_SPRETEiJ_G0027075
mus_spicilegus ENSMSIG00000031056
mus_musculus ENSMUSG00000043003
mus_caroli MGP_CAROLIEiJ_G0026109
mus_pahari MGP_PahariEiJ_G0028447
rattus_norvegicus ENSRNOG00000024190
meriones_unguiculatus ENSMUGG00000026301
peromyscus_maniculatus ENSPEMG00000002797
microtus_ochrogaster ENSMOCG00000000943
cricetulus_griseus ENSCGRG00000006455
cricetulus_griseus ENSCGRG00015012345
cricetulus_griseus ENSCGRG00001001324
mesocricetus_auratus ENSMAUG00000010820
nannospalax_galili ENSNGAG00000014878
jaculus_jaculus ENSJJAG00000023215
heterocephalus_glaber ENSHGLG00000000399
heterocephalus_glaber ENSHGLG00100008043
fukomys_damarensis ENSFDAG00000013428
cavia_porcellus ENSCPOG00000005004
cavia_aperea ENSCAPG00000010585
octodon_degus ENSODEG00000002594
