ictalurus_punctatus ENSIPUG00000019406
pygocentrus_nattereri ENSPNAG00000017417
tetraodon_nigroviridis ENSTNIG00000015323
takifugu_rubripes ENSTRUG00000025231
mola_mola ENSMMOG00000010617
labrus_bergylta ENSLBEG00000000943
seriola_lalandi_dorsalis ENSSLDG00000010298
seriola_dumerili ENSSDUG00000015612
hippocampus_comes ENSHCOG00000001266
periophthalmus_magnuspinnatus ENSPMGG00000017219
poecilia_latipinna ENSPLAG00000009907
poecilia_mexicana ENSPMEG00000004775
cyprinodon_variegatus ENSCVAG00000017312
haplochromis_burtoni ENSHBUG00000006113
maylandia_zebra ENSMZEG00005006851
astatotilapia_calliptera ENSACLG00000023377
pundamilia_nyererei ENSPNYG00000017184
neolamprologus_brichardi ENSNBRG00000011046
amphilophus_citrinellus ENSACIG00000014920
amphiprion_ocellaris ENSAOCG00000009851
amphiprion_percula ENSAPEG00000007122
acanthochromis_polyacanthus ENSAPOG00000005082
seriola_dumerili ENSSDUG00000005295
seriola_lalandi_dorsalis ENSSLDG00000018966
scophthalmus_maximus ENSSMAG00000011289
monopterus_albus ENSMALG00000007947
mastacembelus_armatus ENSMAMG00000019605
anabas_testudineus ENSATEG00000024186
takifugu_rubripes ENSTRUG00000024626
tetraodon_nigroviridis ENSTNIG00000010626
mola_mola ENSMMOG00000000371
labrus_bergylta ENSLBEG00000018105
crocodylus_porosus ENSCPRG00005008936
