bos_mutus ENSBMUG00000008629
ovis_aries ENSOARG00000004082
sus_scrofa ENSSSCG00000029743
pteropus_vampyrus ENSPVAG00000012939
myotis_lucifugus ENSMLUG00000000706
ursus_americanus ENSUAMG00000010177
ursus_maritimus ENSUMAG00000024909
ailuropoda_melanoleuca ENSAMEG00000012723
neovison_vison ENSNVIG00000008939
canis_lupus_familiaris ENSCAFG00000024886
canis_lupus_dingo ENSCAFG00020012538
vulpes_vulpes ENSVVUG00000029650
panthera_tigris_altaica ENSPTIG00000010741
panthera_pardus ENSPPRG00000009819
felis_catus ENSFCAG00000046761
bos_taurus ENSBTAG00000049568
bison_bison_bison ENSBBBG00000021432
capra_hircus ENSCHIG00000015837
equus_asinus_asinus ENSEASG00005022341
equus_caballus ENSECAG00000034053
cebus_capucinus ENSCCAG00000003425
carlito_syrichta ENSTSYG00000036233
dipodomys_ordii ENSDORG00000009515
castor_canadensis ENSCCNG00000002041
octodon_degus ENSODEG00000002316
chinchilla_lanigera ENSCLAG00000016856
cavia_porcellus ENSCPOG00000039861
spermophilus_dauricus ENSSDAG00000009261
marmota_marmota_marmota ENSMMMG00000023493
ictidomys_tridecemlineatus ENSSTOG00000021681
cricetulus_griseus_chok1gshd ENSCGRG00001010132
cricetulus_griseus_crigri ENSCGRG00000015697
mesocricetus_auratus ENSMAUG00000012053
microtus_ochrogaster ENSMOCG00000004756
peromyscus_maniculatus_bairdii ENSPEMG00000011769
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031984
mus_spicilegus ENSMSIG00000029666
mus_musculus ENSMUSG00000079842
mus_musculus ENSMUSG00000110641
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030875
mus_pahari MGP_PahariEiJ_G0021340
rattus_norvegicus ENSRNOG00000013957
meriones_unguiculatus ENSMUGG00000002878
oryctolagus_cuniculus ENSOCUG00000029027
ursus_maritimus ENSUMAG00000024908
ailuropoda_melanoleuca ENSAMEG00000012719
neovison_vison ENSNVIG00000008951
mustela_putorius_furo ENSMPUG00000002521
canis_lupus_dingo ENSCAFG00020012539
canis_lupus_familiaris ENSCAFG00000008558
vulpes_vulpes ENSVVUG00000029651
panthera_tigris_altaica ENSPTIG00000010735
panthera_pardus ENSPPRG00000009761
felis_catus ENSFCAG00000033074
bos_taurus ENSBTAG00000034952
bison_bison_bison ENSBBBG00000021424
capra_hircus ENSCHIG00000010619
sus_scrofa ENSSSCG00000032248
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031983
mus_spicilegus ENSMSIG00000029664
mus_musculus ENSMUSG00000059463
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030874
mus_pahari MGP_PahariEiJ_G0021339
rattus_norvegicus ENSRNOG00000031111
nannospalax_galili ENSNGAG00000004832
chinchilla_lanigera ENSCLAG00000015670
octodon_degus ENSODEG00000002244
cavia_porcellus ENSCPOG00000026053
fukomys_damarensis ENSFDAG00000009328
castor_canadensis ENSCCNG00000002056
spermophilus_dauricus ENSSDAG00000009267
marmota_marmota_marmota ENSMMMG00000023495
ictidomys_tridecemlineatus ENSSTOG00000033625
tupaia_belangeri ENSTBEG00000013217
otolemur_garnettii ENSOGAG00000009087
gorilla_gorilla ENSGGOG00000016364
pan_troglodytes ENSPTRG00000019963
macaca_fascicularis ENSMFAG00000039484
macaca_mulatta ENSMMUG00000007467
papio_anubis ENSPANG00000001205
cercocebus_atys ENSCATG00000030401
mandrillus_leucophaeus ENSMLEG00000033122
macaca_nemestrina ENSMNEG00000029228
chlorocebus_sabaeus ENSCSAG00000016975
rhinopithecus_roxellana ENSRROG00000043860
cebus_capucinus ENSCCAG00000036159
saimiri_boliviensis_boliviensis ENSSBOG00000029867
aotus_nancymaae ENSANAG00000025039
propithecus_coquereli ENSPCOG00000028171
prolemur_simus ENSPSMG00000004219
microcebus_murinus ENSMICG00000042461
rhinopithecus_bieti ENSRBIG00000042711
colobus_angolensis_palliatus ENSCANG00000042272
piliocolobus_tephrosceles ENSPTEG00000033822
theropithecus_gelada ENSTGEG00000014669
gorilla_gorilla ENSGGOG00000023489
homo_sapiens ENSG00000178287
pongo_abelii ENSPPYG00000018336
homo_sapiens ENSG00000164871
nomascus_leucogenys ENSNLEG00000000419
callithrix_jacchus ENSCJAG00000003899
loxodonta_africana ENSLAFG00000027291
