saimiri_boliviensis_boliviensis ENSSBOG00000021436
callithrix_jacchus ENSCJAG00000042835
cebus_capucinus ENSCCAG00000015804
aotus_nancymaae ENSANAG00000031209
pan_troglodytes ENSPTRG00000047668
pan_paniscus ENSPPAG00000028839
gorilla_gorilla ENSGGOG00000036913
homo_sapiens ENSG00000281991
nomascus_leucogenys ENSNLEG00000035182
rhinopithecus_bieti ENSRBIG00000029178
rhinopithecus_roxellana ENSRROG00000041633
colobus_angolensis_palliatus ENSCANG00000029341
piliocolobus_tephrosceles ENSPTEG00000026462
theropithecus_gelada ENSTGEG00000011656
macaca_fascicularis ENSMFAG00000041623
cercocebus_atys ENSCATG00000029637
papio_anubis ENSPANG00000030750
mandrillus_leucophaeus ENSMLEG00000036573
carlito_syrichta ENSTSYG00000032590
octodon_degus ENSODEG00000015290
heterocephalus_glaber_female ENSHGLG00000011528
dipodomys_ordii ENSDORG00000024368
bison_bison_bison ENSBBBG00000016113
bos_mutus ENSBMUG00000021642
panthera_tigris_altaica ENSPTIG00000008389
phascolarctos_cinereus ENSPCIG00000016795
