sphenodon_punctatus ENSSPUG00000006502
anolis_carolinensis ENSACAG00000006329
serinus_canaria ENSSCAG00000013254
ficedula_albicollis ENSFALG00000008559
lonchura_striata_domestica ENSLSDG00000016326
junco_hyemalis ENSJHYG00000002777
lepidothrix_coronata ENSLCOG00000007965
calidris_pygmaea ENSCPGG00000015379
calidris_pugnax ENSCPUG00000009437
gallus_gallus ENSGALG00000003348
meleagris_gallopavo ENSMGAG00000004718
coturnix_japonica ENSCJPG00005011214
numida_meleagris ENSNMEG00000018010
anas_platyrhynchos_platyrhynchos ENSAPLG00000022919
apteryx_rowi ENSARWG00000005037
apteryx_owenii ENSAOWG00000010543
apteryx_haastii ENSAHAG00000019698
dromaius_novaehollandiae ENSDNVG00000015114
nothoprocta_perdicaria ENSNPEG00000004702
crocodylus_porosus ENSCPRG00005013547
salvator_merianae ENSSMRG00000006528
notechis_scutatus ENSNSUG00000014794
gopherus_agassizii ENSGAGG00000000541
chelonoidis_abingdonii ENSCABG00000018255
chrysemys_picta_bellii ENSCPBG00000022646
notamacropus_eugenii ENSMEUG00000008396
phascolarctos_cinereus ENSPCIG00000033684
monodelphis_domestica ENSMODG00000005197
procavia_capensis ENSPCAG00000004581
loxodonta_africana ENSLAFG00000028186
echinops_telfairi ENSETEG00000010393
pteropus_vampyrus ENSPVAG00000017020
myotis_lucifugus ENSMLUG00000003508
sus_scrofa ENSSSCG00000029179
vicugna_pacos ENSVPAG00000004446
bos_taurus ENSBTAG00000010735
bos_mutus ENSBMUG00000019505
bison_bison_bison ENSBBBG00000010346
ovis_aries ENSOARG00000002172
capra_hircus ENSCHIG00000009453
tursiops_truncatus ENSTTRG00000005428
panthera_pardus ENSPPRG00000015618
panthera_tigris_altaica ENSPTIG00000011754
felis_catus ENSFCAG00000007190
panthera_pardus ENSPPRG00000022183
ursus_americanus ENSUAMG00000005140
ursus_maritimus ENSUMAG00000024506
ailuropoda_melanoleuca ENSAMEG00000007002
neovison_vison ENSNVIG00000021567
mustela_putorius_furo ENSMPUG00000012548
vulpes_vulpes ENSVVUG00000001681
canis_lupus_dingo ENSCAFG00020011512
canis_lupus_dingo ENSCAFG00020009963
canis_lupus_familiaris ENSCAFG00000002010
vulpes_vulpes ENSVVUG00000020716
equus_asinus_asinus ENSEASG00005011992
equus_caballus ENSECAG00000020914
ochotona_princeps ENSOPRG00000003572
pan_troglodytes ENSPTRG00000017561
pan_troglodytes ENSPTRG00000048090
pan_paniscus ENSPPAG00000037407
homo_sapiens ENSG00000146066
gorilla_gorilla ENSGGOG00000014339
pongo_abelii ENSPPYG00000016071
nomascus_leucogenys ENSNLEG00000012501
colobus_angolensis_palliatus ENSCANG00000035282
piliocolobus_tephrosceles ENSPTEG00000030476
rhinopithecus_roxellana ENSRROG00000018385
rhinopithecus_roxellana ENSRROG00000039570
rhinopithecus_bieti ENSRBIG00000040150
cercocebus_atys ENSCATG00000025158
mandrillus_leucophaeus ENSMLEG00000035593
theropithecus_gelada ENSTGEG00000014125
papio_anubis ENSPANG00000001916
macaca_fascicularis ENSMFAG00000034686
macaca_nemestrina ENSMNEG00000036123
chlorocebus_sabaeus ENSCSAG00000009364
chlorocebus_sabaeus ENSCSAG00000019760
macaca_fascicularis ENSMFAG00000003732
macaca_mulatta ENSMMUG00000047612
macaca_nemestrina ENSMNEG00000037307
papio_anubis ENSPANG00000031996
mandrillus_leucophaeus ENSMLEG00000033233
pan_troglodytes ENSPTRG00000007254
pan_paniscus ENSPPAG00000012835
homo_sapiens ENSG00000175202
gorilla_gorilla ENSGGOG00000015337
cebus_capucinus ENSCCAG00000003627
cebus_capucinus ENSCCAG00000031161
saimiri_boliviensis_boliviensis ENSSBOG00000025283
callithrix_jacchus ENSCJAG00000041830
aotus_nancymaae ENSANAG00000020645
piliocolobus_tephrosceles ENSPTEG00000020897
carlito_syrichta ENSTSYG00000029363
carlito_syrichta ENSTSYG00000011427
propithecus_coquereli ENSPCOG00000023215
prolemur_simus ENSPSMG00000008387
microcebus_murinus ENSMICG00000046823
otolemur_garnettii ENSOGAG00000000823
rattus_norvegicus ENSRNOG00000017372
rattus_norvegicus ENSRNOG00000001071
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019419
mus_musculus ENSMUSG00000025868
mus_spicilegus ENSMSIG00000007929
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018539
mus_pahari MGP_PahariEiJ_G0019604
meriones_unguiculatus ENSMUGG00000017101
cricetulus_griseus_crigri-picr ENSCGRG00015018783
cricetulus_griseus_chok1gshd ENSCGRG00001018479
cricetulus_griseus_crigri ENSCGRG00000012595
mesocricetus_auratus ENSMAUG00000001426
microtus_ochrogaster ENSMOCG00000013069
peromyscus_maniculatus_bairdii ENSPEMG00000029522
nannospalax_galili ENSNGAG00000017723
jaculus_jaculus ENSJJAG00000020174
castor_canadensis ENSCCNG00000017311
castor_canadensis ENSCCNG00000028486
ictidomys_tridecemlineatus ENSSTOG00000004886
urocitellus_parryii ENSUPAG00010013000
spermophilus_dauricus ENSSDAG00000003771
spermophilus_dauricus ENSSDAG00000003751
marmota_marmota_marmota ENSMMMG00000001675
chinchilla_lanigera ENSCLAG00000011930
cavia_porcellus ENSCPOG00000034924
octodon_degus ENSODEG00000009305
heterocephalus_glaber_male ENSHGLG00100012198
heterocephalus_glaber_female ENSHGLG00000013118
fukomys_damarensis ENSFDAG00000014926
equus_caballus ENSECAG00000029896
dipodomys_ordii ENSDORG00000028196
erinaceus_europaeus ENSEEUG00000003933
sorex_araneus ENSSARG00000006688
dasypus_novemcinctus ENSDNOG00000002681
ornithorhynchus_anatinus ENSOANG00000015385
xenopus_tropicalis ENSXETG00000027971
latimeria_chalumnae ENSLACG00000014941
paramormyrops_kingsleyae ENSPKIG00000022878
scleropages_formosus ENSSFOG00015000843
pygocentrus_nattereri ENSPNAG00000002340
astyanax_mexicanus ENSAMXG00000003114
ictalurus_punctatus ENSIPUG00000016523
danio_rerio ENSDARG00000052371
oryzias_latipes ENSORLG00020007992
oryzias_latipes ENSORLG00000028107
oryzias_latipes_asm223469v1 ENSORLG00015005183
oryzias_melastigma ENSOMEG00000009291
kryptolebias_marmoratus ENSKMAG00000018950
amphiprion_ocellaris ENSAOCG00000014612
amphiprion_percula ENSAPEG00000013185
acanthochromis_polyacanthus ENSAPOG00000016367
stegastes_partitus ENSSPAG00000009832
maylandia_zebra ENSMZEG00005009838
astatotilapia_calliptera ENSACLG00000003550
pundamilia_nyererei ENSPNYG00000000206
haplochromis_burtoni ENSHBUG00000010684
neolamprologus_brichardi ENSNBRG00000015357
oreochromis_niloticus ENSONIG00000017764
amphilophus_citrinellus ENSACIG00000008824
mastacembelus_armatus ENSMAMG00000011377
labrus_bergylta ENSLBEG00000027952
gasterosteus_aculeatus ENSGACG00000018350
