periophthalmus_magnuspinnatus ENSPMGG00000022224
hippocampus_comes ENSHCOG00000002278
cynoglossus_semilaevis ENSCSEG00000019815
mola_mola ENSMMOG00000020315
oryzias_latipes ENSORLG00020014613
oryzias_latipes ENSORLG00000022582
oryzias_latipes_asm223469v1 ENSORLG00015010414
oryzias_melastigma ENSOMEG00000009537
amphiprion_ocellaris ENSAOCG00000009363
amphiprion_percula ENSAPEG00000023176
acanthochromis_polyacanthus ENSAPOG00000021384
stegastes_partitus ENSSPAG00000016487
xiphophorus_maculatus ENSXMAG00000003369
xiphophorus_couchianus ENSXCOG00000010727
poecilia_formosa ENSPFOG00000004270
poecilia_mexicana ENSPMEG00000016025
poecilia_reticulata ENSPREG00000012769
gambusia_affinis ENSGAFG00000016036
cyprinodon_variegatus ENSCVAG00000002293
kryptolebias_marmoratus ENSKMAG00000022301
astatotilapia_calliptera ENSACLG00000002169
maylandia_zebra ENSMZEG00005009291
haplochromis_burtoni ENSHBUG00000009462
pundamilia_nyererei ENSPNYG00000021869
oreochromis_niloticus ENSONIG00000002347
amphilophus_citrinellus ENSACIG00000004257
monopterus_albus ENSMALG00000016815
mastacembelus_armatus ENSMAMG00000003529
scophthalmus_maximus ENSSMAG00000009603
anabas_testudineus ENSATEG00000005494
labrus_bergylta ENSLBEG00000006325
seriola_dumerili ENSSDUG00000010190
esox_lucius ENSELUG00000021926
pygocentrus_nattereri ENSPNAG00000022029
astyanax_mexicanus ENSAMXG00000040655
ictalurus_punctatus ENSIPUG00000024899
danio_rerio ENSDARG00000042908
scleropages_formosus ENSSFOG00015019079
paramormyrops_kingsleyae ENSPKIG00000009561
lepisosteus_oculatus ENSLOCG00000003473
astatotilapia_calliptera ENSACLG00000022577
maylandia_zebra ENSMZEG00005006000
haplochromis_burtoni ENSHBUG00000001662
pundamilia_nyererei ENSPNYG00000000072
oreochromis_niloticus ENSONIG00000015762
monopterus_albus ENSMALG00000011527
kryptolebias_marmoratus ENSKMAG00000014255
hippocampus_comes ENSHCOG00000004430
astyanax_mexicanus ENSAMXG00000030327
pygocentrus_nattereri ENSPNAG00000028030
ictalurus_punctatus ENSIPUG00000012274
danio_rerio ENSDARG00000029443
paramormyrops_kingsleyae ENSPKIG00000001994
chinchilla_lanigera ENSCLAG00000005020
cavia_porcellus ENSCPOG00000035131
fukomys_damarensis ENSFDAG00000008631
urocitellus_parryii ENSUPAG00010021728
mus_musculus ENSMUSG00000062007
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032332
mus_spicilegus ENSMSIG00000023799
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031212
mus_pahari MGP_PahariEiJ_G0021677
rattus_norvegicus ENSRNOG00000023614
meriones_unguiculatus ENSMUGG00000013764
cricetulus_griseus_crigri-picr ENSCGRG00015007146
cricetulus_griseus_chok1gshd ENSCGRG00001018531
cricetulus_griseus_crigri ENSCGRG00000014144
mesocricetus_auratus ENSMAUG00000003927
peromyscus_maniculatus_bairdii ENSPEMG00000023449
microtus_ochrogaster ENSMOCG00000015954
castor_canadensis ENSCCNG00000014579
prolemur_simus ENSPSMG00000018732
otolemur_garnettii ENSOGAG00000011948
pan_paniscus ENSPPAG00000031940
pan_troglodytes ENSPTRG00000023880
homo_sapiens ENSG00000196684
gorilla_gorilla ENSGGOG00000000044
pongo_abelii ENSPPYG00000009683
nomascus_leucogenys ENSNLEG00000005429
colobus_angolensis_palliatus ENSCANG00000043437
piliocolobus_tephrosceles ENSPTEG00000034611
rhinopithecus_roxellana ENSRROG00000026918
rhinopithecus_bieti ENSRBIG00000003663
macaca_fascicularis ENSMFAG00000039402
macaca_nemestrina ENSMNEG00000035610
mandrillus_leucophaeus ENSMLEG00000039334
cercocebus_atys ENSCATG00000023779
papio_anubis ENSPANG00000004467
theropithecus_gelada ENSTGEG00000009885
chlorocebus_sabaeus ENSCSAG00000005778
saimiri_boliviensis_boliviensis ENSSBOG00000027887
saimiri_boliviensis_boliviensis ENSSBOG00000034894
cebus_capucinus ENSCCAG00000028530
callithrix_jacchus ENSCJAG00000044690
aotus_nancymaae ENSANAG00000022686
oryctolagus_cuniculus ENSOCUG00000002233
ochotona_princeps ENSOPRG00000001777
microcebus_murinus ENSMICG00000045419
propithecus_coquereli ENSPCOG00000016729
carlito_syrichta ENSTSYG00000034871
marmota_marmota_marmota ENSMMMG00000023121
urocitellus_parryii ENSUPAG00010021730
myotis_lucifugus ENSMLUG00000016182
pteropus_vampyrus ENSPVAG00000009757
equus_caballus ENSECAG00000016757
equus_asinus_asinus ENSEASG00005000186
ursus_maritimus ENSUMAG00000001148
ursus_americanus ENSUAMG00000017280
ailuropoda_melanoleuca ENSAMEG00000009875
neovison_vison ENSNVIG00000012157
mustela_putorius_furo ENSMPUG00000016050
canis_lupus_familiaris ENSCAFG00000015778
canis_lupus_dingo ENSCAFG00020009709
vulpes_vulpes ENSVVUG00000017179
panthera_pardus ENSPPRG00000016653
panthera_tigris_altaica ENSPTIG00000017002
felis_catus ENSFCAG00000009001
ovis_aries ENSOARG00000000506
capra_hircus ENSCHIG00000016905
bison_bison_bison ENSBBBG00000002511
bos_mutus ENSBMUG00000009388
bos_taurus ENSBTAG00000038154
