poecilia_formosa ENSPFOG00000018552
poecilia_mexicana ENSPMEG00000007762
poecilia_latipinna ENSPLAG00000006089
poecilia_reticulata ENSPREG00000011256
xiphophorus_maculatus ENSXMAG00000013286
xiphophorus_couchianus ENSXCOG00000010158
gambusia_affinis ENSGAFG00000016466
cyprinodon_variegatus ENSCVAG00000019163
fundulus_heteroclitus ENSFHEG00000022433
kryptolebias_marmoratus ENSKMAG00000000724
oryzias_latipes ENSORLG00020015813
oryzias_latipes_asm223469v1 ENSORLG00015011563
oryzias_latipes ENSORLG00000016777
oryzias_melastigma ENSOMEG00000007868
pundamilia_nyererei ENSPNYG00000022466
haplochromis_burtoni ENSHBUG00000008019
maylandia_zebra ENSMZEG00005008346
astatotilapia_calliptera ENSACLG00000000207
neolamprologus_brichardi ENSNBRG00000001455
oreochromis_niloticus ENSONIG00000002194
amphilophus_citrinellus ENSACIG00000013402
amphiprion_percula ENSAPEG00000023938
amphiprion_ocellaris ENSAOCG00000007637
acanthochromis_polyacanthus ENSAPOG00000001670
stegastes_partitus ENSSPAG00000002717
takifugu_rubripes ENSTRUG00000010092
tetraodon_nigroviridis ENSTNIG00000002026
mola_mola ENSMMOG00000020442
labrus_bergylta ENSLBEG00000018964
gasterosteus_aculeatus ENSGACG00000011585
scophthalmus_maximus ENSSMAG00000008606
cynoglossus_semilaevis ENSCSEG00000000280
seriola_lalandi_dorsalis ENSSLDG00000003378
seriola_dumerili ENSSDUG00000008821
mastacembelus_armatus ENSMAMG00000002540
monopterus_albus ENSMALG00000019446
periophthalmus_magnuspinnatus ENSPMGG00000015944
hippocampus_comes ENSHCOG00000019525
gadus_morhua ENSGMOG00000015065
esox_lucius ENSELUG00000017564
pygocentrus_nattereri ENSPNAG00000008038
astyanax_mexicanus ENSAMXG00000002800
ictalurus_punctatus ENSIPUG00000008661
danio_rerio ENSDARG00000071271
paramormyrops_kingsleyae ENSPKIG00000017506
scleropages_formosus ENSSFOG00015003217
lepisosteus_oculatus ENSLOCG00000005697
latimeria_chalumnae ENSLACG00000010452
petromyzon_marinus ENSPMAG00000005465
pogona_vitticeps ENSPVIG00000019526
anolis_carolinensis ENSACAG00000003559
notechis_scutatus ENSNSUG00000016900
salvator_merianae ENSSMRG00000020386
chelonoidis_abingdonii ENSCABG00000021414
gopherus_agassizii ENSGAGG00000014551
chrysemys_picta_bellii ENSCPBG00000023660
pelodiscus_sinensis ENSPSIG00000015519
mustela_putorius_furo ENSMPUG00000012461
neovison_vison ENSNVIG00000017858
canis_lupus_familiaris ENSCAFG00000014000
canis_lupus_dingo ENSCAFG00020014900
vulpes_vulpes ENSVVUG00000027521
ailuropoda_melanoleuca ENSAMEG00000017725
ursus_americanus ENSUAMG00000012251
felis_catus ENSFCAG00000023322
panthera_pardus ENSPPRG00000002094
panthera_tigris_altaica ENSPTIG00000014098
ursus_maritimus ENSUMAG00000008016
capra_hircus ENSCHIG00000017675
ovis_aries ENSOARG00000011710
bos_taurus ENSBTAG00000002248
bison_bison_bison ENSBBBG00000005248
bos_mutus ENSBMUG00000003474
tursiops_truncatus ENSTTRG00000000325
sus_scrofa ENSSSCG00000013011
equus_asinus_asinus ENSEASG00005018227
equus_caballus ENSECAG00000016053
myotis_lucifugus ENSMLUG00000009635
microcebus_murinus ENSMICG00000031764
propithecus_coquereli ENSPCOG00000026007
otolemur_garnettii ENSOGAG00000026911
macaca_mulatta ENSMMUG00000031168
macaca_nemestrina ENSMNEG00000013099
macaca_fascicularis ENSMFAG00000000880
papio_anubis ENSPANG00000013677
theropithecus_gelada ENSTGEG00000010094
cercocebus_atys ENSCATG00000035603
chlorocebus_sabaeus ENSCSAG00000007587
piliocolobus_tephrosceles ENSPTEG00000022794
pan_troglodytes ENSPTRG00000003858
homo_sapiens ENSG00000168061
gorilla_gorilla ENSGGOG00000024890
pongo_abelii ENSPPYG00000003085
nomascus_leucogenys ENSNLEG00000005447
mandrillus_leucophaeus ENSMLEG00000030910
pan_paniscus ENSPPAG00000041034
rhinopithecus_roxellana ENSRROG00000038401
saimiri_boliviensis_boliviensis ENSSBOG00000003864
callithrix_jacchus ENSCJAG00000002527
cebus_capucinus ENSCCAG00000031488
aotus_nancymaae ENSANAG00000028461
castor_canadensis ENSCCNG00000024945
dipodomys_ordii ENSDORG00000004253
microtus_ochrogaster ENSMOCG00000005046
peromyscus_maniculatus_bairdii ENSPEMG00000009504
cricetulus_griseus_crigri-picr ENSCGRG00015014046
cricetulus_griseus_chok1gshd ENSCGRG00001001044
cricetulus_griseus_crigri ENSCGRG00000005378
mesocricetus_auratus ENSMAUG00000015000
mus_spicilegus ENSMSIG00000030215
mus_musculus ENSMUSG00000024790
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022595
mus_pahari MGP_PahariEiJ_G0014089
rattus_norvegicus ENSRNOG00000021003
meriones_unguiculatus ENSMUGG00000020243
nannospalax_galili ENSNGAG00000016283
jaculus_jaculus ENSJJAG00000020813
octodon_degus ENSODEG00000015013
cavia_porcellus ENSCPOG00000027025
heterocephalus_glaber_female ENSHGLG00000010681
heterocephalus_glaber_male ENSHGLG00100015211
chinchilla_lanigera ENSCLAG00000016933
ictidomys_tridecemlineatus ENSSTOG00000025911
urocitellus_parryii ENSUPAG00010010344
spermophilus_dauricus ENSSDAG00000007365
marmota_marmota_marmota ENSMMMG00000009547
ochotona_princeps ENSOPRG00000014562
dasypus_novemcinctus ENSDNOG00000011962
echinops_telfairi ENSETEG00000006151
loxodonta_africana ENSLAFG00000022348
phascolarctos_cinereus ENSPCIG00000007743
xenopus_tropicalis ENSXETG00000033800
eptatretus_burgeri ENSEBUG00000007248
ciona_intestinalis ENSCING00000024593
ciona_savignyi ENSCSAVG00000003172
drosophila_melanogaster FBgn0035998
caenorhabditis_elegans_strain_n2 WBGene00006466
ciona_intestinalis ENSCING00000006652
ciona_savignyi ENSCSAVG00000009415
ciona_intestinalis ENSCING00000012860
astyanax_mexicanus ENSAMXG00000034362
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023506
drosophila_melanogaster FBgn0032305
saccharomyces_cerevisiae YDR159W
