taeniopygia_guttata ENSTGUG00000008512
lonchura_striata_domestica ENSLSDG00000017106
junco_hyemalis ENSJHYG00000013664
parus_major ENSPMJG00000013858
ficedula_albicollis ENSFALG00000005243
lepidothrix_coronata ENSLCOG00000010992
manacus_vitellinus ENSMVIG00005003218
calidris_pygmaea ENSCPGG00000002197
melopsittacus_undulatus ENSMUNG00000002519
coturnix_japonica ENSCJPG00005014806
gallus_gallus ENSGALG00000013193
numida_meleagris ENSNMEG00000009010
anser_brachyrhynchus ENSABRG00000003949
apteryx_haastii ENSAHAG00000010023
apteryx_owenii ENSAOWG00000018328
apteryx_rowi ENSARWG00000012025
dromaius_novaehollandiae ENSDNVG00000012500
nothoprocta_perdicaria ENSNPEG00000000455
meleagris_gallopavo ENSMGAG00000016595
anas_platyrhynchos_platyrhynchos ENSAPLG00000024367
zonotrichia_albicollis ENSZALG00000002229
calidris_pugnax ENSCPUG00000005709
crocodylus_porosus ENSCPRG00005014100
sphenodon_punctatus ENSSPUG00000014356
microcebus_murinus ENSMICG00000013531
prolemur_simus ENSPSMG00000009849
propithecus_coquereli ENSPCOG00000016775
otolemur_garnettii ENSOGAG00000012910
homo_sapiens ENSG00000170561
pan_troglodytes ENSPTRG00000016708
gorilla_gorilla ENSGGOG00000015712
pongo_abelii ENSPPYG00000015325
nomascus_leucogenys ENSNLEG00000011219
macaca_mulatta ENSMMUG00000005802
macaca_nemestrina ENSMNEG00000031964
theropithecus_gelada ENSTGEG00000000775
cercocebus_atys ENSCATG00000007699
papio_anubis ENSPANG00000003730
chlorocebus_sabaeus ENSCSAG00000017353
macaca_fascicularis ENSMFAG00000003549
rhinopithecus_roxellana ENSRROG00000029509
rhinopithecus_bieti ENSRBIG00000031235
piliocolobus_tephrosceles ENSPTEG00000020994
callithrix_jacchus ENSCJAG00000008516
cebus_capucinus ENSCCAG00000024198
aotus_nancymaae ENSANAG00000023050
marmota_marmota_marmota ENSMMMG00000016418
ictidomys_tridecemlineatus ENSSTOG00000003533
urocitellus_parryii ENSUPAG00010016403
castor_canadensis ENSCCNG00000012286
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019582
mus_spicilegus ENSMSIG00000017231
mus_musculus ENSMUSG00000001504
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018698
mus_pahari MGP_PahariEiJ_G0015779
rattus_norvegicus ENSRNOG00000012742
meriones_unguiculatus ENSMUGG00000016210
cricetulus_griseus_chok1gshd ENSCGRG00001014435
cricetulus_griseus_crigri-picr ENSCGRG00015008264
mesocricetus_auratus ENSMAUG00000014773
microtus_ochrogaster ENSMOCG00000002016
peromyscus_maniculatus_bairdii ENSPEMG00000000903
nannospalax_galili ENSNGAG00000011270
jaculus_jaculus ENSJJAG00000010684
chinchilla_lanigera ENSCLAG00000010848
octodon_degus ENSODEG00000018250
cavia_porcellus ENSCPOG00000000858
heterocephalus_glaber_female ENSHGLG00000003987
ochotona_princeps ENSOPRG00000012917
oryctolagus_cuniculus ENSOCUG00000009172
bos_taurus ENSBTAG00000047499
capra_hircus ENSCHIG00000011251
tursiops_truncatus ENSTTRG00000006214
sus_scrofa ENSSSCG00000032074
equus_caballus ENSECAG00000015758
equus_asinus_asinus ENSEASG00005018557
pteropus_vampyrus ENSPVAG00000001273
ursus_americanus ENSUAMG00000025740
ailuropoda_melanoleuca ENSAMEG00000013363
mustela_putorius_furo ENSMPUG00000007647
neovison_vison ENSNVIG00000000014
canis_lupus_dingo ENSCAFG00020022893
canis_lupus_familiaris ENSCAFG00000010427
vulpes_vulpes ENSVVUG00000022361
felis_catus ENSFCAG00000040664
panthera_pardus ENSPPRG00000024401
myotis_lucifugus ENSMLUG00000002364
tupaia_belangeri ENSTBEG00000000729
loxodonta_africana ENSLAFG00000031893
dasypus_novemcinctus ENSDNOG00000002196
echinops_telfairi ENSETEG00000001553
ornithorhynchus_anatinus ENSOANG00000001748
gopherus_agassizii ENSGAGG00000020750
chelonoidis_abingdonii ENSCABG00000007089
chrysemys_picta_bellii ENSCPBG00000027639
pelodiscus_sinensis ENSPSIG00000016741
scleropages_formosus ENSSFOG00015003644
paramormyrops_kingsleyae ENSPKIG00000020276
hippocampus_comes ENSHCOG00000000935
periophthalmus_magnuspinnatus ENSPMGG00000007973
takifugu_rubripes ENSTRUG00000001420
takifugu_rubripes ENSTRUG00000007607
tetraodon_nigroviridis ENSTNIG00000007221
mola_mola ENSMMOG00000008564
scophthalmus_maximus ENSSMAG00000003832
mastacembelus_armatus ENSMAMG00000024026
monopterus_albus ENSMALG00000018526
seriola_lalandi_dorsalis ENSSLDG00000019856
seriola_dumerili ENSSDUG00000014985
cynoglossus_semilaevis ENSCSEG00000003955
anabas_testudineus ENSATEG00000024174
labrus_bergylta ENSLBEG00000021820
gasterosteus_aculeatus ENSGACG00000006581
amphiprion_ocellaris ENSAOCG00000023495
amphiprion_percula ENSAPEG00000015314
acanthochromis_polyacanthus ENSAPOG00000019573
stegastes_partitus ENSSPAG00000006846
maylandia_zebra ENSMZEG00005001683
astatotilapia_calliptera ENSACLG00000016529
pundamilia_nyererei ENSPNYG00000008324
haplochromis_burtoni ENSHBUG00000000945
oreochromis_niloticus ENSONIG00000007110
neolamprologus_brichardi ENSNBRG00000009422
amphilophus_citrinellus ENSACIG00000014050
fundulus_heteroclitus ENSFHEG00000008628
fundulus_heteroclitus ENSFHEG00000006215
cyprinodon_variegatus ENSCVAG00000008630
poecilia_formosa ENSPFOG00000016596
poecilia_latipinna ENSPLAG00000004761
xiphophorus_maculatus ENSXMAG00000021240
gambusia_affinis ENSGAFG00000000417
poecilia_reticulata ENSPREG00000011115
poecilia_mexicana ENSPMEG00000020648
xiphophorus_couchianus ENSXCOG00000016237
kryptolebias_marmoratus ENSKMAG00000019798
oryzias_latipes ENSORLG00000005150
oryzias_latipes_asm223469v1 ENSORLG00015006486
oryzias_latipes ENSORLG00020022657
oryzias_melastigma ENSOMEG00000013826
gadus_morhua ENSGMOG00000006674
esox_lucius ENSELUG00000003905
pygocentrus_nattereri ENSPNAG00000004947
astyanax_mexicanus ENSAMXG00000012654
ictalurus_punctatus ENSIPUG00000000094
danio_rerio ENSDARG00000001785
lepisosteus_oculatus ENSLOCG00000008842
latimeria_chalumnae ENSLACG00000002708
xenopus_tropicalis ENSXETG00000012653
sarcophilus_harrisii ENSSHAG00000001675
monodelphis_domestica ENSMODG00000001446
phascolarctos_cinereus ENSPCIG00000027026
notamacropus_eugenii ENSMEUG00000011565
pogona_vitticeps ENSPVIG00000010740
anolis_carolinensis ENSACAG00000000694
notechis_scutatus ENSNSUG00000010220
salvator_merianae ENSSMRG00000015513
takifugu_rubripes ENSTRUG00000024507
serinus_canaria ENSSCAG00000006758
ictalurus_punctatus ENSIPUG00000022997
oreochromis_niloticus ENSONIG00000018236
astatotilapia_calliptera ENSACLG00000021798
petromyzon_marinus ENSPMAG00000002391
eptatretus_burgeri ENSEBUG00000012441
