heterocephalus_glaber_female ENSHGLG00000016245
heterocephalus_glaber_male ENSHGLG00100002579
fukomys_damarensis ENSFDAG00000020957
cavia_aperea ENSCAPG00000011230
cavia_porcellus ENSCPOG00000007131
chinchilla_lanigera ENSCLAG00000007462
marmota_marmota_marmota ENSMMMG00000021486
spermophilus_dauricus ENSSDAG00000020857
urocitellus_parryii ENSUPAG00010004163
mus_musculus ENSMUSG00000023235
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031907
mus_spicilegus ENSMSIG00000030978
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030799
mus_pahari MGP_PahariEiJ_G0021262
rattus_norvegicus ENSRNOG00000028531
cricetulus_griseus_crigri ENSCGRG00000010413
cricetulus_griseus_crigri-picr ENSCGRG00015019665
cricetulus_griseus_chok1gshd ENSCGRG00001022971
mesocricetus_auratus ENSMAUG00000012972
peromyscus_maniculatus_bairdii ENSPEMG00000022546
microtus_ochrogaster ENSMOCG00000012263
nannospalax_galili ENSNGAG00000019571
castor_canadensis ENSCCNG00000006361
dipodomys_ordii ENSDORG00000026099
oryctolagus_cuniculus ENSOCUG00000025780
chlorocebus_sabaeus ENSCSAG00000008152
mandrillus_leucophaeus ENSMLEG00000038579
nomascus_leucogenys ENSNLEG00000001348
rhinopithecus_bieti ENSRBIG00000037185
carlito_syrichta ENSTSYG00000031388
propithecus_coquereli ENSPCOG00000019012
microcebus_murinus ENSMICG00000041953
prolemur_simus ENSPSMG00000016715
tupaia_belangeri ENSTBEG00000002856
pteropus_vampyrus ENSPVAG00000009628
myotis_lucifugus ENSMLUG00000008112
erinaceus_europaeus ENSEEUG00000013263
loxodonta_africana ENSLAFG00000022991
dasypus_novemcinctus ENSDNOG00000013384
phascolarctos_cinereus ENSPCIG00000023515
periophthalmus_magnuspinnatus ENSPMGG00000014683
