loxodonta_africana ENSLAFG00000017097
procavia_capensis ENSPCAG00000004276
echinops_telfairi ENSETEG00000013224
equus_caballus ENSECAG00000010055
equus_asinus ENSEASG00005022224
pteropus_vampyrus ENSPVAG00000008098
ursus_americanus ENSUAMG00000024246
ursus_maritimus ENSUMAG00000003893
ailuropoda_melanoleuca ENSAMEG00000013333
mustela_putorius ENSMPUG00000013146
neovison_vison ENSNVIG00000015718
canis_lupus ENSCAFG00020004883
canis_lupus ENSCAFG00000003293
vulpes_vulpes ENSVVUG00000008530
panthera_tigris ENSPTIG00000019625
panthera_pardus ENSPPRG00000015738
felis_catus ENSFCAG00000035139
sus_scrofa ENSSSCG00000008648
vicugna_pacos ENSVPAG00000001328
ovis_aries ENSOARG00000014648
capra_hircus ENSCHIG00000021832
bos_taurus ENSBTAG00000016061
bos_mutus ENSBMUG00000023682
bison_bison ENSBBBG00000012264
tursiops_truncatus ENSTTRG00000007275
sorex_araneus ENSSARG00000013348
erinaceus_europaeus ENSEEUG00000001045
pan_paniscus ENSPPAG00000039493
pan_troglodytes ENSPTRG00000011629
homo_sapiens ENSG00000134321
gorilla_gorilla ENSGGOG00000010720
pongo_abelii ENSPPYG00000012674
nomascus_leucogenys ENSNLEG00000015429
rhinopithecus_roxellana ENSRROG00000002112
rhinopithecus_bieti ENSRBIG00000037815
colobus_angolensis ENSCANG00000031672
piliocolobus_tephrosceles ENSPTEG00000025617
theropithecus_gelada ENSTGEG00000014088
chlorocebus_sabaeus ENSCSAG00000007051
macaca_nemestrina ENSMNEG00000040478
macaca_fascicularis ENSMFAG00000033338
macaca_mulatta ENSMMUG00000015969
papio_anubis ENSPANG00000026240
cercocebus_atys ENSCATG00000030147
mandrillus_leucophaeus ENSMLEG00000036056
cebus_capucinus ENSCCAG00000032413
callithrix_jacchus ENSCJAG00000010219
saimiri_boliviensis ENSSBOG00000024280
aotus_nancymaae ENSANAG00000032315
carlito_syrichta ENSTSYG00000010055
propithecus_coquereli ENSPCOG00000009941
microcebus_murinus ENSMICG00000000161
otolemur_garnettii ENSOGAG00000027657
oryctolagus_cuniculus ENSOCUG00000012157
ochotona_princeps ENSOPRG00000016240
peromyscus_maniculatus ENSPEMG00000008928
microtus_ochrogaster ENSMOCG00000020673
cricetulus_griseus ENSCGRG00015006619
cricetulus_griseus ENSCGRG00000010904
cricetulus_griseus ENSCGRG00001014337
mesocricetus_auratus ENSMAUG00000008669
mus_spicilegus ENSMSIG00000025674
mus_spretus MGP_SPRETEiJ_G0018495
mus_musculus ENSMUSG00000020641
mus_caroli MGP_CAROLIEiJ_G0017653
mus_pahari MGP_PahariEiJ_G0029411
rattus_norvegicus ENSRNOG00000007539
meriones_unguiculatus ENSMUGG00000009376
