capra_hircus ENSCHIG00000008836
ovis_aries ENSOARG00000012804
bos_mutus ENSBMUG00000006642
bos_taurus ENSBTAG00000017739
bison_bison_bison ENSBBBG00000015053
tursiops_truncatus ENSTTRG00000009791
sus_scrofa ENSSSCG00000026142
equus_caballus ENSECAG00000015435
equus_asinus_asinus ENSEASG00005019057
pteropus_vampyrus ENSPVAG00000005059
myotis_lucifugus ENSMLUG00000013295
ursus_americanus ENSUAMG00000014802
ursus_maritimus ENSUMAG00000015556
ailuropoda_melanoleuca ENSAMEG00000016650
mustela_putorius_furo ENSMPUG00000010053
neovison_vison ENSNVIG00000002992
canis_lupus_dingo ENSCAFG00020008454
canis_lupus_familiaris ENSCAFG00000016280
vulpes_vulpes ENSVVUG00000027852
panthera_pardus ENSPPRG00000011921
panthera_tigris_altaica ENSPTIG00000016665
felis_catus ENSFCAG00000010893
erinaceus_europaeus ENSEEUG00000007966
castor_canadensis ENSCCNG00000017083
dipodomys_ordii ENSDORG00000008646
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017434
mus_spicilegus ENSMSIG00000025301
mus_musculus ENSMUSG00000001583
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016598
mus_pahari MGP_PahariEiJ_G0017729
rattus_norvegicus ENSRNOG00000015578
meriones_unguiculatus ENSMUGG00000015513
cricetulus_griseus_crigri ENSCGRG00000008304
cricetulus_griseus_crigri-picr ENSCGRG00015009240
cricetulus_griseus_chok1gshd ENSCGRG00001016895
mesocricetus_auratus ENSMAUG00000002211
microtus_ochrogaster ENSMOCG00000015877
peromyscus_maniculatus_bairdii ENSPEMG00000019033
nannospalax_galili ENSNGAG00000021925
jaculus_jaculus ENSJJAG00000021919
chinchilla_lanigera ENSCLAG00000012522
octodon_degus ENSODEG00000017461
cavia_porcellus ENSCPOG00000009564
cavia_aperea ENSCAPG00000017067
heterocephalus_glaber_female ENSHGLG00000014504
heterocephalus_glaber_male ENSHGLG00100013687
fukomys_damarensis ENSFDAG00000019536
urocitellus_parryii ENSUPAG00010014874
ictidomys_tridecemlineatus ENSSTOG00000007672
spermophilus_dauricus ENSSDAG00000003510
marmota_marmota_marmota ENSMMMG00000019484
oryctolagus_cuniculus ENSOCUG00000025052
ochotona_princeps ENSOPRG00000014938
pan_troglodytes ENSPTRG00000008681
pan_paniscus ENSPPAG00000030669
homo_sapiens ENSG00000174292
gorilla_gorilla ENSGGOG00000002000
pongo_abelii ENSPPYG00000007913
nomascus_leucogenys ENSNLEG00000009405
papio_anubis ENSPANG00000024191
theropithecus_gelada ENSTGEG00000023903
mandrillus_leucophaeus ENSMLEG00000041665
cercocebus_atys ENSCATG00000041204
macaca_fascicularis ENSMFAG00000031134
macaca_mulatta ENSMMUG00000015616
macaca_nemestrina ENSMNEG00000037411
chlorocebus_sabaeus ENSCSAG00000011764
piliocolobus_tephrosceles ENSPTEG00000014553
colobus_angolensis_palliatus ENSCANG00000037142
rhinopithecus_roxellana ENSRROG00000043091
rhinopithecus_bieti ENSRBIG00000044312
cebus_capucinus ENSCCAG00000027718
saimiri_boliviensis_boliviensis ENSSBOG00000035858
callithrix_jacchus ENSCJAG00000016438
aotus_nancymaae ENSANAG00000029133
carlito_syrichta ENSTSYG00000007455
propithecus_coquereli ENSPCOG00000016772
microcebus_murinus ENSMICG00000017889
prolemur_simus ENSPSMG00000019520
otolemur_garnettii ENSOGAG00000014239
tupaia_belangeri ENSTBEG00000005292
loxodonta_africana ENSLAFG00000010519
procavia_capensis ENSPCAG00000006541
echinops_telfairi ENSETEG00000016071
dasypus_novemcinctus ENSDNOG00000032132
