pan_paniscus ENSPPAG00000006393
pan_troglodytes ENSPTRG00000048301
gorilla_gorilla ENSGGOG00000022738
nomascus_leucogenys ENSNLEG00000028192
piliocolobus_tephrosceles ENSPTEG00000027014
chlorocebus_sabaeus ENSCSAG00000000254
prolemur_simus ENSPSMG00000000224
neovison_vison ENSNVIG00000014233
mustela_putorius_furo ENSMPUG00000010859
canis_lupus_familiaris ENSCAFG00000030495
panthera_pardus ENSPPRG00000020912
panthera_tigris_altaica ENSPTIG00000000072
felis_catus ENSFCAG00000041351
dasypus_novemcinctus ENSDNOG00000039988
bos_mutus ENSBMUG00000018447
ornithorhynchus_anatinus ENSOANG00000009352
anolis_carolinensis ENSACAG00000027152
