gopherus_agassizii ENSGAGG00000022113
chelonoidis_abingdonii ENSCABG00000016164
chrysemys_picta_bellii ENSCPBG00000016574
crocodylus_porosus ENSCPRG00005019206
pogona_vitticeps ENSPVIG00000009244
anolis_carolinensis ENSACAG00000011554
notechis_scutatus ENSNSUG00000005090
salvator_merianae ENSSMRG00000009069
sphenodon_punctatus ENSSPUG00000000291
apteryx_owenii ENSAOWG00000006807
apteryx_haastii ENSAHAG00000003582
apteryx_rowi ENSARWG00000001333
dromaius_novaehollandiae ENSDNVG00000010922
parus_major ENSPMJG00000012539
cyanistes_caeruleus ENSCCEG00000024218
ficedula_albicollis ENSFALG00000008829
lonchura_striata_domestica ENSLSDG00000012423
taeniopygia_guttata ENSTGUG00000006405
serinus_canaria ENSSCAG00000017211
junco_hyemalis ENSJHYG00000011850
zonotrichia_albicollis ENSZALG00000017378
manacus_vitellinus ENSMVIG00005019197
lepidothrix_coronata ENSLCOG00000004205
calidris_pugnax ENSCPUG00000004503
calidris_pygmaea ENSCPGG00000012576
anser_brachyrhynchus ENSABRG00000013326
anas_platyrhynchos_platyrhynchos ENSAPLG00000011915
meleagris_gallopavo ENSMGAG00000003932
gallus_gallus ENSGALG00000004517
numida_meleagris ENSNMEG00000013251
phascolarctos_cinereus ENSPCIG00000018149
notamacropus_eugenii ENSMEUG00000006880
sarcophilus_harrisii ENSSHAG00000007455
monodelphis_domestica ENSMODG00000011807
ovis_aries ENSOARG00000006615
ovis_aries ENSOARG00000006651
capra_hircus ENSCHIG00000016033
bos_mutus ENSBMUG00000008362
bos_taurus ENSBTAG00000000671
bison_bison_bison ENSBBBG00000007556
tursiops_truncatus ENSTTRG00000001441
sus_scrofa ENSSSCG00000023033
equus_caballus ENSECAG00000018503
equus_asinus_asinus ENSEASG00005012886
ursus_americanus ENSUAMG00000020872
ursus_maritimus ENSUMAG00000021616
ailuropoda_melanoleuca ENSAMEG00000009256
mustela_putorius_furo ENSMPUG00000011779
neovison_vison ENSNVIG00000000957
canis_lupus_dingo ENSCAFG00020022357
canis_lupus_familiaris ENSCAFG00000010042
vulpes_vulpes ENSVVUG00000026860
panthera_pardus ENSPPRG00000006379
panthera_tigris_altaica ENSPTIG00000012303
felis_catus ENSFCAG00000009146
pteropus_vampyrus ENSPVAG00000012472
erinaceus_europaeus ENSEEUG00000000696
mus_spicilegus ENSMSIG00000010391
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033770
mus_musculus ENSMUSG00000023249
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032625
mus_pahari MGP_PahariEiJ_G0015493
rattus_norvegicus ENSRNOG00000012865
meriones_unguiculatus ENSMUGG00000018017
meriones_unguiculatus ENSMUGG00000011085
cricetulus_griseus_chok1gshd ENSCGRG00001005456
cricetulus_griseus_crigri ENSCGRG00000009858
cricetulus_griseus_crigri-picr ENSCGRG00015009882
mesocricetus_auratus ENSMAUG00000010154
microtus_ochrogaster ENSMOCG00000000186
peromyscus_maniculatus_bairdii ENSPEMG00000000567
nannospalax_galili ENSNGAG00000020533
jaculus_jaculus ENSJJAG00000018752
heterocephalus_glaber_male ENSHGLG00100015451
heterocephalus_glaber_female ENSHGLG00000011511
fukomys_damarensis ENSFDAG00000017501
chinchilla_lanigera ENSCLAG00000008398
octodon_degus ENSODEG00000018243
cavia_porcellus ENSCPOG00000013871
cavia_aperea ENSCAPG00000007418
castor_canadensis ENSCCNG00000020514
