amphilophus_citrinellus ENSACIG00000010615
pundamilia_nyererei ENSPNYG00000022141
poecilia_mexicana ENSPMEG00000018770
mola_mola ENSMMOG00000013553
periophthalmus_magnuspinnatus ENSPMGG00000017081
gadus_morhua ENSGMOG00000002810
astyanax_mexicanus ENSAMXG00000041795
lepisosteus_oculatus ENSLOCG00000013840
meriones_unguiculatus ENSMUGG00000024695
castor_canadensis ENSCCNG00000009429
pan_troglodytes ENSPTRG00000049515
pan_paniscus ENSPPAG00000032243
piliocolobus_tephrosceles ENSPTEG00000038064
colobus_angolensis_palliatus ENSCANG00000000585
macaca_mulatta ENSMMUG00000049218
cebus_capucinus ENSCCAG00000027254
carlito_syrichta ENSTSYG00000037524
bison_bison_bison ENSBBBG00000011664
myotis_lucifugus ENSMLUG00000015220
sarcophilus_harrisii ENSSHAG00000000309
ornithorhynchus_anatinus ENSOANG00000021193
dromaius_novaehollandiae ENSDNVG00000006302
apteryx_haastii ENSAHAG00000011790
calidris_pygmaea ENSCPGG00000017791
crocodylus_porosus ENSCPRG00005019196
chelonoidis_abingdonii ENSCABG00000010446
gopherus_agassizii ENSGAGG00000008386
chrysemys_picta_bellii ENSCPBG00000018457
salvator_merianae ENSSMRG00000014846
notechis_scutatus ENSNSUG00000018714
sphenodon_punctatus ENSSPUG00000002880
