homo_sapiens ENSG00000160321
pan_troglodytes ENSPTRG00000029065
gorilla_gorilla ENSGGOG00000027529
pan_paniscus ENSPPAG00000037031
gorilla_gorilla ENSGGOG00000037638
nomascus_leucogenys ENSNLEG00000034671
theropithecus_gelada ENSTGEG00000018189
macaca_mulatta ENSMMUG00000028830
piliocolobus_tephrosceles ENSPTEG00000019252
macaca_mulatta ENSMMUG00000040072
chlorocebus_sabaeus ENSCSAG00000004956
papio_anubis ENSPANG00000026433
theropithecus_gelada ENSTGEG00000018384
cercocebus_atys ENSCATG00000038768
rhinopithecus_roxellana ENSRROG00000028857
piliocolobus_tephrosceles ENSPTEG00000018531
