propithecus_coquereli ENSPCOG00000022024
otolemur_garnettii ENSOGAG00000007940
pan_paniscus ENSPPAG00000025766
pan_troglodytes ENSPTRG00000021829
homo_sapiens ENSG00000251192
gorilla_gorilla ENSGGOG00000013207
pongo_abelii ENSPPYG00000020276
nomascus_leucogenys ENSNLEG00000002837
rhinopithecus_roxellana ENSRROG00000044866
colobus_angolensis_palliatus ENSCANG00000039694
macaca_nemestrina ENSMNEG00000036545
macaca_mulatta ENSMMUG00000002292
macaca_fascicularis ENSMFAG00000003360
theropithecus_gelada ENSTGEG00000006247
papio_anubis ENSPANG00000017370
cebus_capucinus ENSCCAG00000002525
saimiri_boliviensis_boliviensis ENSSBOG00000035618
callithrix_jacchus ENSCJAG00000011965
aotus_nancymaae ENSANAG00000027185
aotus_nancymaae ENSANAG00000027302
saimiri_boliviensis_boliviensis ENSSBOG00000023181
aotus_nancymaae ENSANAG00000023763
pan_paniscus ENSPPAG00000030436
pan_troglodytes ENSPTRG00000028292
gorilla_gorilla ENSGGOG00000036898
homo_sapiens ENSG00000147121
pongo_abelii ENSPPYG00000020275
nomascus_leucogenys ENSNLEG00000002829
macaca_mulatta ENSMMUG00000002986
macaca_nemestrina ENSMNEG00000028475
papio_anubis ENSPANG00000029976
theropithecus_gelada ENSTGEG00000006360
mandrillus_leucophaeus ENSMLEG00000032471
cercocebus_atys ENSCATG00000037844
rhinopithecus_roxellana ENSRROG00000035379
rhinopithecus_bieti ENSRBIG00000023433
colobus_angolensis_palliatus ENSCANG00000000953
macaca_fascicularis ENSMFAG00000003893
microcebus_murinus ENSMICG00000036464
castor_canadensis ENSCCNG00000003636
carlito_syrichta ENSTSYG00000003121
carlito_syrichta ENSTSYG00000031670
prolemur_simus ENSPSMG00000024360
papio_anubis ENSPANG00000005279
theropithecus_gelada ENSTGEG00000022191
cebus_capucinus ENSCCAG00000025554
callithrix_jacchus ENSCJAG00000047520
piliocolobus_tephrosceles ENSPTEG00000013106
heterocephalus_glaber_male ENSHGLG00100009445
urocitellus_parryii ENSUPAG00010010864
ovis_aries ENSOARG00000000168
ovis_aries ENSOARG00000004529
ovis_aries ENSOARG00000004569
bos_mutus ENSBMUG00000017076
bos_taurus ENSBTAG00000002956
bos_mutus ENSBMUG00000017086
capra_hircus ENSCHIG00000021372
sus_scrofa ENSSSCG00000012264
equus_asinus_asinus ENSEASG00005022345
pteropus_vampyrus ENSPVAG00000005361
mustela_putorius_furo ENSMPUG00000012937
neovison_vison ENSNVIG00000016876
ursus_americanus ENSUAMG00000028271
ursus_maritimus ENSUMAG00000010469
ailuropoda_melanoleuca ENSAMEG00000007174
canis_lupus_dingo ENSCAFG00020021468
canis_lupus_familiaris ENSCAFG00000014732
canis_lupus_familiaris ENSCAFG00000014745
canis_lupus_dingo ENSCAFG00020021474
vulpes_vulpes ENSVVUG00000014265
panthera_tigris_altaica ENSPTIG00000017082
panthera_pardus ENSPPRG00000003422
felis_catus ENSFCAG00000041913
otolemur_garnettii ENSOGAG00000004321
otolemur_garnettii ENSOGAG00000028839
cercocebus_atys ENSCATG00000040786
chlorocebus_sabaeus ENSCSAG00000019562
mandrillus_leucophaeus ENSMLEG00000031670
spermophilus_dauricus ENSSDAG00000020614
ailuropoda_melanoleuca ENSAMEG00000019715
ursus_maritimus ENSUMAG00000010460
equus_caballus ENSECAG00000018635
tursiops_truncatus ENSTTRG00000009837
bison_bison_bison ENSBBBG00000015734
prolemur_simus ENSPSMG00000024366
dasypus_novemcinctus ENSDNOG00000045857
