oryzias_latipes_asm223469v1 ENSORLG00015007804
oryzias_latipes ENSORLG00020011071
oryzias_melastigma ENSOMEG00000021396
pundamilia_nyererei ENSPNYG00000023894
astatotilapia_calliptera ENSACLG00000020870
maylandia_zebra ENSMZEG00005002757
meriones_unguiculatus ENSMUGG00000006108
spermophilus_dauricus ENSSDAG00000022445
ornithorhynchus_anatinus ENSOANG00000015034
dromaius_novaehollandiae ENSDNVG00000004074
crocodylus_porosus ENSCPRG00005002023
haplochromis_burtoni ENSHBUG00000023225
xiphophorus_couchianus ENSXCOG00000006416
dipodomys_ordii ENSDORG00000026906
mesocricetus_auratus ENSMAUG00000001594
colobus_angolensis_palliatus ENSCANG00000009554
sphenodon_punctatus ENSSPUG00000000516
notechis_scutatus ENSNSUG00000002849
zonotrichia_albicollis ENSZALG00000014188
numida_meleagris ENSNMEG00000022789
apteryx_haastii ENSAHAG00000009887
calidris_pugnax ENSCPUG00000003785
anas_platyrhynchos_platyrhynchos ENSAPLG00000019932
numida_meleagris ENSNMEG00000022798
parus_major ENSPMJG00000019131
lepidothrix_coronata ENSLCOG00000010927
calidris_pugnax ENSCPUG00000003788
dromaius_novaehollandiae ENSDNVG00000018448
dromaius_novaehollandiae ENSDNVG00000018416
pogona_vitticeps ENSPVIG00000025156
fundulus_heteroclitus ENSFHEG00000022824
