pan_troglodytes ENSPTRG00000018622
pan_paniscus ENSPPAG00000043261
homo_sapiens ENSG00000118526
gorilla_gorilla ENSGGOG00000005460
pongo_abelii ENSPPYG00000017022
nomascus_leucogenys ENSNLEG00000031050
macaca_fascicularis ENSMFAG00000041559
macaca_nemestrina ENSMNEG00000008781
macaca_mulatta ENSMMUG00000002871
theropithecus_gelada ENSTGEG00000012352
papio_anubis ENSPANG00000022301
mandrillus_leucophaeus ENSMLEG00000036702
cercocebus_atys ENSCATG00000037198
piliocolobus_tephrosceles ENSPTEG00000021335
colobus_angolensis ENSCANG00000009436
rhinopithecus_roxellana ENSRROG00000032163
rhinopithecus_bieti ENSRBIG00000032927
chlorocebus_sabaeus ENSCSAG00000016705
saimiri_boliviensis ENSSBOG00000034676
callithrix_jacchus ENSCJAG00000002811
cebus_capucinus ENSCCAG00000035330
aotus_nancymaae ENSANAG00000021568
carlito_syrichta ENSTSYG00000034524
prolemur_simus ENSPSMG00000009967
microcebus_murinus ENSMICG00000029994
propithecus_coquereli ENSPCOG00000028439
otolemur_garnettii ENSOGAG00000034073
mus_musculus ENSMUSG00000045680
mus_spretus MGP_SPRETEiJ_G0015977
mus_spicilegus ENSMSIG00000021676
mus_caroli MGP_CAROLIEiJ_G0015169
mus_pahari MGP_PahariEiJ_G0023789
rattus_norvegicus ENSRNOG00000016700
meriones_unguiculatus ENSMUGG00000001498
cricetulus_griseus ENSCGRG00015026693
cricetulus_griseus ENSCGRG00000016854
cricetulus_griseus ENSCGRG00001021984
mesocricetus_auratus ENSMAUG00000020633
peromyscus_maniculatus ENSPEMG00000003503
microtus_ochrogaster ENSMOCG00000016422
nannospalax_galili ENSNGAG00000010530
jaculus_jaculus ENSJJAG00000010513
heterocephalus_glaber ENSHGLG00000000996
heterocephalus_glaber ENSHGLG00100007581
fukomys_damarensis ENSFDAG00000021436
chinchilla_lanigera ENSCLAG00000003324
cavia_porcellus ENSCPOG00000024201
octodon_degus ENSODEG00000007820
marmota_marmota ENSMMMG00000018609
spermophilus_dauricus ENSSDAG00000018901
urocitellus_parryii ENSUPAG00010002212
urocitellus_parryii ENSUPAG00010018553
ictidomys_tridecemlineatus ENSSTOG00000023733
castor_canadensis ENSCCNG00000007901
oryctolagus_cuniculus ENSOCUG00000017761
canis_lupus ENSCAFG00020021862
canis_lupus ENSCAFG00000000205
vulpes_vulpes ENSVVUG00000019073
ursus_americanus ENSUAMG00000019375
ursus_maritimus ENSUMAG00000024407
ailuropoda_melanoleuca ENSAMEG00000015953
neovison_vison ENSNVIG00000017869
mustela_putorius ENSMPUG00000014798
panthera_pardus ENSPPRG00000023375
panthera_tigris ENSPTIG00000007880
felis_catus ENSFCAG00000031261
pteropus_vampyrus ENSPVAG00000009085
equus_caballus ENSECAG00000019197
equus_asinus ENSEASG00005011116
sus_scrofa ENSSSCG00000033258
tursiops_truncatus ENSTTRG00000009645
ovis_aries ENSOARG00000014623
capra_hircus ENSCHIG00000015635
bos_mutus ENSBMUG00000008292
bison_bison ENSBBBG00000023645
bos_taurus ENSBTAG00000021827
vicugna_pacos ENSVPAG00000006271
loxodonta_africana ENSLAFG00000009507
myotis_lucifugus ENSMLUG00000009194
dipodomys_ordii ENSDORG00000028001
echinops_telfairi ENSETEG00000012492
dasypus_novemcinctus ENSDNOG00000042846
phascolarctos_cinereus ENSPCIG00000008807
notamacropus_eugenii ENSMEUG00000009682
monodelphis_domestica ENSMODG00000017516
sarcophilus_harrisii ENSSHAG00000004870
ornithorhynchus_anatinus ENSOANG00000013098
sphenodon_punctatus ENSSPUG00000013487
crocodylus_porosus ENSCPRG00005005894
chelonoidis_abingdonii ENSCABG00000012770
gopherus_agassizii ENSGAGG00000021970
chrysemys_picta ENSCPBG00000017657
pelodiscus_sinensis ENSPSIG00000003604
lonchura_striata ENSLSDG00000015286
taeniopygia_guttata ENSTGUG00000011548
lepidothrix_coronata ENSLCOG00000016296
manacus_vitellinus ENSMVIG00005017464
parus_major ENSPMJG00000009695
junco_hyemalis ENSJHYG00000013901
zonotrichia_albicollis ENSZALG00000011040
ficedula_albicollis ENSFALG00000011861
melopsittacus_undulatus ENSMUNG00000003463
coturnix_japonica ENSCJPG00005008889
gallus_gallus ENSGALG00000029024
anas_platyrhynchos ENSAPLG00000008024
meleagris_gallopavo ENSMGAG00000013117
serinus_canaria ENSSCAG00000011030
cyanistes_caeruleus ENSCCEG00000010783
nothoprocta_perdicaria ENSNPEG00000008152
calidris_pygmaea ENSCPGG00000007039
calidris_pugnax ENSCPUG00000002855
anser_brachyrhynchus ENSABRG00000010780
numida_meleagris ENSNMEG00000022034
apteryx_haastii ENSAHAG00000009055
apteryx_owenii ENSAOWG00000005661
apteryx_rowi ENSARWG00000004376
dromaius_novaehollandiae ENSDNVG00000009116
xenopus_tropicalis ENSXETG00000000114
latimeria_chalumnae ENSLACG00000005024
procavia_capensis ENSPCAG00000006459
notechis_scutatus ENSNSUG00000007968
anolis_carolinensis ENSACAG00000010325
salvator_merianae ENSSMRG00000001971
scleropages_formosus ENSSFOG00015017297
paramormyrops_kingsleyae ENSPKIG00000003912
pygocentrus_nattereri ENSPNAG00000026466
astyanax_mexicanus ENSAMXG00000039014
ictalurus_punctatus ENSIPUG00000010589
danio_rerio ENSDARG00000036869
cynoglossus_semilaevis ENSCSEG00000014172
hippocampus_comes ENSHCOG00000007666
mastacembelus_armatus ENSMAMG00000016635
monopterus_albus ENSMALG00000011031
anabas_testudineus ENSATEG00000004746
seriola_dumerili ENSSDUG00000013207
seriola_lalandi ENSSLDG00000000081
scophthalmus_maximus ENSSMAG00000010798
astatotilapia_calliptera ENSACLG00000010780
maylandia_zebra ENSMZEG00005016294
pundamilia_nyererei ENSPNYG00000013233
haplochromis_burtoni ENSHBUG00000013252
