poecilia_mexicana ENSPMEG00000023388
poecilia_latipinna ENSPLAG00000018792
mastacembelus_armatus ENSMAMG00000001685
amphiprion_percula ENSAPEG00000018990
amphiprion_ocellaris ENSAOCG00000000248
esox_lucius ENSELUG00000018053
lepisosteus_oculatus ENSLOCG00000004416
pan_paniscus ENSPPAG00000038234
pan_troglodytes ENSPTRG00000044011
pan_troglodytes ENSPTRG00000008334
homo_sapiens ENSG00000257017
gorilla_gorilla ENSGGOG00000013039
homo_sapiens ENSG00000261701
gorilla_gorilla ENSGGOG00000044026
pan_troglodytes ENSPTRG00000008335
gorilla_gorilla ENSGGOG00000040916
pongo_abelii ENSPPYG00000007518
nomascus_leucogenys ENSNLEG00000005694
cercocebus_atys ENSCATG00000038853
papio_anubis ENSPANG00000032653
macaca_fascicularis ENSMFAG00000003873
macaca_mulatta ENSMMUG00000040857
theropithecus_gelada ENSTGEG00000010651
colobus_angolensis_palliatus ENSCANG00000031873
theropithecus_gelada ENSTGEG00000010561
rhinopithecus_roxellana ENSRROG00000039490
rhinopithecus_bieti ENSRBIG00000041552
colobus_angolensis_palliatus ENSCANG00000042791
macaca_mulatta ENSMMUG00000000672
macaca_fascicularis ENSMFAG00000002142
macaca_nemestrina ENSMNEG00000029208
mandrillus_leucophaeus ENSMLEG00000043651
papio_anubis ENSPANG00000009861
cercocebus_atys ENSCATG00000023916
chlorocebus_sabaeus ENSCSAG00000004233
macaca_mulatta ENSMMUG00000045744
chlorocebus_sabaeus ENSCSAG00000004230
piliocolobus_tephrosceles ENSPTEG00000007702
pan_paniscus ENSPPAG00000036058
gorilla_gorilla ENSGGOG00000037759
nomascus_leucogenys ENSNLEG00000032107
mandrillus_leucophaeus ENSMLEG00000011747
macaca_nemestrina ENSMNEG00000039642
saimiri_boliviensis_boliviensis ENSSBOG00000019806
cebus_capucinus ENSCCAG00000021397
callithrix_jacchus ENSCJAG00000015091
aotus_nancymaae ENSANAG00000032040
carlito_syrichta ENSTSYG00000013734
propithecus_coquereli ENSPCOG00000024816
microcebus_murinus ENSMICG00000033636
prolemur_simus ENSPSMG00000012615
otolemur_garnettii ENSOGAG00000008652
tupaia_belangeri ENSTBEG00000009397
dipodomys_ordii ENSDORG00000005220
chinchilla_lanigera ENSCLAG00000007495
octodon_degus ENSODEG00000014494
cavia_porcellus ENSCPOG00000013956
cavia_aperea ENSCAPG00000006509
heterocephalus_glaber_female ENSHGLG00000017320
heterocephalus_glaber_male ENSHGLG00100018117
fukomys_damarensis ENSFDAG00000010473
ictidomys_tridecemlineatus ENSSTOG00000022622
urocitellus_parryii ENSUPAG00010014354
spermophilus_dauricus ENSSDAG00000024183
spermophilus_dauricus ENSSDAG00000024185
spermophilus_dauricus ENSSDAG00000024188
marmota_marmota_marmota ENSMMMG00000013778
marmota_marmota_marmota ENSMMMG00000009539
peromyscus_maniculatus_bairdii ENSPEMG00000018012
microtus_ochrogaster ENSMOCG00000022096
cricetulus_griseus_crigri ENSCGRG00000013792
cricetulus_griseus_chok1gshd ENSCGRG00001022307
cricetulus_griseus_crigri-picr ENSCGRG00015010267
mesocricetus_auratus ENSMAUG00000019294
mus_spicilegus ENSMSIG00000017650
mus_musculus ENSMUSG00000031722
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032661
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031543
mus_pahari MGP_PahariEiJ_G0023143
rattus_norvegicus ENSRNOG00000014964
meriones_unguiculatus ENSMUGG00000012946
nannospalax_galili ENSNGAG00000005103
jaculus_jaculus ENSJJAG00000000389
castor_canadensis ENSCCNG00000018430
oryctolagus_cuniculus ENSOCUG00000009058
ochotona_princeps ENSOPRG00000001860
procavia_capensis ENSPCAG00000010487
pteropus_vampyrus ENSPVAG00000010254
myotis_lucifugus ENSMLUG00000026379
ursus_maritimus ENSUMAG00000018113
ursus_americanus ENSUAMG00000020432
ailuropoda_melanoleuca ENSAMEG00000002287
mustela_putorius_furo ENSMPUG00000007800
neovison_vison ENSNVIG00000007306
canis_lupus_familiaris ENSCAFG00000020220
canis_lupus_dingo ENSCAFG00020020746
vulpes_vulpes ENSVVUG00000017489
panthera_tigris_altaica ENSPTIG00000013933
panthera_pardus ENSPPRG00000010415
felis_catus ENSFCAG00000005828
bos_mutus ENSBMUG00000001030
bos_taurus ENSBTAG00000006354
bison_bison_bison ENSBBBG00000008299
capra_hircus ENSCHIG00000026069
ovis_aries ENSOARG00000003744
sus_scrofa ENSSSCG00000002749
tursiops_truncatus ENSTTRG00000001911
equus_asinus_asinus ENSEASG00005013254
equus_caballus ENSECAG00000021580
erinaceus_europaeus ENSEEUG00000000241
dasypus_novemcinctus ENSDNOG00000031656
loxodonta_africana ENSLAFG00000016347
echinops_telfairi ENSETEG00000007487
sorex_araneus ENSSARG00000000949
phascolarctos_cinereus ENSPCIG00000001757
sarcophilus_harrisii ENSSHAG00000016929
notamacropus_eugenii ENSMEUG00000000915
monodelphis_domestica ENSMODG00000002494
sphenodon_punctatus ENSSPUG00000005426
pogona_vitticeps ENSPVIG00000011329
gopherus_agassizii ENSGAGG00000001627
chelonoidis_abingdonii ENSCABG00000016780
calidris_pygmaea ENSCPGG00000008278
calidris_pugnax ENSCPUG00000011036
lepidothrix_coronata ENSLCOG00000014272
manacus_vitellinus ENSMVIG00005000419
melopsittacus_undulatus ENSMUNG00000003921
