fukomys_damarensis ENSFDAG00000015291
chinchilla_lanigera ENSCLAG00000008683
cavia_porcellus ENSCPOG00000022689
cavia_aperea ENSCAPG00000012011
octodon_degus ENSODEG00000006414
heterocephalus_glaber_female ENSHGLG00000006189
heterocephalus_glaber_male ENSHGLG00100008174
capra_hircus ENSCHIG00000016103
ovis_aries ENSOARG00000000728
bison_bison_bison ENSBBBG00000012908
bos_mutus ENSBMUG00000015493
bos_taurus ENSBTAG00000010356
vicugna_pacos ENSVPAG00000006777
tursiops_truncatus ENSTTRG00000008711
sus_scrofa ENSSSCG00000038026
oryctolagus_cuniculus ENSOCUG00000025429
ochotona_princeps ENSOPRG00000018496
pteropus_vampyrus ENSPVAG00000002757
myotis_lucifugus ENSMLUG00000002883
ursus_americanus ENSUAMG00000018092
ursus_maritimus ENSUMAG00000018727
ailuropoda_melanoleuca ENSAMEG00000007452
neovison_vison ENSNVIG00000010489
mustela_putorius_furo ENSMPUG00000004836
canis_lupus_dingo ENSCAFG00020023721
canis_lupus_familiaris ENSCAFG00000018680
vulpes_vulpes ENSVVUG00000011748
panthera_pardus ENSPPRG00000024521
panthera_tigris_altaica ENSPTIG00000017373
felis_catus ENSFCAG00000027710
castor_canadensis ENSCCNG00000030125
dipodomys_ordii ENSDORG00000008920
nannospalax_galili ENSNGAG00000019722
nannospalax_galili ENSNGAG00000024103
cricetulus_griseus_crigri-picr ENSCGRG00015020891
cricetulus_griseus_chok1gshd ENSCGRG00001006958
cricetulus_griseus_crigri ENSCGRG00000016593
mesocricetus_auratus ENSMAUG00000008371
microtus_ochrogaster ENSMOCG00000000452
peromyscus_maniculatus_bairdii ENSPEMG00000021032
rattus_norvegicus ENSRNOG00000019295
rattus_norvegicus ENSRNOG00000054609
mus_spicilegus ENSMSIG00000000750
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022750
mus_musculus ENSMUSG00000023460
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021839
mus_pahari MGP_PahariEiJ_G0020826
meriones_unguiculatus ENSMUGG00000007865
jaculus_jaculus ENSJJAG00000019064
marmota_marmota_marmota ENSMMMG00000013713
marmota_marmota_marmota ENSMMMG00000009753
spermophilus_dauricus ENSSDAG00000007018
ictidomys_tridecemlineatus ENSSTOG00000025122
urocitellus_parryii ENSUPAG00010011690
cebus_capucinus ENSCCAG00000022862
callithrix_jacchus ENSCJAG00000015468
aotus_nancymaae ENSANAG00000021061
gorilla_gorilla ENSGGOG00000002654
homo_sapiens ENSG00000206418
pan_troglodytes ENSPTRG00000009853
pan_paniscus ENSPPAG00000009152
pongo_abelii ENSPPYG00000009015
nomascus_leucogenys ENSNLEG00000006939
cercocebus_atys ENSCATG00000037784
macaca_nemestrina ENSMNEG00000040853
macaca_fascicularis ENSMFAG00000043551
theropithecus_gelada ENSTGEG00000011896
papio_anubis ENSPANG00000009320
chlorocebus_sabaeus ENSCSAG00000017569
rhinopithecus_bieti ENSRBIG00000028760
rhinopithecus_roxellana ENSRROG00000019249
colobus_angolensis_palliatus ENSCANG00000031453
piliocolobus_tephrosceles ENSPTEG00000031296
macaca_mulatta ENSMMUG00000045294
mandrillus_leucophaeus ENSMLEG00000043581
saimiri_boliviensis_boliviensis ENSSBOG00000021125
carlito_syrichta ENSTSYG00000001016
propithecus_coquereli ENSPCOG00000019816
microcebus_murinus ENSMICG00000030661
prolemur_simus ENSPSMG00000023054
otolemur_garnettii ENSOGAG00000028002
equus_asinus_asinus ENSEASG00005002926
equus_caballus ENSECAG00000007384
procavia_capensis ENSPCAG00000015007
loxodonta_africana ENSLAFG00000020748
choloepus_hoffmanni ENSCHOG00000001485
dasypus_novemcinctus ENSDNOG00000046064
pogona_vitticeps ENSPVIG00000003640
anolis_carolinensis ENSACAG00000003360
notechis_scutatus ENSNSUG00000008180
salvator_merianae ENSSMRG00000000028
sphenodon_punctatus ENSSPUG00000003222
lepidothrix_coronata ENSLCOG00000015858
taeniopygia_guttata ENSTGUG00000009889
ficedula_albicollis ENSFALG00000006366
anas_platyrhynchos_platyrhynchos ENSAPLG00000008252
serinus_canaria ENSSCAG00000009254
cyanistes_caeruleus ENSCCEG00000000120
calidris_pygmaea ENSCPGG00000015063
calidris_pugnax ENSCPUG00000007866
melopsittacus_undulatus ENSMUNG00000003615
meleagris_gallopavo ENSMGAG00000009197
coturnix_japonica ENSCJPG00005008327
apteryx_owenii ENSAOWG00000008894
apteryx_rowi ENSARWG00000011888
nothoprocta_perdicaria ENSNPEG00000012389
dromaius_novaehollandiae ENSDNVG00000011122
zonotrichia_albicollis ENSZALG00000017148
manacus_vitellinus ENSMVIG00005007589
numida_meleagris ENSNMEG00000010166
