bos_mutus ENSBMUG00000022059
myotis_lucifugus ENSMLUG00000014403
dasypus_novemcinctus ENSDNOG00000034933
sorex_araneus ENSSARG00000004583
erinaceus_europaeus ENSEEUG00000007468
pteropus_vampyrus ENSPVAG00000002937
canis_lupus_familiaris ENSCAFG00000031863
canis_lupus_dingo ENSCAFG00020014906
vulpes_vulpes ENSVVUG00000002195
mustela_putorius_furo ENSMPUG00000019115
ursus_maritimus ENSUMAG00000003982
ailuropoda_melanoleuca ENSAMEG00000007380
panthera_pardus ENSPPRG00000011044
panthera_tigris_altaica ENSPTIG00000008362
felis_catus ENSFCAG00000041948
sus_scrofa ENSSSCG00000023027
vicugna_pacos ENSVPAG00000010098
bos_taurus ENSBTAG00000003465
bison_bison_bison ENSBBBG00000011750
capra_hircus ENSCHIG00000005735
equus_caballus ENSECAG00000002408
equus_asinus_asinus ENSEASG00005020247
dipodomys_ordii ENSDORG00000027825
castor_canadensis ENSCCNG00000023619
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030264
mus_musculus ENSMUSG00000057894
mus_spicilegus ENSMSIG00000015278
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029188
mus_pahari MGP_PahariEiJ_G0021050
rattus_norvegicus ENSRNOG00000019376
meriones_unguiculatus ENSMUGG00000003043
meriones_unguiculatus ENSMUGG00000002796
peromyscus_maniculatus_bairdii ENSPEMG00000031048
microtus_ochrogaster ENSMOCG00000007161
cricetulus_griseus_chok1gshd ENSCGRG00001013107
cricetulus_griseus_crigri ENSCGRG00000006483
cricetulus_griseus_crigri-picr ENSCGRG00015014750
mesocricetus_auratus ENSMAUG00000008851
nannospalax_galili ENSNGAG00000012452
jaculus_jaculus ENSJJAG00000011641
heterocephalus_glaber_male ENSHGLG00100021119
heterocephalus_glaber_female ENSHGLG00000020581
chinchilla_lanigera ENSCLAG00000017533
spermophilus_dauricus ENSSDAG00000011692
marmota_marmota_marmota ENSMMMG00000024715
urocitellus_parryii ENSUPAG00010006383
oryctolagus_cuniculus ENSOCUG00000002886
ochotona_princeps ENSOPRG00000007369
prolemur_simus ENSPSMG00000008882
otolemur_garnettii ENSOGAG00000005636
pan_paniscus ENSPPAG00000006279
pan_troglodytes ENSPTRG00000011582
homo_sapiens ENSG00000181894
gorilla_gorilla ENSGGOG00000002485
pongo_abelii ENSPPYG00000010492
nomascus_leucogenys ENSNLEG00000019190
rhinopithecus_bieti ENSRBIG00000041052
rhinopithecus_roxellana ENSRROG00000016226
piliocolobus_tephrosceles ENSPTEG00000004768
macaca_nemestrina ENSMNEG00000022300
macaca_fascicularis ENSMFAG00000026995
macaca_mulatta ENSMMUG00000020504
papio_anubis ENSPANG00000012355
theropithecus_gelada ENSTGEG00000015787
cercocebus_atys ENSCATG00000022811
mandrillus_leucophaeus ENSMLEG00000026699
chlorocebus_sabaeus ENSCSAG00000019663
callithrix_jacchus ENSCJAG00000000347
loxodonta_africana ENSLAFG00000009318
echinops_telfairi ENSETEG00000012286
dasypus_novemcinctus ENSDNOG00000007169
