cricetulus_griseus_chok1gshd ENSCGRG00001022423
cricetulus_griseus_crigri ENSCGRG00000010706
mesocricetus_auratus ENSMAUG00000016378
peromyscus_maniculatus_bairdii ENSPEMG00000030970
mus_musculus ENSMUSG00000062783
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015149
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014342
mus_pahari MGP_PahariEiJ_G0027579
rattus_norvegicus ENSRNOG00000017256
nannospalax_galili ENSNGAG00000003721
jaculus_jaculus ENSJJAG00000000246
chinchilla_lanigera ENSCLAG00000011634
cavia_porcellus ENSCPOG00000020462
heterocephalus_glaber_male ENSHGLG00100012097
heterocephalus_glaber_female ENSHGLG00000003204
urocitellus_parryii ENSUPAG00010004788
spermophilus_dauricus ENSSDAG00000020021
marmota_marmota_marmota ENSMMMG00000001162
oryctolagus_cuniculus ENSOCUG00000027242
bos_mutus ENSBMUG00000026105
bos_taurus ENSBTAG00000007280
bison_bison_bison ENSBBBG00000000211
ovis_aries ENSOARG00000019801
capra_hircus ENSCHIG00000017384
sus_scrofa ENSSSCG00000037351
equus_asinus_asinus ENSEASG00005008424
equus_caballus ENSECAG00000028530
mustela_putorius_furo ENSMPUG00000004332
neovison_vison ENSNVIG00000002349
ursus_maritimus ENSUMAG00000017129
ursus_americanus ENSUAMG00000012335
ailuropoda_melanoleuca ENSAMEG00000018820
canis_lupus_familiaris ENSCAFG00000029276
canis_lupus_dingo ENSCAFG00020022733
vulpes_vulpes ENSVVUG00000025674
panthera_tigris_altaica ENSPTIG00000007774
panthera_pardus ENSPPRG00000020481
felis_catus ENSFCAG00000023534
myotis_lucifugus ENSMLUG00000028531
myotis_lucifugus ENSMLUG00000025883
theropithecus_gelada ENSTGEG00000016863
piliocolobus_tephrosceles ENSPTEG00000039790
loxodonta_africana ENSLAFG00000027327
