lepidothrix_coronata ENSLCOG00000010537
manacus_vitellinus ENSMVIG00005012516
lonchura_striata_domestica ENSLSDG00000010910
taeniopygia_guttata ENSTGUG00000013282
serinus_canaria ENSSCAG00000014445
junco_hyemalis ENSJHYG00000006361
zonotrichia_albicollis ENSZALG00000016409
parus_major ENSPMJG00000013020
cyanistes_caeruleus ENSCCEG00000020949
ficedula_albicollis ENSFALG00000002125
melopsittacus_undulatus ENSMUNG00000010552
meleagris_gallopavo ENSMGAG00000016594
coturnix_japonica ENSCJPG00005001067
gallus_gallus ENSGALG00000042193
numida_meleagris ENSNMEG00000008286
anser_brachyrhynchus ENSABRG00000004022
anas_platyrhynchos_platyrhynchos ENSAPLG00000027564
calidris_pygmaea ENSCPGG00000014901
calidris_pugnax ENSCPUG00000008852
apteryx_haastii ENSAHAG00000003011
apteryx_owenii ENSAOWG00000006621
apteryx_rowi ENSARWG00000008905
nothoprocta_perdicaria ENSNPEG00000008148
dromaius_novaehollandiae ENSDNVG00000012300
