neolamprologus_brichardi ENSNBRG00000008608
pundamilia_nyererei ENSPNYG00000020535
amphilophus_citrinellus ENSACIG00000001493
amphiprion_percula ENSAPEG00000023240
kryptolebias_marmoratus ENSKMAG00000000330
xiphophorus_couchianus ENSXCOG00000017913
gouania_willdenowi ENSGWIG00000002567
mola_mola ENSMMOG00000019485
mastacembelus_armatus ENSMAMG00000019625
monopterus_albus ENSMALG00000008003
betta_splendens ENSBSLG00000006946
lates_calcarifer ENSLCAG00010010251
denticeps_clupeoides ENSDCDG00000023399
scleropages_formosus ENSSFOG00015005152
paramormyrops_kingsleyae ENSPKIG00000007779
scleropages_formosus ENSSFOG00015004847
