melopsittacus_undulatus ENSMUNG00000002843
anser_brachyrhynchus ENSABRG00000019367
panthera_tigris_altaica ENSPTIG00000021080
ovis_aries ENSOARG00000004546
tupaia_belangeri ENSTBEG00000017056
salvator_merianae ENSSMRG00000007205
cavia_aperea ENSCAPG00000013760
cavia_porcellus ENSCPOG00000031530
chinchilla_lanigera ENSCLAG00000001695
fukomys_damarensis ENSFDAG00000013099
ictidomys_tridecemlineatus ENSSTOG00000016149
cricetulus_griseus_crigri ENSCGRG00000003539
tursiops_truncatus ENSTTRG00000005639
ovis_aries ENSOARG00000005901
choloepus_hoffmanni ENSCHOG00000008578
echinops_telfairi ENSETEG00000003342
vulpes_vulpes ENSVVUG00000028452
esox_lucius ENSELUG00000007885
