spermophilus_dauricus ENSSDAG00000006058
urocitellus_parryii ENSUPAG00010014198
cavia_porcellus ENSCPOG00000035012
cavia_aperea ENSCAPG00000009837
castor_canadensis ENSCCNG00000031811
gorilla_gorilla ENSGGOG00000040983
tupaia_belangeri ENSTBEG00000006325
neovison_vison ENSNVIG00000022998
neovison_vison ENSNVIG00000013579
canis_lupus_dingo ENSCAFG00020005969
sarcophilus_harrisii ENSSHAG00000010361
chelonoidis_abingdonii ENSCABG00000003577
tetraodon_nigroviridis ENSTNIG00000005477
cyprinodon_variegatus ENSCVAG00000008590
ictalurus_punctatus ENSIPUG00000022883
