meleagris_gallopavo ENSMGAG00000008279
anas_platyrhynchos_platyrhynchos ENSAPLG00000020884
dromaius_novaehollandiae ENSDNVG00000010562
cyanistes_caeruleus ENSCCEG00000020528
anser_brachyrhynchus ENSABRG00000012467
sphenodon_punctatus ENSSPUG00000004190
anolis_carolinensis ENSACAG00000029557
monodelphis_domestica ENSMODG00000013777
mus_spicilegus ENSMSIG00000000855
mus_musculus ENSMUSG00000025515
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030707
mus_pahari MGP_PahariEiJ_G0013906
rattus_norvegicus ENSRNOG00000046602
meriones_unguiculatus ENSMUGG00000022272
meriones_unguiculatus ENSMUGG00000022351
peromyscus_maniculatus_bairdii ENSPEMG00000025823
microtus_ochrogaster ENSMOCG00000022006
cricetulus_griseus_chok1gshd ENSCGRG00001002462
cricetulus_griseus_crigri-picr ENSCGRG00015027012
cricetulus_griseus_crigri ENSCGRG00000018103
mesocricetus_auratus ENSMAUG00000020713
nannospalax_galili ENSNGAG00000007748
jaculus_jaculus ENSJJAG00000022413
castor_canadensis ENSCCNG00000022065
dipodomys_ordii ENSDORG00000027436
chinchilla_lanigera ENSCLAG00000001697
octodon_degus ENSODEG00000014796
cavia_porcellus ENSCPOG00000020405
cavia_aperea ENSCAPG00000010297
heterocephalus_glaber_male ENSHGLG00100000978
heterocephalus_glaber_female ENSHGLG00000008752
gorilla_gorilla ENSGGOG00000000201
marmota_marmota_marmota ENSMMMG00000005239
canis_lupus_familiaris ENSCAFG00000009898
bos_mutus ENSBMUG00000005117
ovis_aries ENSOARG00000018200
vicugna_pacos ENSVPAG00000006086
erinaceus_europaeus ENSEEUG00000002692
cercocebus_atys ENSCATG00000038315
macaca_fascicularis ENSMFAG00000035833
nomascus_leucogenys ENSNLEG00000007409
procavia_capensis ENSPCAG00000007481
cricetulus_griseus_crigri ENSCGRG00000016531
notamacropus_eugenii ENSMEUG00000016001
sphenodon_punctatus ENSSPUG00000011502
junco_hyemalis ENSJHYG00000009811
xiphophorus_couchianus ENSXCOG00000006006
labrus_bergylta ENSLBEG00000022738
labrus_bergylta ENSLBEG00000016531
ovis_aries ENSOARG00000018134
petromyzon_marinus ENSPMAG00000007684
