prolemur_simus ENSPSMG00000025559
propithecus_coquereli ENSPCOG00000016779
microcebus_murinus ENSMICG00000042137
otolemur_garnettii ENSOGAG00000030765
pan_troglodytes ENSPTRG00000018790
gorilla_gorilla ENSGGOG00000028089
homo_sapiens ENSG00000176381
pongo_abelii ENSPPYG00000017164
theropithecus_gelada ENSTGEG00000028748
macaca_mulatta ENSMMUG00000011700
chlorocebus_sabaeus ENSCSAG00000012184
piliocolobus_tephrosceles ENSPTEG00000025005
cebus_capucinus ENSCCAG00000031870
callithrix_jacchus ENSCJAG00000012527
aotus_nancymaae ENSANAG00000020254
castor_canadensis ENSCCNG00000022954
urocitellus_parryii ENSUPAG00010012167
microtus_ochrogaster ENSMOCG00000014100
mesocricetus_auratus ENSMAUG00000001676
peromyscus_maniculatus ENSPEMG00000014412
mus_spicilegus ENSMSIG00000026109
mus_spretus MGP_SPRETEiJ_G0021957
mus_caroli MGP_CAROLIEiJ_G0021063
mus_musculus ENSMUSG00000055945
mus_pahari MGP_PahariEiJ_G0023380
rattus_norvegicus ENSRNOG00000024149
meriones_unguiculatus ENSMUGG00000027049
tursiops_truncatus ENSTTRG00000004441
felis_catus ENSFCAG00000051868
vombatus_ursinus ENSVURG00010011194
phascolarctos_cinereus ENSPCIG00000016663
notamacropus_eugenii ENSMEUG00000014962
sarcophilus_harrisii ENSSHAG00000004252
calidris_pygmaea ENSCPGG00000008123
calidris_pugnax ENSCPUG00000012066
anser_brachyrhynchus ENSABRG00000009063
coturnix_japonica ENSCJPG00005004044
lepidothrix_coronata ENSLCOG00000006216
chelonoidis_abingdonii ENSCABG00000020659
sphenodon_punctatus ENSSPUG00000002061
salvator_merianae ENSSMRG00000022183
xenopus_tropicalis ENSXETG00000021387
astyanax_mexicanus ENSAMXG00000030746
astyanax_mexicanus ENSAMXG00005016363
pygocentrus_nattereri ENSPNAG00000019087
ictalurus_punctatus ENSIPUG00000017436
electrophorus_electricus ENSEEEG00000010271
danio_rerio ENSDARG00000093768
denticeps_clupeoides ENSDCDG00000012097
poecilia_formosa ENSPFOG00000019997
poecilia_latipinna ENSPLAG00000002359
poecilia_mexicana ENSPMEG00000020337
poecilia_reticulata ENSPREG00000023146
xiphophorus_maculatus ENSXMAG00000019917
xiphophorus_couchianus ENSXCOG00000010899
gambusia_affinis ENSGAFG00000006653
cyprinodon_variegatus ENSCVAG00000007369
fundulus_heteroclitus ENSFHEG00000005868
kryptolebias_marmoratus ENSKMAG00000016075
oryzias_latipes ENSORLG00015001555
oryzias_latipes ENSORLG00000011234
oryzias_latipes ENSORLG00020017065
oryzias_melastigma ENSOMEG00000001276
betta_splendens ENSBSLG00000019717
scophthalmus_maximus ENSSMAG00000008582
cynoglossus_semilaevis ENSCSEG00000012170
lates_calcarifer ENSLCAG00010016466
lates_calcarifer ENSLCAG00010000395
seriola_dumerili ENSSDUG00000005877
seriola_lalandi ENSSLDG00000023080
monopterus_albus ENSMALG00000002186
mastacembelus_armatus ENSMAMG00000019990
anabas_testudineus ENSATEG00000017994
amphiprion_ocellaris ENSAOCG00000003688
amphiprion_percula ENSAPEG00000015487
acanthochromis_polyacanthus ENSAPOG00000002101
stegastes_partitus ENSSPAG00000021501
parambassis_ranga ENSPRNG00000021109
neolamprologus_brichardi ENSNBRG00000015592
oreochromis_niloticus ENSONIG00000021265
pundamilia_nyererei ENSPNYG00000017965
haplochromis_burtoni ENSHBUG00000010300
astatotilapia_calliptera ENSACLG00000026245
maylandia_zebra ENSMZEG00005007023
amphilophus_citrinellus ENSACIG00000010075
mola_mola ENSMMOG00000003457
takifugu_rubripes ENSTRUG00000023032
labrus_bergylta ENSLBEG00000002871
larimichthys_crocea ENSLCRG00005012745
gouania_willdenowi ENSGWIG00000023523
hippocampus_comes ENSHCOG00000012435
periophthalmus_magnuspinnatus ENSPMGG00000001726
hucho_hucho ENSHHUG00000043312
hucho_hucho ENSHHUG00000002486
esox_lucius ENSELUG00000015440
paramormyrops_kingsleyae ENSPKIG00000006923
lepisosteus_oculatus ENSLOCG00000017366
erpetoichthys_calabaricus ENSECRG00000020536
betta_splendens ENSBSLG00000001006
takifugu_rubripes ENSTRUG00000020587
cynoglossus_semilaevis ENSCSEG00000002280
anabas_testudineus ENSATEG00000007784
mastacembelus_armatus ENSMAMG00000008106
seriola_dumerili ENSSDUG00000016114
scophthalmus_maximus ENSSMAG00000000159
lates_calcarifer ENSLCAG00010007061
labrus_bergylta ENSLBEG00000006758
mola_mola ENSMMOG00000003575
astatotilapia_calliptera ENSACLG00000002538
maylandia_zebra ENSMZEG00005012398
amphilophus_citrinellus ENSACIG00000017716
oryzias_latipes ENSORLG00000024225
oryzias_melastigma ENSOMEG00000000565
stegastes_partitus ENSSPAG00000018904
acanthochromis_polyacanthus ENSAPOG00000008903
astyanax_mexicanus ENSAMXG00005015800
