gasterosteus_aculeatus ENSGACG00000019087
labrus_bergylta ENSLBEG00000000701
takifugu_rubripes ENSTRUG00000004999
tetraodon_nigroviridis ENSTNIG00000006922
mola_mola ENSMMOG00000003379
cyprinodon_variegatus ENSCVAG00000001706
fundulus_heteroclitus ENSFHEG00000004009
poecilia_mexicana ENSPMEG00000005763
poecilia_formosa ENSPFOG00000004090
poecilia_latipinna ENSPLAG00000012756
poecilia_reticulata ENSPREG00000013197
xiphophorus_couchianus ENSXCOG00000015151
xiphophorus_maculatus ENSXMAG00000006512
gambusia_affinis ENSGAFG00000007047
kryptolebias_marmoratus ENSKMAG00000006119
oryzias_latipes ENSORLG00020005934
oryzias_latipes_asm223469v1 ENSORLG00015002888
oryzias_latipes ENSORLG00000008860
oryzias_melastigma ENSOMEG00000001611
amphiprion_ocellaris ENSAOCG00000007647
amphiprion_percula ENSAPEG00000011408
acanthochromis_polyacanthus ENSAPOG00000002287
stegastes_partitus ENSSPAG00000014763
pundamilia_nyererei ENSPNYG00000011507
maylandia_zebra ENSMZEG00005018112
haplochromis_burtoni ENSHBUG00000010331
astatotilapia_calliptera ENSACLG00000008041
neolamprologus_brichardi ENSNBRG00000019340
oreochromis_niloticus ENSONIG00000009903
amphilophus_citrinellus ENSACIG00000008113
seriola_lalandi_dorsalis ENSSLDG00000012789
seriola_dumerili ENSSDUG00000013665
scophthalmus_maximus ENSSMAG00000016582
anabas_testudineus ENSATEG00000005881
mastacembelus_armatus ENSMAMG00000002374
cynoglossus_semilaevis ENSCSEG00000014725
labrus_bergylta ENSLBEG00000000630
tetraodon_nigroviridis ENSTNIG00000006923
monopterus_albus ENSMALG00000002469
maylandia_zebra ENSMZEG00005018045
astatotilapia_calliptera ENSACLG00000007949
maylandia_zebra ENSMZEG00005018085
maylandia_zebra ENSMZEG00005018056
astatotilapia_calliptera ENSACLG00000007984
maylandia_zebra ENSMZEG00005018078
astatotilapia_calliptera ENSACLG00000007962
oreochromis_niloticus ENSONIG00000009901
amphilophus_citrinellus ENSACIG00000008193
amphilophus_citrinellus ENSACIG00000008229
maylandia_zebra ENSMZEG00005018094
astatotilapia_calliptera ENSACLG00000008011
haplochromis_burtoni ENSHBUG00000010281
pundamilia_nyererei ENSPNYG00000011396
neolamprologus_brichardi ENSNBRG00000021524
amphilophus_citrinellus ENSACIG00000008155
oryzias_melastigma ENSOMEG00000001652
oryzias_melastigma ENSOMEG00000007186
oryzias_latipes ENSORLG00020006016
oryzias_latipes ENSORLG00000029005
oryzias_latipes_asm223469v1 ENSORLG00015002958
kryptolebias_marmoratus ENSKMAG00000006201
amphiprion_percula ENSAPEG00000011208
amphiprion_ocellaris ENSAOCG00000007765
acanthochromis_polyacanthus ENSAPOG00000002252
stegastes_partitus ENSSPAG00000014808
periophthalmus_magnuspinnatus ENSPMGG00000004058
gadus_morhua ENSGMOG00000006734
esox_lucius ENSELUG00000018694
pygocentrus_nattereri ENSPNAG00000004576
astyanax_mexicanus ENSAMXG00000021075
ictalurus_punctatus ENSIPUG00000013614
danio_rerio ENSDARG00000087120
scleropages_formosus ENSSFOG00015001911
paramormyrops_kingsleyae ENSPKIG00000007438
lepisosteus_oculatus ENSLOCG00000015201
latimeria_chalumnae ENSLACG00000011968
petromyzon_marinus ENSPMAG00000007518
loxodonta_africana ENSLAFG00000002166
procavia_capensis ENSPCAG00000016858
echinops_telfairi ENSETEG00000007662
dasypus_novemcinctus ENSDNOG00000037439
pan_troglodytes ENSPTRG00000005348
pan_paniscus ENSPPAG00000038189
homo_sapiens ENSG00000256870
gorilla_gorilla ENSGGOG00000004017
pongo_abelii ENSPPYG00000004870
nomascus_leucogenys ENSNLEG00000006157
papio_anubis ENSPANG00000006619
theropithecus_gelada ENSTGEG00000006228
mandrillus_leucophaeus ENSMLEG00000017002
cercocebus_atys ENSCATG00000021653
macaca_nemestrina ENSMNEG00000044791
macaca_mulatta ENSMMUG00000015134
macaca_fascicularis ENSMFAG00000031305
chlorocebus_sabaeus ENSCSAG00000003405
rhinopithecus_bieti ENSRBIG00000026396
rhinopithecus_roxellana ENSRROG00000035592
colobus_angolensis_palliatus ENSCANG00000037088
piliocolobus_tephrosceles ENSPTEG00000008091
saimiri_boliviensis_boliviensis ENSSBOG00000033836
cebus_capucinus ENSCCAG00000019178
callithrix_jacchus ENSCJAG00000001983
aotus_nancymaae ENSANAG00000033997
carlito_syrichta ENSTSYG00000011242
microcebus_murinus ENSMICG00000029503
propithecus_coquereli ENSPCOG00000016441
prolemur_simus ENSPSMG00000013925
otolemur_garnettii ENSOGAG00000015120
castor_canadensis ENSCCNG00000013892
dipodomys_ordii ENSDORG00000013252
mus_spicilegus ENSMSIG00000017818
mus_musculus ENSMUSG00000020062
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016532
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015714
mus_pahari MGP_PahariEiJ_G0031371
rattus_norvegicus ENSRNOG00000006367
meriones_unguiculatus ENSMUGG00000004531
peromyscus_maniculatus_bairdii ENSPEMG00000020559
microtus_ochrogaster ENSMOCG00000012457
cricetulus_griseus_crigri ENSCGRG00000008570
cricetulus_griseus_chok1gshd ENSCGRG00001014482
cricetulus_griseus_crigri-picr ENSCGRG00015014614
mesocricetus_auratus ENSMAUG00000020619
nannospalax_galili ENSNGAG00000024154
jaculus_jaculus ENSJJAG00000018761
chinchilla_lanigera ENSCLAG00000009574
octodon_degus ENSODEG00000010696
cavia_aperea ENSCAPG00000011220
cavia_porcellus ENSCPOG00000010055
heterocephalus_glaber_female ENSHGLG00000008465
heterocephalus_glaber_male ENSHGLG00100001004
fukomys_damarensis ENSFDAG00000008956
ictidomys_tridecemlineatus ENSSTOG00000016289
marmota_marmota_marmota ENSMMMG00000017894
spermophilus_dauricus ENSSDAG00000023198
urocitellus_parryii ENSUPAG00010003154
oryctolagus_cuniculus ENSOCUG00000003486
ochotona_princeps ENSOPRG00000010522
tupaia_belangeri ENSTBEG00000015924
ursus_americanus ENSUAMG00000004388
ursus_maritimus ENSUMAG00000001198
ailuropoda_melanoleuca ENSAMEG00000016399
neovison_vison ENSNVIG00000009429
mustela_putorius_furo ENSMPUG00000011632
canis_lupus_dingo ENSCAFG00020024296
canis_lupus_familiaris ENSCAFG00000006942
vulpes_vulpes ENSVVUG00000018468
panthera_pardus ENSPPRG00000001967
panthera_tigris_altaica ENSPTIG00000020155
felis_catus ENSFCAG00000031580
equus_asinus_asinus ENSEASG00005019961
equus_caballus ENSECAG00000013230
vicugna_pacos ENSVPAG00000011618
sus_scrofa ENSSSCG00000000871
ovis_aries ENSOARG00000014402
capra_hircus ENSCHIG00000012962
bos_mutus ENSBMUG00000009096
bos_taurus ENSBTAG00000011525
bison_bison_bison ENSBBBG00000001338
tursiops_truncatus ENSTTRG00000017193
myotis_lucifugus ENSMLUG00000013581
pteropus_vampyrus ENSPVAG00000017732
erinaceus_europaeus ENSEEUG00000011714
sorex_araneus ENSSARG00000001351
monodelphis_domestica ENSMODG00000028929
meriones_unguiculatus ENSMUGG00000003718
sarcophilus_harrisii ENSSHAG00000014997
monodelphis_domestica ENSMODG00000003207
phascolarctos_cinereus ENSPCIG00000009010
notamacropus_eugenii ENSMEUG00000002547
phascolarctos_cinereus ENSPCIG00000009014
monodelphis_domestica ENSMODG00000028751
sarcophilus_harrisii ENSSHAG00000004549
phascolarctos_cinereus ENSPCIG00000009029
monodelphis_domestica ENSMODG00000003187
sarcophilus_harrisii ENSSHAG00000002842
ornithorhynchus_anatinus ENSOANG00000005579
monodelphis_domestica ENSMODG00000028414
monodelphis_domestica ENSMODG00000004821
monodelphis_domestica ENSMODG00000027964
phascolarctos_cinereus ENSPCIG00000011851
sarcophilus_harrisii ENSSHAG00000010597
phascolarctos_cinereus ENSPCIG00000009002
phascolarctos_cinereus ENSPCIG00000035845
ornithorhynchus_anatinus ENSOANG00000020001
anolis_carolinensis ENSACAG00000011810
pogona_vitticeps ENSPVIG00000021838
salvator_merianae ENSSMRG00000013849
notechis_scutatus ENSNSUG00000000771
notechis_scutatus ENSNSUG00000000773
