macaca_fascicularis ENSMFAG00000042411
macaca_nemestrina ENSMNEG00000041027
cercocebus_atys ENSCATG00000030342
rhinopithecus_bieti ENSRBIG00000038098
pan_paniscus ENSPPAG00000042022
pan_troglodytes ENSPTRG00000044503
gorilla_gorilla ENSGGOG00000040402
nomascus_leucogenys ENSNLEG00000034418
cebus_capucinus ENSCCAG00000030974
saimiri_boliviensis ENSSBOG00000024454
mandrillus_leucophaeus ENSMLEG00000042288
papio_anubis ENSPANG00000029738
rhinopithecus_roxellana ENSRROG00000001980
microcebus_murinus ENSMICG00000044209
equus_asinus ENSEASG00005012992
equus_caballus ENSECAG00000040452
capra_hircus ENSCHIG00000013875
