haplochromis_burtoni ENSHBUG00000014898
astatotilapia_calliptera ENSACLG00000000091
neolamprologus_brichardi ENSNBRG00000004164
maylandia_zebra ENSMZEG00005011424
maylandia_zebra ENSMZEG00005011436
neolamprologus_brichardi ENSNBRG00000004148
amphilophus_citrinellus ENSACIG00000001023
poecilia_latipinna ENSPLAG00000017019
poecilia_mexicana ENSPMEG00000024275
poecilia_reticulata ENSPREG00000009003
xiphophorus_maculatus ENSXMAG00000022181
gambusia_affinis ENSGAFG00000017986
gambusia_affinis ENSGAFG00000017994
xiphophorus_couchianus ENSXCOG00000004075
poecilia_mexicana ENSPMEG00000024279
fundulus_heteroclitus ENSFHEG00000000228
cyprinodon_variegatus ENSCVAG00000016446
cyprinodon_variegatus ENSCVAG00000016457
mastacembelus_armatus ENSMAMG00000000148
seriola_dumerili ENSSDUG00000017810
anabas_testudineus ENSATEG00000020217
labrus_bergylta ENSLBEG00000002551
seriola_lalandi_dorsalis ENSSLDG00000010805
seriola_dumerili ENSSDUG00000001126
maylandia_zebra ENSMZEG00005011414
