ailuropoda_melanoleuca ENSAMEG00000015766
ursus_maritimus ENSUMAG00000011141
mustela_putorius_furo ENSMPUG00000020141
neovison_vison ENSNVIG00000023991
sorex_araneus ENSSARG00000002013
sorex_araneus ENSSARG00000013747
canis_lupus_dingo ENSCAFG00020026426
canis_lupus_familiaris ENSCAFG00000015567
vulpes_vulpes ENSVVUG00000002575
panthera_pardus ENSPPRG00000018659
panthera_tigris_altaica ENSPTIG00000021145
felis_catus ENSFCAG00000046300
myotis_lucifugus ENSMLUG00000011187
myotis_lucifugus ENSMLUG00000027140
pteropus_vampyrus ENSPVAG00000006274
equus_caballus ENSECAG00000004701
equus_asinus_asinus ENSEASG00005012929
bos_taurus ENSBTAG00000018406
bos_mutus ENSBMUG00000009303
bison_bison_bison ENSBBBG00000008534
ovis_aries ENSOARG00000013688
ovis_aries ENSOARG00000019124
capra_hircus ENSCHIG00000016590
tursiops_truncatus ENSTTRG00000003341
sus_scrofa ENSSSCG00000010430
vicugna_pacos ENSVPAG00000006134
homo_sapiens ENSG00000177613
pongo_abelii ENSPPYG00000002441
macaca_nemestrina ENSMNEG00000031410
macaca_fascicularis ENSMFAG00000042009
papio_anubis ENSPANG00000029734
theropithecus_gelada ENSTGEG00000005939
piliocolobus_tephrosceles ENSPTEG00000038075
pan_paniscus ENSPPAG00000032242
pan_troglodytes ENSPTRG00000043097
colobus_angolensis_palliatus ENSCANG00000005843
cercocebus_atys ENSCATG00000041868
macaca_mulatta ENSMMUG00000042906
callithrix_jacchus ENSCJAG00000011554
callithrix_jacchus ENSCJAG00000039083
cebus_capucinus ENSCCAG00000020816
aotus_nancymaae ENSANAG00000027508
gorilla_gorilla ENSGGOG00000042388
gorilla_gorilla ENSGGOG00000036416
nomascus_leucogenys ENSNLEG00000012025
rhinopithecus_roxellana ENSRROG00000042507
rhinopithecus_bieti ENSRBIG00000029324
chlorocebus_sabaeus ENSCSAG00000018437
saimiri_boliviensis_boliviensis ENSSBOG00000022638
carlito_syrichta ENSTSYG00000007750
microcebus_murinus ENSMICG00000030551
microcebus_murinus ENSMICG00000000867
propithecus_coquereli ENSPCOG00000010982
prolemur_simus ENSPSMG00000003500
otolemur_garnettii ENSOGAG00000014565
mus_spicilegus ENSMSIG00000025837
mus_musculus ENSMUSG00000053536
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023790
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022872
mus_pahari MGP_PahariEiJ_G0014365
rattus_norvegicus ENSRNOG00000050289
meriones_unguiculatus ENSMUGG00000004584
peromyscus_maniculatus_bairdii ENSPEMG00000025097
microtus_ochrogaster ENSMOCG00000020428
cricetulus_griseus_crigri-picr ENSCGRG00015021837
cricetulus_griseus_chok1gshd ENSCGRG00001003222
cricetulus_griseus_crigri ENSCGRG00000008682
mesocricetus_auratus ENSMAUG00000006359
nannospalax_galili ENSNGAG00000003304
spermophilus_dauricus ENSSDAG00000001686
marmota_marmota_marmota ENSMMMG00000018794
urocitellus_parryii ENSUPAG00010010968
ictidomys_tridecemlineatus ENSSTOG00000026303
cavia_porcellus ENSCPOG00000004195
chinchilla_lanigera ENSCLAG00000017916
octodon_degus ENSODEG00000012386
heterocephalus_glaber_male ENSHGLG00100000336
heterocephalus_glaber_female ENSHGLG00000015478
fukomys_damarensis ENSFDAG00000021170
castor_canadensis ENSCCNG00000023322
dipodomys_ordii ENSDORG00000011245
jaculus_jaculus ENSJJAG00000019881
oryctolagus_cuniculus ENSOCUG00000004647
tupaia_belangeri ENSTBEG00000014379
dasypus_novemcinctus ENSDNOG00000003283
choloepus_hoffmanni ENSCHOG00000011888
loxodonta_africana ENSLAFG00000002058
procavia_capensis ENSPCAG00000000046
stegastes_partitus ENSSPAG00000009247
poecilia_formosa ENSPFOG00000016756
seriola_dumerili ENSSDUG00000001049
seriola_lalandi_dorsalis ENSSLDG00000010056
cynoglossus_semilaevis ENSCSEG00000002596
monopterus_albus ENSMALG00000008842
takifugu_rubripes ENSTRUG00000004323
esox_lucius ENSELUG00000004079
eptatretus_burgeri ENSEBUG00000014295
