mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028455
mus_spicilegus ENSMSIG00000017799
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027458
mus_musculus ENSMUSG00000016833
mus_spicilegus ENSMSIG00000001831
mus_spicilegus ENSMSIG00000031412
mus_pahari MGP_PahariEiJ_G0017236
rattus_norvegicus ENSRNOG00000002178
meriones_unguiculatus ENSMUGG00000011089
microtus_ochrogaster ENSMOCG00000015591
microtus_ochrogaster ENSMOCG00000009898
peromyscus_maniculatus_bairdii ENSPEMG00000008390
cricetulus_griseus_crigri ENSCGRG00000002192
cricetulus_griseus_chok1gshd ENSCGRG00001000103
cricetulus_griseus_crigri-picr ENSCGRG00015019855
nannospalax_galili ENSNGAG00000015980
jaculus_jaculus ENSJJAG00000022437
castor_canadensis ENSCCNG00000026429
castor_canadensis ENSCCNG00000030420
dipodomys_ordii ENSDORG00000012749
heterocephalus_glaber_male ENSHGLG00100016235
heterocephalus_glaber_female ENSHGLG00000002953
fukomys_damarensis ENSFDAG00000000250
heterocephalus_glaber_male ENSHGLG00100019678
heterocephalus_glaber_female ENSHGLG00000020134
fukomys_damarensis ENSFDAG00000008778
heterocephalus_glaber_female ENSHGLG00000012671
heterocephalus_glaber_male ENSHGLG00100015568
chinchilla_lanigera ENSCLAG00000017397
chinchilla_lanigera ENSCLAG00000008205
octodon_degus ENSODEG00000020349
octodon_degus ENSODEG00000007599
cavia_porcellus ENSCPOG00000009198
spermophilus_dauricus ENSSDAG00000001853
marmota_marmota_marmota ENSMMMG00000004764
urocitellus_parryii ENSUPAG00010007169
ictidomys_tridecemlineatus ENSSTOG00000007989
tupaia_belangeri ENSTBEG00000012505
microcebus_murinus ENSMICG00000032609
microcebus_murinus ENSMICG00000037615
propithecus_coquereli ENSPCOG00000017634
prolemur_simus ENSPSMG00000018158
pan_paniscus ENSPPAG00000037400
pan_troglodytes ENSPTRG00000047058
gorilla_gorilla ENSGGOG00000037903
nomascus_leucogenys ENSNLEG00000035717
rhinopithecus_bieti ENSRBIG00000031637
rhinopithecus_roxellana ENSRROG00000030722
colobus_angolensis_palliatus ENSCANG00000041165
macaca_mulatta ENSMMUG00000048717
aotus_nancymaae ENSANAG00000025323
aotus_nancymaae ENSANAG00000035553
saimiri_boliviensis_boliviensis ENSSBOG00000022205
cebus_capucinus ENSCCAG00000028283
saimiri_boliviensis_boliviensis ENSSBOG00000029234
pongo_abelii ENSPPYG00000025835
gorilla_gorilla ENSGGOG00000040785
nomascus_leucogenys ENSNLEG00000018188
macaca_fascicularis ENSMFAG00000041276
macaca_nemestrina ENSMNEG00000018700
macaca_mulatta ENSMMUG00000039146
papio_anubis ENSPANG00000034202
rhinopithecus_bieti ENSRBIG00000035023
rhinopithecus_roxellana ENSRROG00000033834
piliocolobus_tephrosceles ENSPTEG00000002744
colobus_angolensis_palliatus ENSCANG00000037347
pan_troglodytes ENSPTRG00000016233
pan_paniscus ENSPPAG00000037122
homo_sapiens ENSG00000163319
gorilla_gorilla ENSGGOG00000008603
pongo_abelii ENSPPYG00000025867
nomascus_leucogenys ENSNLEG00000009119
rhinopithecus_bieti ENSRBIG00000041685
rhinopithecus_roxellana ENSRROG00000044334
piliocolobus_tephrosceles ENSPTEG00000019542
colobus_angolensis_palliatus ENSCANG00000038907
mandrillus_leucophaeus ENSMLEG00000038884
cercocebus_atys ENSCATG00000040697
theropithecus_gelada ENSTGEG00000009027
papio_anubis ENSPANG00000033931
macaca_nemestrina ENSMNEG00000043663
macaca_fascicularis ENSMFAG00000003991
macaca_mulatta ENSMMUG00000015353
cebus_capucinus ENSCCAG00000025155
saimiri_boliviensis_boliviensis ENSSBOG00000032292
saimiri_boliviensis_boliviensis ENSSBOG00000027568
callithrix_jacchus ENSCJAG00000042247
cebus_capucinus ENSCCAG00000026577
cebus_capucinus ENSCCAG00000019347
aotus_nancymaae ENSANAG00000028055
ochotona_princeps ENSOPRG00000004113
erinaceus_europaeus ENSEEUG00000003504
neovison_vison ENSNVIG00000004056
loxodonta_africana ENSLAFG00000001059
procavia_capensis ENSPCAG00000004975
dasypus_novemcinctus ENSDNOG00000043482
pteropus_vampyrus ENSPVAG00000006439
myotis_lucifugus ENSMLUG00000017057
capra_hircus ENSCHIG00000022740
capra_hircus ENSCHIG00000004461
ovis_aries ENSOARG00000002770
bos_mutus ENSBMUG00000004271
bos_taurus ENSBTAG00000018155
bison_bison_bison ENSBBBG00000007196
capra_hircus ENSCHIG00000016551
capra_hircus ENSCHIG00000019359
bos_taurus ENSBTAG00000049836
bos_mutus ENSBMUG00000011280
bison_bison_bison ENSBBBG00000024636
capra_hircus ENSCHIG00000018805
tursiops_truncatus ENSTTRG00000004897
vicugna_pacos ENSVPAG00000011358
sus_scrofa ENSSSCG00000038042
ursus_americanus ENSUAMG00000012878
ursus_maritimus ENSUMAG00000008829
ailuropoda_melanoleuca ENSAMEG00000004915
vulpes_vulpes ENSVVUG00000015672
canis_lupus_dingo ENSCAFG00020010491
panthera_pardus ENSPPRG00000011089
panthera_tigris_altaica ENSPTIG00000021242
felis_catus ENSFCAG00000042464
equus_caballus ENSECAG00000020387
equus_asinus_asinus ENSEASG00005013234
echinops_telfairi ENSETEG00000012223
carlito_syrichta ENSTSYG00000012924
phascolarctos_cinereus ENSPCIG00000019737
phascolarctos_cinereus ENSPCIG00000000097
phascolarctos_cinereus ENSPCIG00000005376
sarcophilus_harrisii ENSSHAG00000007084
monodelphis_domestica ENSMODG00000020773
