cricetulus_griseus_chok1gshd ENSCGRG00001000453
cricetulus_griseus_crigri ENSCGRG00000000119
jaculus_jaculus ENSJJAG00000013253
heterocephalus_glaber_male ENSHGLG00100019726
heterocephalus_glaber_female ENSHGLG00000020314
aotus_nancymaae ENSANAG00000023652
myotis_lucifugus ENSMLUG00000010334
capra_hircus ENSCHIG00000010983
ovis_aries ENSOARG00000012315
bos_taurus ENSBTAG00000012790
tursiops_truncatus ENSTTRG00000000143
vicugna_pacos ENSVPAG00000010360
sus_scrofa ENSSSCG00000031152
equus_asinus_asinus ENSEASG00005004731
equus_caballus ENSECAG00000012308
ursus_maritimus ENSUMAG00000006170
ursus_americanus ENSUAMG00000015521
ailuropoda_melanoleuca ENSAMEG00000013300
canis_lupus_dingo ENSCAFG00020020601
canis_lupus_dingo ENSCAFG00020022518
canis_lupus_familiaris ENSCAFG00000030019
vulpes_vulpes ENSVVUG00000021053
panthera_tigris_altaica ENSPTIG00000009729
panthera_pardus ENSPPRG00000000609
felis_catus ENSFCAG00000032445
heterocephalus_glaber_male ENSHGLG00100021105
heterocephalus_glaber_female ENSHGLG00000020025
propithecus_coquereli ENSPCOG00000018332
echinops_telfairi ENSETEG00000002603
latimeria_chalumnae ENSLACG00000018247
poecilia_formosa ENSPFOG00000020019
poecilia_reticulata ENSPREG00000006769
poecilia_latipinna ENSPLAG00000013103
poecilia_mexicana ENSPMEG00000020488
xiphophorus_maculatus ENSXMAG00000019585
xiphophorus_couchianus ENSXCOG00000013150
gambusia_affinis ENSGAFG00000018682
cyprinodon_variegatus ENSCVAG00000007528
amphiprion_percula ENSAPEG00000021047
amphiprion_ocellaris ENSAOCG00000001148
acanthochromis_polyacanthus ENSAPOG00000012488
stegastes_partitus ENSSPAG00000010501
oryzias_latipes ENSORLG00020021687
oryzias_latipes_asm223469v1 ENSORLG00015010702
oryzias_latipes ENSORLG00000000368
oryzias_melastigma ENSOMEG00000020373
haplochromis_burtoni ENSHBUG00000017185
astatotilapia_calliptera ENSACLG00000011389
pundamilia_nyererei ENSPNYG00000009185
maylandia_zebra ENSMZEG00005024862
oreochromis_niloticus ENSONIG00000020953
neolamprologus_brichardi ENSNBRG00000005088
amphilophus_citrinellus ENSACIG00000021329
tetraodon_nigroviridis ENSTNIG00000011179
takifugu_rubripes ENSTRUG00000002363
cynoglossus_semilaevis ENSCSEG00000015687
scophthalmus_maximus ENSSMAG00000004482
gasterosteus_aculeatus ENSGACG00000004929
monopterus_albus ENSMALG00000017788
mastacembelus_armatus ENSMAMG00000019690
seriola_dumerili ENSSDUG00000014642
seriola_lalandi_dorsalis ENSSLDG00000008047
labrus_bergylta ENSLBEG00000023272
labrus_bergylta ENSLBEG00000023154
mola_mola ENSMMOG00000009769
hippocampus_comes ENSHCOG00000004855
periophthalmus_magnuspinnatus ENSPMGG00000020588
gadus_morhua ENSGMOG00000019726
esox_lucius ENSELUG00000021682
pygocentrus_nattereri ENSPNAG00000019320
astyanax_mexicanus ENSAMXG00000034513
ictalurus_punctatus ENSIPUG00000005532
paramormyrops_kingsleyae ENSPKIG00000023808
paramormyrops_kingsleyae ENSPKIG00000024861
scleropages_formosus ENSSFOG00015017334
lepisosteus_oculatus ENSLOCG00000004071
danio_rerio ENSDARG00000014963
xenopus_tropicalis ENSXETG00000012223
eptatretus_burgeri ENSEBUG00000013834
