mustela_putorius_furo ENSMPUG00000007627
neovison_vison ENSNVIG00000012084
canis_lupus_dingo ENSCAFG00020015549
canis_lupus_familiaris ENSCAFG00000002601
vulpes_vulpes ENSVVUG00000007177
ursus_americanus ENSUAMG00000017649
ursus_maritimus ENSUMAG00000024648
ailuropoda_melanoleuca ENSAMEG00000003572
panthera_pardus ENSPPRG00000012271
panthera_pardus ENSPPRG00000012287
panthera_tigris_altaica ENSPTIG00000011560
felis_catus ENSFCAG00000005630
pteropus_vampyrus ENSPVAG00000007303
equus_caballus ENSECAG00000001444
equus_asinus_asinus ENSEASG00005020845
vicugna_pacos ENSVPAG00000002782
sus_scrofa ENSSSCG00000032656
tursiops_truncatus ENSTTRG00000000570
bos_taurus ENSBTAG00000015226
bos_mutus ENSBMUG00000006739
bison_bison_bison ENSBBBG00000021208
capra_hircus ENSCHIG00000025914
ovis_aries ENSOARG00000001564
erinaceus_europaeus ENSEEUG00000008323
sorex_araneus ENSSARG00000011079
homo_sapiens ENSG00000160469
gorilla_gorilla ENSGGOG00000000488
pan_troglodytes ENSPTRG00000011496
pan_paniscus ENSPPAG00000039809
pongo_abelii ENSPPYG00000010410
nomascus_leucogenys ENSNLEG00000010458
rhinopithecus_bieti ENSRBIG00000029036
rhinopithecus_roxellana ENSRROG00000044095
piliocolobus_tephrosceles ENSPTEG00000039707
colobus_angolensis_palliatus ENSCANG00000002605
chlorocebus_sabaeus ENSCSAG00000001747
papio_anubis ENSPANG00000001626
theropithecus_gelada ENSTGEG00000012505
macaca_fascicularis ENSMFAG00000003553
macaca_fascicularis ENSMFAG00000040991
macaca_mulatta ENSMMUG00000002965
macaca_nemestrina ENSMNEG00000028132
mandrillus_leucophaeus ENSMLEG00000038381
cercocebus_atys ENSCATG00000036430
callithrix_jacchus ENSCJAG00000000812
saimiri_boliviensis_boliviensis ENSSBOG00000028046
cebus_capucinus ENSCCAG00000036835
aotus_nancymaae ENSANAG00000031900
propithecus_coquereli ENSPCOG00000021864
microcebus_murinus ENSMICG00000016602
prolemur_simus ENSPSMG00000007587
otolemur_garnettii ENSOGAG00000003908
tupaia_belangeri ENSTBEG00000005180
carlito_syrichta ENSTSYG00000027036
castor_canadensis ENSCCNG00000022034
dipodomys_ordii ENSDORG00000012799
cricetulus_griseus_crigri-picr ENSCGRG00015027475
cricetulus_griseus_chok1gshd ENSCGRG00001010604
mesocricetus_auratus ENSMAUG00000021219
peromyscus_maniculatus_bairdii ENSPEMG00000013836
meriones_unguiculatus ENSMUGG00000016818
mus_musculus ENSMUSG00000035390
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030175
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029122
mus_spicilegus ENSMSIG00000002411
mus_pahari MGP_PahariEiJ_G0020991
rattus_norvegicus ENSRNOG00000017673
cricetulus_griseus_chok1gshd ENSCGRG00001010166
cricetulus_griseus_crigri ENSCGRG00000004752
microtus_ochrogaster ENSMOCG00000012734
nannospalax_galili ENSNGAG00000011472
jaculus_jaculus ENSJJAG00000021973
marmota_marmota_marmota ENSMMMG00000001815
spermophilus_dauricus ENSSDAG00000007645
urocitellus_parryii ENSUPAG00010017191
ictidomys_tridecemlineatus ENSSTOG00000005773
chinchilla_lanigera ENSCLAG00000000981
octodon_degus ENSODEG00000014498
cavia_porcellus ENSCPOG00000009088
cavia_aperea ENSCAPG00000009646
heterocephalus_glaber_male ENSHGLG00100008809
heterocephalus_glaber_female ENSHGLG00000004906
fukomys_damarensis ENSFDAG00000008015
ochotona_princeps ENSOPRG00000008774
loxodonta_africana ENSLAFG00000007731
procavia_capensis ENSPCAG00000007204
echinops_telfairi ENSETEG00000003482
myotis_lucifugus ENSMLUG00000003247
dasypus_novemcinctus ENSDNOG00000023654
phascolarctos_cinereus ENSPCIG00000013077
notamacropus_eugenii ENSMEUG00000011056
sarcophilus_harrisii ENSSHAG00000003726
ornithorhynchus_anatinus ENSOANG00000029227
ornithorhynchus_anatinus ENSOANG00000029456
anolis_carolinensis ENSACAG00000016990
notechis_scutatus ENSNSUG00000004194
salvator_merianae ENSSMRG00000003978
notechis_scutatus ENSNSUG00000006610
sphenodon_punctatus ENSSPUG00000014808
gopherus_agassizii ENSGAGG00000011869
chrysemys_picta_bellii ENSCPBG00000022202
xenopus_tropicalis ENSXETG00000022924
latimeria_chalumnae ENSLACG00000007911
poecilia_latipinna ENSPLAG00000018647
astyanax_mexicanus ENSAMXG00000031527
