spermophilus_dauricus ENSSDAG00000011049
marmota_marmota ENSMMMG00000006715
cricetulus_griseus ENSCGRG00001005228
cricetulus_griseus ENSCGRG00000015838
mesocricetus_auratus ENSMAUG00000015754
microtus_ochrogaster ENSMOCG00000000511
peromyscus_maniculatus ENSPEMG00000027581
mus_spicilegus ENSMSIG00000011252
mus_spicilegus ENSMSIG00000015939
mus_spicilegus ENSMSIG00000010529
mus_spicilegus ENSMSIG00000013369
mus_caroli MGP_CAROLIEiJ_G0029646
mus_musculus ENSMUSG00000045411
mus_pahari MGP_PahariEiJ_G0012877
rattus_norvegicus ENSRNOG00000019132
meriones_unguiculatus ENSMUGG00000008272
vulpes_vulpes ENSVVUG00000012179
mustela_putorius ENSMPUG00000001605
ursus_maritimus ENSUMAG00000010070
ailuropoda_melanoleuca ENSAMEG00000019440
panthera_tigris ENSPTIG00000005631
bos_indicus ENSBIXG00000018662
bos_indicus ENSBIXG00005015685
bos_mutus ENSBMUG00000019640
bos_taurus ENSBTAG00000011079
bison_bison ENSBBBG00000009539
capra_hircus ENSCHIG00000006752
