propithecus_coquereli ENSPCOG00000024279
prolemur_simus ENSPSMG00000002728
microcebus_murinus ENSMICG00000034721
otolemur_garnettii ENSOGAG00000011138
carlito_syrichta ENSTSYG00000003161
gorilla_gorilla ENSGGOG00000005136
homo_sapiens ENSG00000159348
pan_paniscus ENSPPAG00000033586
pan_troglodytes ENSPTRG00000001863
pongo_abelii ENSPPYG00000000341
nomascus_leucogenys ENSNLEG00000033971
mandrillus_leucophaeus ENSMLEG00000036777
chlorocebus_sabaeus ENSCSAG00000014235
cercocebus_atys ENSCATG00000024122
theropithecus_gelada ENSTGEG00000018382
papio_anubis ENSPANG00000035066
macaca_nemestrina ENSMNEG00000044097
macaca_fascicularis ENSMFAG00000000852
macaca_mulatta ENSMMUG00000007047
rhinopithecus_bieti ENSRBIG00000030684
rhinopithecus_roxellana ENSRROG00000035635
piliocolobus_tephrosceles ENSPTEG00000029813
colobus_angolensis_palliatus ENSCANG00000030748
cebus_capucinus ENSCCAG00000036166
saimiri_boliviensis_boliviensis ENSSBOG00000026378
callithrix_jacchus ENSCJAG00000048060
aotus_nancymaae ENSANAG00000020782
tupaia_belangeri ENSTBEG00000015477
castor_canadensis ENSCCNG00000027609
dipodomys_ordii ENSDORG00000007313
mus_musculus ENSMUSG00000026456
mus_spicilegus ENSMSIG00000017771
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015428
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014621
mus_pahari MGP_PahariEiJ_G0027857
rattus_norvegicus ENSRNOG00000003973
meriones_unguiculatus ENSMUGG00000005032
cricetulus_griseus_crigri-picr ENSCGRG00015025571
cricetulus_griseus_crigri ENSCGRG00000016321
cricetulus_griseus_chok1gshd ENSCGRG00001024525
mesocricetus_auratus ENSMAUG00000015345
peromyscus_maniculatus_bairdii ENSPEMG00000016852
microtus_ochrogaster ENSMOCG00000011285
nannospalax_galili ENSNGAG00000012253
jaculus_jaculus ENSJJAG00000008154
urocitellus_parryii ENSUPAG00010008356
marmota_marmota_marmota ENSMMMG00000013214
spermophilus_dauricus ENSSDAG00000002136
ictidomys_tridecemlineatus ENSSTOG00000021865
chinchilla_lanigera ENSCLAG00000010011
octodon_degus ENSODEG00000012060
cavia_aperea ENSCAPG00000008786
cavia_porcellus ENSCPOG00000040552
heterocephalus_glaber_male ENSHGLG00100018268
heterocephalus_glaber_female ENSHGLG00000008857
fukomys_damarensis ENSFDAG00000001475
oryctolagus_cuniculus ENSOCUG00000016799
ochotona_princeps ENSOPRG00000001533
vicugna_pacos ENSVPAG00000006059
sus_scrofa ENSSSCG00000010929
bos_taurus ENSBTAG00000019927
bos_mutus ENSBMUG00000005215
bison_bison_bison ENSBBBG00000009246
capra_hircus ENSCHIG00000014622
ovis_aries ENSOARG00000018076
tursiops_truncatus ENSTTRG00000006383
equus_asinus_asinus ENSEASG00005019675
equus_caballus ENSECAG00000009763
sorex_araneus ENSSARG00000008685
sorex_araneus ENSSARG00000013565
ursus_maritimus ENSUMAG00000005413
ursus_americanus ENSUAMG00000002422
ailuropoda_melanoleuca ENSAMEG00000012218
neovison_vison ENSNVIG00000015637
mustela_putorius_furo ENSMPUG00000011221
canis_lupus_dingo ENSCAFG00020015012
canis_lupus_familiaris ENSCAFG00000010350
vulpes_vulpes ENSVVUG00000006662
panthera_tigris_altaica ENSPTIG00000020319
panthera_pardus ENSPPRG00000023989
felis_catus ENSFCAG00000042605
myotis_lucifugus ENSMLUG00000009917
pteropus_vampyrus ENSPVAG00000013138
loxodonta_africana ENSLAFG00000003522
procavia_capensis ENSPCAG00000011361
echinops_telfairi ENSETEG00000013675
dasypus_novemcinctus ENSDNOG00000008638
choloepus_hoffmanni ENSCHOG00000006457
erinaceus_europaeus ENSEEUG00000003915
phascolarctos_cinereus ENSPCIG00000003357
phascolarctos_cinereus ENSPCIG00000036550
notamacropus_eugenii ENSMEUG00000004220
monodelphis_domestica ENSMODG00000000894
sarcophilus_harrisii ENSSHAG00000015865
ornithorhynchus_anatinus ENSOANG00000002686
xenopus_tropicalis ENSXETG00000007969
paramormyrops_kingsleyae ENSPKIG00000017647
scleropages_formosus ENSSFOG00015018679
esox_lucius ENSELUG00000021879
canis_lupus_dingo ENSCAFG00020010249
canis_lupus_familiaris ENSCAFG00000006769
vulpes_vulpes ENSVVUG00000027918
vulpes_vulpes ENSVVUG00000008561
sorex_araneus ENSSARG00000009016
tursiops_truncatus ENSTTRG00000001978
choloepus_hoffmanni ENSCHOG00000001454
ornithorhynchus_anatinus ENSOANG00000012063
amphiprion_ocellaris ENSAOCG00000003047
amphiprion_percula ENSAPEG00000008307
scophthalmus_maximus ENSSMAG00000016603
eptatretus_burgeri ENSEBUG00000009987
