propithecus_coquereli ENSPCOG00000028158
prolemur_simus ENSPSMG00000023226
microcebus_murinus ENSMICG00000034617
otolemur_garnettii ENSOGAG00000029491
carlito_syrichta ENSTSYG00000027536
ictidomys_tridecemlineatus ENSSTOG00000003655
marmota_marmota_marmota ENSMMMG00000017817
spermophilus_dauricus ENSSDAG00000023821
urocitellus_parryii ENSUPAG00010011545
castor_canadensis ENSCCNG00000016115
mus_spicilegus ENSMSIG00000011700
mus_musculus ENSMUSG00000039759
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027834
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026841
mus_pahari MGP_PahariEiJ_G0029189
rattus_norvegicus ENSRNOG00000026840
meriones_unguiculatus ENSMUGG00000009070
microtus_ochrogaster ENSMOCG00000014878
peromyscus_maniculatus_bairdii ENSPEMG00000028772
cricetulus_griseus_chok1gshd ENSCGRG00001014140
cricetulus_griseus_crigri-picr ENSCGRG00015008034
cricetulus_griseus_crigri ENSCGRG00000009079
mesocricetus_auratus ENSMAUG00000017582
nannospalax_galili ENSNGAG00000006703
jaculus_jaculus ENSJJAG00000018644
oryctolagus_cuniculus ENSOCUG00000008846
ochotona_princeps ENSOPRG00000001961
myotis_lucifugus ENSMLUG00000029196
octodon_degus ENSODEG00000011250
cavia_porcellus ENSCPOG00000021946
heterocephalus_glaber_female ENSHGLG00000005933
dipodomys_ordii ENSDORG00000011698
homo_sapiens ENSG00000041988
gorilla_gorilla ENSGGOG00000006842
pan_troglodytes ENSPTRG00000000093
pan_paniscus ENSPPAG00000037871
pongo_abelii ENSPPYG00000001935
nomascus_leucogenys ENSNLEG00000036259
rhinopithecus_roxellana ENSRROG00000039697
rhinopithecus_bieti ENSRBIG00000033959
colobus_angolensis_palliatus ENSCANG00000000258
piliocolobus_tephrosceles ENSPTEG00000010205
macaca_mulatta ENSMMUG00000002047
macaca_fascicularis ENSMFAG00000000408
macaca_nemestrina ENSMNEG00000043677
chlorocebus_sabaeus ENSCSAG00000000749
papio_anubis ENSPANG00000000281
mandrillus_leucophaeus ENSMLEG00000026408
theropithecus_gelada ENSTGEG00000016012
cercocebus_atys ENSCATG00000037467
callithrix_jacchus ENSCJAG00000000237
cebus_capucinus ENSCCAG00000033806
saimiri_boliviensis_boliviensis ENSSBOG00000034179
aotus_nancymaae ENSANAG00000037282
bos_mutus ENSBMUG00000001031
bos_taurus ENSBTAG00000011214
bison_bison_bison ENSBBBG00000005360
ovis_aries ENSOARG00000011230
capra_hircus ENSCHIG00000007716
tursiops_truncatus ENSTTRG00000006348
sus_scrofa ENSSSCG00000036876
ursus_americanus ENSUAMG00000006635
ursus_maritimus ENSUMAG00000024141
ailuropoda_melanoleuca ENSAMEG00000009609
neovison_vison ENSNVIG00000005707
canis_lupus_familiaris ENSCAFG00000019625
canis_lupus_dingo ENSCAFG00020008295
vulpes_vulpes ENSVVUG00000026336
panthera_pardus ENSPPRG00000007976
felis_catus ENSFCAG00000000662
equus_caballus ENSECAG00000009778
equus_asinus_asinus ENSEASG00005021244
pteropus_vampyrus ENSPVAG00000013024
erinaceus_europaeus ENSEEUG00000003448
loxodonta_africana ENSLAFG00000015981
dasypus_novemcinctus ENSDNOG00000013851
phascolarctos_cinereus ENSPCIG00000034715
notamacropus_eugenii ENSMEUG00000002039
monodelphis_domestica ENSMODG00000005922
sarcophilus_harrisii ENSSHAG00000008023
ornithorhynchus_anatinus ENSOANG00000029971
chelonoidis_abingdonii ENSCABG00000017677
gopherus_agassizii ENSGAGG00000015055
chrysemys_picta_bellii ENSCPBG00000016098
pelodiscus_sinensis ENSPSIG00000004751
crocodylus_porosus ENSCPRG00005011266
sphenodon_punctatus ENSSPUG00000011912
latimeria_chalumnae ENSLACG00000015746
paramormyrops_kingsleyae ENSPKIG00000009115
scleropages_formosus ENSSFOG00015014540
lepisosteus_oculatus ENSLOCG00000002750
