panthera_tigris_altaica ENSPTIG00000005630
panthera_pardus ENSPPRG00000020753
felis_catus ENSFCAG00000045600
neovison_vison ENSNVIG00000008530
bison_bison_bison ENSBBBG00000013644
bos_mutus ENSBMUG00000019684
ovis_aries ENSOARG00000004358
tursiops_truncatus ENSTTRG00000005030
erinaceus_europaeus ENSEEUG00000003784
mus_musculus ENSMUSG00000085683
meriones_unguiculatus ENSMUGG00000018319
peromyscus_maniculatus_bairdii ENSPEMG00000028445
microtus_ochrogaster ENSMOCG00000002185
cricetulus_griseus_crigri ENSCGRG00000019591
cricetulus_griseus_chok1gshd ENSCGRG00001007926
castor_canadensis ENSCCNG00000012915
urocitellus_parryii ENSUPAG00010017586
ictidomys_tridecemlineatus ENSSTOG00000032395
spermophilus_dauricus ENSSDAG00000008220
marmota_marmota_marmota ENSMMMG00000021132
ochotona_princeps ENSOPRG00000004646
echinops_telfairi ENSETEG00000009638
procavia_capensis ENSPCAG00000003109
dasypus_novemcinctus ENSDNOG00000010321
piliocolobus_tephrosceles ENSPTEG00000008022
theropithecus_gelada ENSTGEG00000027606
pan_paniscus ENSPPAG00000010109
pan_troglodytes ENSPTRG00000049923
homo_sapiens ENSG00000263429
gorilla_gorilla ENSGGOG00000038556
pongo_abelii ENSPPYG00000007988
callithrix_jacchus ENSCJAG00000047512
prolemur_simus ENSPSMG00000016835
pteropus_vampyrus ENSPVAG00000003045
choloepus_hoffmanni ENSCHOG00000009999
sorex_araneus ENSSARG00000003718
notamacropus_eugenii ENSMEUG00000011127
phascolarctos_cinereus ENSPCIG00000031548
junco_hyemalis ENSJHYG00000012853
zonotrichia_albicollis ENSZALG00000015116
manacus_vitellinus ENSMVIG00005012872
melopsittacus_undulatus ENSMUNG00000010972
dromaius_novaehollandiae ENSDNVG00000006221
apteryx_haastii ENSAHAG00000017276
amphilophus_citrinellus ENSACIG00000023290
amphiprion_percula ENSAPEG00000017853
gambusia_affinis ENSGAFG00000014662
oryzias_latipes_asm223469v1 ENSORLG00015008835
oryzias_latipes ENSORLG00020017566
amphilophus_citrinellus ENSACIG00000010471
