myotis_lucifugus ENSMLUG00000012726
pteropus_vampyrus ENSPVAG00000007926
ursus_maritimus ENSUMAG00000025582
ursus_americanus ENSUAMG00000011235
ailuropoda_melanoleuca ENSAMEG00000002761
neovison_vison ENSNVIG00000009839
mustela_putorius ENSMPUG00000005837
canis_lupus ENSCAFG00020002702
canis_lupus ENSCAFG00000005748
vulpes_vulpes ENSVVUG00000020396
panthera_pardus ENSPPRG00000006358
panthera_tigris ENSPTIG00000020096
felis_catus ENSFCAG00000036766
bos_indicus ENSBIXG00005008139
bos_indicus ENSBIXG00000010317
bos_taurus ENSBTAG00000005725
bos_mutus ENSBMUG00000003928
bison_bison ENSBBBG00000012795
ovis_aries ENSOARG00000002295
capra_hircus ENSCHIG00000025203
tursiops_truncatus ENSTTRG00000010975
sus_scrofa ENSSSCG00000023054
vicugna_pacos ENSVPAG00000009780
erinaceus_europaeus ENSEEUG00000014884
sorex_araneus ENSSARG00000012944
equus_caballus ENSECAG00000021568
equus_asinus ENSEASG00005010444
mus_spicilegus ENSMSIG00000021020
mus_spretus MGP_SPRETEiJ_G0032031
mus_musculus ENSMUSG00000031549
mus_caroli MGP_CAROLIEiJ_G0030912
mus_pahari MGP_PahariEiJ_G0021382
rattus_norvegicus ENSRNOG00000025365
meriones_unguiculatus ENSMUGG00000024928
peromyscus_maniculatus ENSPEMG00000008645
microtus_ochrogaster ENSMOCG00000002008
cricetulus_griseus ENSCGRG00001014756
cricetulus_griseus ENSCGRG00000004267
cricetulus_griseus ENSCGRG00015023498
mesocricetus_auratus ENSMAUG00000019264
jaculus_jaculus ENSJJAG00000012988
chinchilla_lanigera ENSCLAG00000003005
cavia_porcellus ENSCPOG00000033051
heterocephalus_glaber ENSHGLG00000002830
heterocephalus_glaber ENSHGLG00100016366
fukomys_damarensis ENSFDAG00000001454
castor_canadensis ENSCCNG00000022158
dipodomys_ordii ENSDORG00000003408
urocitellus_parryii ENSUPAG00010002622
ictidomys_tridecemlineatus ENSSTOG00000020579
marmota_marmota ENSMMMG00000004208
oryctolagus_cuniculus ENSOCUG00000003349
ochotona_princeps ENSOPRG00000003530
pan_troglodytes ENSPTRG00000020188
pan_paniscus ENSPPAG00000038735
gorilla_gorilla ENSGGOG00000040816
homo_sapiens ENSG00000188676
pongo_abelii ENSPPYG00000018538
nomascus_leucogenys ENSNLEG00000012542
macaca_fascicularis ENSMFAG00000041471
macaca_mulatta ENSMMUG00000019306
macaca_nemestrina ENSMNEG00000034364
theropithecus_gelada ENSTGEG00000010748
papio_anubis ENSPANG00000021632
cercocebus_atys ENSCATG00000034969
chlorocebus_sabaeus ENSCSAG00000015113
mandrillus_leucophaeus ENSMLEG00000016517
piliocolobus_tephrosceles ENSPTEG00000036475
colobus_angolensis ENSCANG00000035505
rhinopithecus_bieti ENSRBIG00000038872
rhinopithecus_roxellana ENSRROG00000036605
saimiri_boliviensis ENSSBOG00000021426
cebus_capucinus ENSCCAG00000035831
callithrix_jacchus ENSCJAG00000006481
aotus_nancymaae ENSANAG00000036163
carlito_syrichta ENSTSYG00000004010
prolemur_simus ENSPSMG00000006663
microcebus_murinus ENSMICG00000001737
propithecus_coquereli ENSPCOG00000016180
otolemur_garnettii ENSOGAG00000012941
tupaia_belangeri ENSTBEG00000015917
dasypus_novemcinctus ENSDNOG00000031246
choloepus_hoffmanni ENSCHOG00000000839
procavia_capensis ENSPCAG00000004201
phascolarctos_cinereus ENSPCIG00000012834
vombatus_ursinus ENSVURG00010009838
notamacropus_eugenii ENSMEUG00000014015
sarcophilus_harrisii ENSSHAG00000006938
monodelphis_domestica ENSMODG00000010506
