ciona_intestinalis ENSCING00000017152
ciona_savignyi ENSCSAVG00000007542
anas_platyrhynchos_platyrhynchos ENSAPLG00000030396
gallus_gallus ENSGALG00000017042
melopsittacus_undulatus ENSMUNG00000012397
dromaius_novaehollandiae ENSDNVG00000014451
ficedula_albicollis ENSFALG00000008164
lepidothrix_coronata ENSLCOG00000007421
taeniopygia_guttata ENSTGUG00000011962
serinus_canaria ENSSCAG00000012749
numida_meleagris ENSNMEG00000008945
apteryx_rowi ENSARWG00000017564
apteryx_haastii ENSAHAG00000011432
coturnix_japonica ENSCJPG00005019884
anolis_carolinensis ENSACAG00000001990
salvator_merianae ENSSMRG00000016113
astyanax_mexicanus ENSAMXG00000032904
ictalurus_punctatus ENSIPUG00000011167
danio_rerio ENSDARG00000043857
seriola_dumerili ENSSDUG00000013693
amphiprion_percula ENSAPEG00000020655
labrus_bergylta ENSLBEG00000019924
scophthalmus_maximus ENSSMAG00000018599
cynoglossus_semilaevis ENSCSEG00000019418
seriola_lalandi_dorsalis ENSSLDG00000023262
poecilia_mexicana ENSPMEG00000022570
poecilia_formosa ENSPFOG00000016427
xiphophorus_maculatus ENSXMAG00000022172
amphiprion_ocellaris ENSAOCG00000015043
takifugu_rubripes ENSTRUG00000005221
kryptolebias_marmoratus ENSKMAG00000005047
cyprinodon_variegatus ENSCVAG00000009677
oryzias_latipes_asm223469v1 ENSORLG00015018524
oryzias_latipes ENSORLG00020012475
oryzias_latipes ENSORLG00000027633
astatotilapia_calliptera ENSACLG00000002689
haplochromis_burtoni ENSHBUG00000007372
pundamilia_nyererei ENSPNYG00000022809
neolamprologus_brichardi ENSNBRG00000012425
mastacembelus_armatus ENSMAMG00000013858
monopterus_albus ENSMALG00000011040
acanthochromis_polyacanthus ENSAPOG00000002384
stegastes_partitus ENSSPAG00000009476
poecilia_reticulata ENSPREG00000012008
hippocampus_comes ENSHCOG00000008846
esox_lucius ENSELUG00000008943
mola_mola ENSMMOG00000010241
scleropages_formosus ENSSFOG00015005850
anabas_testudineus ENSATEG00000002565
xiphophorus_couchianus ENSXCOG00000011875
paramormyrops_kingsleyae ENSPKIG00000023050
pygocentrus_nattereri ENSPNAG00000016742
rhinopithecus_roxellana ENSRROG00000024437
rhinopithecus_bieti ENSRBIG00000012060
pongo_abelii ENSPPYG00000005293
octodon_degus ENSODEG00000011656
octodon_degus ENSODEG00000018995
octodon_degus ENSODEG00000020373
octodon_degus ENSODEG00000019189
mustela_putorius_furo ENSMPUG00000015028
neovison_vison ENSNVIG00000020670
ursus_maritimus ENSUMAG00000024250
sus_scrofa ENSSSCG00000031224
cricetulus_griseus_crigri-picr ENSCGRG00015008665
cricetulus_griseus_crigri ENSCGRG00000007770
mesocricetus_auratus ENSMAUG00000018178
peromyscus_maniculatus_bairdii ENSPEMG00000012238
mus_pahari MGP_PahariEiJ_G0026428
mus_musculus ENSMUSG00000027746
meriones_unguiculatus ENSMUGG00000001903
castor_canadensis ENSCCNG00000017638
octodon_degus ENSODEG00000007195
chlorocebus_sabaeus ENSCSAG00000017856
canis_lupus_familiaris ENSCAFG00000006026
ailuropoda_melanoleuca ENSAMEG00000005616
panthera_pardus ENSPPRG00000010176
panthera_tigris_altaica ENSPTIG00000014972
myotis_lucifugus ENSMLUG00000022522
ictidomys_tridecemlineatus ENSSTOG00000016449
spermophilus_dauricus ENSSDAG00000002618
marmota_marmota_marmota ENSMMMG00000022725
cavia_porcellus ENSCPOG00000032508
dipodomys_ordii ENSDORG00000024126
saimiri_boliviensis_boliviensis ENSSBOG00000018313
saimiri_boliviensis_boliviensis ENSSBOG00000004894
bos_taurus ENSBTAG00000051486
bos_mutus ENSBMUG00000014652
bison_bison_bison ENSBBBG00000003998
capra_hircus ENSCHIG00000012902
heterocephalus_glaber_female ENSHGLG00000001469
heterocephalus_glaber_male ENSHGLG00100010159
chinchilla_lanigera ENSCLAG00000017636
heterocephalus_glaber_male ENSHGLG00100002309
fukomys_damarensis ENSFDAG00000007327
chinchilla_lanigera ENSCLAG00000011912
