hippocampus_comes ENSHCOG00000011868
periophthalmus_magnuspinnatus ENSPMGG00000019141
xiphophorus_maculatus ENSXMAG00000017892
xiphophorus_couchianus ENSXCOG00000003903
gambusia_affinis ENSGAFG00000012468
poecilia_formosa ENSPFOG00000017566
poecilia_mexicana ENSPMEG00000021977
poecilia_latipinna ENSPLAG00000019179
poecilia_reticulata ENSPREG00000011582
fundulus_heteroclitus ENSFHEG00000012129
cyprinodon_variegatus ENSCVAG00000006291
kryptolebias_marmoratus ENSKMAG00000005818
oryzias_latipes ENSORLG00000018866
oryzias_latipes_asm223469v1 ENSORLG00015021973
oryzias_latipes ENSORLG00020022324
oryzias_melastigma ENSOMEG00000004329
amphiprion_percula ENSAPEG00000005942
amphiprion_ocellaris ENSAOCG00000024033
acanthochromis_polyacanthus ENSAPOG00000004454
stegastes_partitus ENSSPAG00000002109
gasterosteus_aculeatus ENSGACG00000003707
mastacembelus_armatus ENSMAMG00000005987
monopterus_albus ENSMALG00000009632
anabas_testudineus ENSATEG00000007432
maylandia_zebra ENSMZEG00005007383
astatotilapia_calliptera ENSACLG00000025007
haplochromis_burtoni ENSHBUG00000005810
pundamilia_nyererei ENSPNYG00000001555
oreochromis_niloticus ENSONIG00000018261
neolamprologus_brichardi ENSNBRG00000023055
amphilophus_citrinellus ENSACIG00000013382
seriola_dumerili ENSSDUG00000010957
seriola_lalandi_dorsalis ENSSLDG00000005648
labrus_bergylta ENSLBEG00000011127
labrus_bergylta ENSLBEG00000008695
mola_mola ENSMMOG00000000410
cynoglossus_semilaevis ENSCSEG00000015221
tetraodon_nigroviridis ENSTNIG00000014409
takifugu_rubripes ENSTRUG00000005530
scophthalmus_maximus ENSSMAG00000008371
gadus_morhua ENSGMOG00000015974
esox_lucius ENSELUG00000007708
astyanax_mexicanus ENSAMXG00000009256
pygocentrus_nattereri ENSPNAG00000013172
ictalurus_punctatus ENSIPUG00000019345
danio_rerio ENSDARG00000045075
scleropages_formosus ENSSFOG00015008781
paramormyrops_kingsleyae ENSPKIG00000001622
scophthalmus_maximus ENSSMAG00000014192
cynoglossus_semilaevis ENSCSEG00000012313
monopterus_albus ENSMALG00000010947
anabas_testudineus ENSATEG00000010085
astatotilapia_calliptera ENSACLG00000010407
maylandia_zebra ENSMZEG00005003111
pundamilia_nyererei ENSPNYG00000002440
haplochromis_burtoni ENSHBUG00000005883
neolamprologus_brichardi ENSNBRG00000011166
oreochromis_niloticus ENSONIG00000003404
seriola_lalandi_dorsalis ENSSLDG00000008186
esox_lucius ENSELUG00000006495
lepisosteus_oculatus ENSLOCG00000012162
