melopsittacus_undulatus ENSMUNG00000002362
calidris_pygmaea ENSCPGG00000001019
lepidothrix_coronata ENSLCOG00000006223
manacus_vitellinus ENSMVIG00005007784
serinus_canaria ENSSCAG00000006575
lonchura_striata_domestica ENSLSDG00000016835
nothoprocta_perdicaria ENSNPEG00000003749
gopherus_agassizii ENSGAGG00000015112
chelonoidis_abingdonii ENSCABG00000021025
pogona_vitticeps ENSPVIG00000007054
sus_scrofa ENSSSCG00000031003
prolemur_simus ENSPSMG00000008893
ictalurus_punctatus ENSIPUG00000002368
ictalurus_punctatus ENSIPUG00000004596
danio_rerio ENSDARG00000111126
