macaca_nemestrina ENSMNEG00000027383
mandrillus_leucophaeus ENSMLEG00000024843
theropithecus_gelada ENSTGEG00000021581
colobus_angolensis_palliatus ENSCANG00000035456
colobus_angolensis_palliatus ENSCANG00000030710
rhinopithecus_roxellana ENSRROG00000027343
mandrillus_leucophaeus ENSMLEG00000036796
nomascus_leucogenys ENSNLEG00000032264
aotus_nancymaae ENSANAG00000027437
cebus_capucinus ENSCCAG00000032845
saimiri_boliviensis_boliviensis ENSSBOG00000018962
aotus_nancymaae ENSANAG00000038393
callithrix_jacchus ENSCJAG00000046022
