prolemur_simus ENSPSMG00000019571
microcebus_murinus ENSMICG00000034628
otolemur_garnettii ENSOGAG00000013858
macaca_mulatta ENSMMUG00000045011
macaca_nemestrina ENSMNEG00000041261
papio_anubis ENSPANG00000022661
theropithecus_gelada ENSTGEG00000010294
chlorocebus_sabaeus ENSCSAG00000018415
piliocolobus_tephrosceles ENSPTEG00000018630
homo_sapiens ENSG00000196793
gorilla_gorilla ENSGGOG00000001913
pan_paniscus ENSPPAG00000033281
pan_troglodytes ENSPTRG00000052001
pongo_abelii ENSPPYG00000002214
nomascus_leucogenys ENSNLEG00000015896
callithrix_jacchus ENSCJAG00000016278
castor_canadensis ENSCCNG00000013543
dipodomys_ordii ENSDORG00000001807
urocitellus_parryii ENSUPAG00010022171
ictidomys_tridecemlineatus ENSSTOG00000020534
cricetulus_griseus_chok1gshd ENSCGRG00001007344
cricetulus_griseus_crigri ENSCGRG00000017102
cricetulus_griseus_crigri-picr ENSCGRG00015005792
mesocricetus_auratus ENSMAUG00000007787
peromyscus_maniculatus_bairdii ENSPEMG00000026200
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029810
mus_spicilegus ENSMSIG00000004820
mus_musculus ENSMUSG00000042097
mus_pahari MGP_PahariEiJ_G0022534
rattus_norvegicus ENSRNOG00000014552
heterocephalus_glaber_male ENSHGLG00100019002
fukomys_damarensis ENSFDAG00000019341
chinchilla_lanigera ENSCLAG00000005207
oryctolagus_cuniculus ENSOCUG00000010992
ochotona_princeps ENSOPRG00000010368
canis_lupus_dingo ENSCAFG00020025257
canis_lupus_familiaris ENSCAFG00000031910
vulpes_vulpes ENSVVUG00000021255
ursus_americanus ENSUAMG00000000437
mustela_putorius_furo ENSMPUG00000020136
neovison_vison ENSNVIG00000019977
sorex_araneus ENSSARG00000002296
bos_mutus ENSBMUG00000007106
bos_taurus ENSBTAG00000019039
bison_bison_bison ENSBBBG00000009565
ovis_aries ENSOARG00000003720
sus_scrofa ENSSSCG00000029576
vicugna_pacos ENSVPAG00000012405
equus_asinus_asinus ENSEASG00005006909
equus_caballus ENSECAG00000003179
pteropus_vampyrus ENSPVAG00000006684
dasypus_novemcinctus ENSDNOG00000004406
choloepus_hoffmanni ENSCHOG00000006623
loxodonta_africana ENSLAFG00000006370
procavia_capensis ENSPCAG00000006595
