scophthalmus_maximus ENSSMAG00000007981
cynoglossus_semilaevis ENSCSEG00000001400
seriola_dumerili ENSSDUG00000010850
seriola_lalandi_dorsalis ENSSLDG00000025258
labrus_bergylta ENSLBEG00000017497
monopterus_albus ENSMALG00000020188
mastacembelus_armatus ENSMAMG00000003693
anabas_testudineus ENSATEG00000021859
takifugu_rubripes ENSTRUG00000020699
tetraodon_nigroviridis ENSTNIG00000008692
mola_mola ENSMMOG00000004022
maylandia_zebra ENSMZEG00005019530
astatotilapia_calliptera ENSACLG00000012723
haplochromis_burtoni ENSHBUG00000013897
pundamilia_nyererei ENSPNYG00000022277
neolamprologus_brichardi ENSNBRG00000011330
amphilophus_citrinellus ENSACIG00000019218
amphiprion_ocellaris ENSAOCG00000022544
amphiprion_percula ENSAPEG00000008068
acanthochromis_polyacanthus ENSAPOG00000020884
stegastes_partitus ENSSPAG00000008881
fundulus_heteroclitus ENSFHEG00000003933
cyprinodon_variegatus ENSCVAG00000004482
xiphophorus_maculatus ENSXMAG00000026449
xiphophorus_couchianus ENSXCOG00000015340
gambusia_affinis ENSGAFG00000016832
poecilia_formosa ENSPFOG00000000990
poecilia_latipinna ENSPLAG00000009749
poecilia_mexicana ENSPMEG00000022443
poecilia_reticulata ENSPREG00000022427
kryptolebias_marmoratus ENSKMAG00000021821
oryzias_latipes ENSORLG00020002947
oryzias_latipes_asm223469v1 ENSORLG00015003220
oryzias_latipes ENSORLG00000022526
oryzias_melastigma ENSOMEG00000001072
hippocampus_comes ENSHCOG00000008336
periophthalmus_magnuspinnatus ENSPMGG00000004553
esox_lucius ENSELUG00000007997
