sarcophilus_harrisii ENSSHAG00000003857
notamacropus_eugenii ENSMEUG00000009548
fukomys_damarensis ENSFDAG00000015194
spermophilus_dauricus ENSSDAG00000017048
ochotona_princeps ENSOPRG00000006873
mandrillus_leucophaeus ENSMLEG00000031187
rhinopithecus_roxellana ENSRROG00000040679
ailuropoda_melanoleuca ENSAMEG00000006725
ursus_maritimus ENSUMAG00000021779
canis_lupus ENSCAFG00000016364
dasypus_novemcinctus ENSDNOG00000045689
echinops_telfairi ENSETEG00000014145
loxodonta_africana ENSLAFG00000009340
procavia_capensis ENSPCAG00000012336
ornithorhynchus_anatinus ENSOANG00000013612
denticeps_clupeoides ENSDCDG00000033977
clupea_harengus ENSCHAG00000020047
larimichthys_crocea ENSLCRG00005006550
labrus_bergylta ENSLBEG00000005576
seriola_dumerili ENSSDUG00000017939
seriola_lalandi ENSSLDG00000019604
lates_calcarifer ENSLCAG00010012074
anabas_testudineus ENSATEG00000001628
betta_splendens ENSBSLG00000001704
mastacembelus_armatus ENSMAMG00000002414
amphiprion_ocellaris ENSAOCG00000002994
amphiprion_percula ENSAPEG00000020076
acanthochromis_polyacanthus ENSAPOG00000020811
stegastes_partitus ENSSPAG00000018570
parambassis_ranga ENSPRNG00000021567
poecilia_formosa ENSPFOG00000016759
poecilia_latipinna ENSPLAG00000020459
poecilia_mexicana ENSPMEG00000023328
poecilia_reticulata ENSPREG00000014108
xiphophorus_maculatus ENSXMAG00000022255
xiphophorus_couchianus ENSXCOG00000014064
gambusia_affinis ENSGAFG00000015438
cyprinodon_variegatus ENSCVAG00000016625
kryptolebias_marmoratus ENSKMAG00000017654
oryzias_latipes ENSORLG00000017102
oryzias_latipes ENSORLG00015005471
oryzias_melastigma ENSOMEG00000015491
haplochromis_burtoni ENSHBUG00000013196
pundamilia_nyererei ENSPNYG00000003615
maylandia_zebra ENSMZEG00005001136
astatotilapia_calliptera ENSACLG00000002622
neolamprologus_brichardi ENSNBRG00000011141
oreochromis_niloticus ENSONIG00000000647
amphilophus_citrinellus ENSACIG00000012459
cottoperca_gobio ENSCGOG00000017454
gasterosteus_aculeatus ENSGACG00000004494
takifugu_rubripes ENSTRUG00000006571
tetraodon_nigroviridis ENSTNIG00000012203
mola_mola ENSMMOG00000013421
gouania_willdenowi ENSGWIG00000001429
scophthalmus_maximus ENSSMAG00000018170
cynoglossus_semilaevis ENSCSEG00000013365
periophthalmus_magnuspinnatus ENSPMGG00000008655
hippocampus_comes ENSHCOG00000001991
gadus_morhua ENSGMOG00000020295
hucho_hucho ENSHHUG00000036383
hucho_hucho ENSHHUG00000010138
esox_lucius ENSELUG00000010228
astyanax_mexicanus ENSAMXG00000012618
astyanax_mexicanus ENSAMXG00005004946
pygocentrus_nattereri ENSPNAG00000020402
ictalurus_punctatus ENSIPUG00000006081
danio_rerio ENSDARG00000087745
scleropages_formosus ENSSFOG00015006112
paramormyrops_kingsleyae ENSPKIG00000011307
seriola_dumerili ENSSDUG00000000090
larimichthys_crocea ENSLCRG00005022185
oryzias_latipes ENSORLG00020002642
gadus_morhua ENSGMOG00000002083
denticeps_clupeoides ENSDCDG00000004899
lepisosteus_oculatus ENSLOCG00000003320
erpetoichthys_calabaricus ENSECRG00000010613
