hippocampus_comes ENSHCOG00000015942
periophthalmus_magnuspinnatus ENSPMGG00000016116
poecilia_latipinna ENSPLAG00000018114
poecilia_mexicana ENSPMEG00000020584
poecilia_formosa ENSPFOG00000016267
poecilia_reticulata ENSPREG00000017361
xiphophorus_maculatus ENSXMAG00000002131
xiphophorus_couchianus ENSXCOG00000014562
gambusia_affinis ENSGAFG00000018905
fundulus_heteroclitus ENSFHEG00000003057
cyprinodon_variegatus ENSCVAG00000007416
kryptolebias_marmoratus ENSKMAG00000007210
oryzias_latipes ENSORLG00020001197
oryzias_latipes ENSORLG00000020145
oryzias_latipes_asm223469v1 ENSORLG00015001010
oryzias_melastigma ENSOMEG00000014991
maylandia_zebra ENSMZEG00005006406
astatotilapia_calliptera ENSACLG00000010846
pundamilia_nyererei ENSPNYG00000023296
neolamprologus_brichardi ENSNBRG00000021171
oreochromis_niloticus ENSONIG00000005809
amphilophus_citrinellus ENSACIG00000018181
haplochromis_burtoni ENSHBUG00000021891
takifugu_rubripes ENSTRUG00000023153
tetraodon_nigroviridis ENSTNIG00000019838
cynoglossus_semilaevis ENSCSEG00000015692
mastacembelus_armatus ENSMAMG00000016907
monopterus_albus ENSMALG00000016880
anabas_testudineus ENSATEG00000011230
seriola_dumerili ENSSDUG00000004537
seriola_lalandi_dorsalis ENSSLDG00000004677
scophthalmus_maximus ENSSMAG00000014199
labrus_bergylta ENSLBEG00000001335
gasterosteus_aculeatus ENSGACG00000000306
mola_mola ENSMMOG00000016709
amphiprion_percula ENSAPEG00000017531
amphiprion_ocellaris ENSAOCG00000012125
acanthochromis_polyacanthus ENSAPOG00000011597
stegastes_partitus ENSSPAG00000022590
gadus_morhua ENSGMOG00000010251
pygocentrus_nattereri ENSPNAG00000012598
astyanax_mexicanus ENSAMXG00000012801
ictalurus_punctatus ENSIPUG00000001575
danio_rerio ENSDARG00000020642
esox_lucius ENSELUG00000004515
scleropages_formosus ENSSFOG00015006586
paramormyrops_kingsleyae ENSPKIG00000011945
