rhinopithecus_roxellana ENSRROG00000039641
rhinopithecus_bieti ENSRBIG00000031006
piliocolobus_tephrosceles ENSPTEG00000031267
macaca_mulatta ENSMMUG00000013150
macaca_nemestrina ENSMNEG00000035398
macaca_fascicularis ENSMFAG00000001390
chlorocebus_sabaeus ENSCSAG00000009210
cercocebus_atys ENSCATG00000032315
mandrillus_leucophaeus ENSMLEG00000034177
papio_anubis ENSPANG00000023595
theropithecus_gelada ENSTGEG00000014471
pongo_abelii ENSPPYG00000020608
homo_sapiens ENSG00000133131
pan_troglodytes ENSPTRG00000022157
nomascus_leucogenys ENSNLEG00000013844
colobus_angolensis_palliatus ENSCANG00000034051
rhinopithecus_bieti ENSRBIG00000030243
pan_paniscus ENSPPAG00000032799
gorilla_gorilla ENSGGOG00000011910
rhinopithecus_bieti ENSRBIG00000041106
cebus_capucinus ENSCCAG00000037821
saimiri_boliviensis_boliviensis ENSSBOG00000026286
callithrix_jacchus ENSCJAG00000007983
aotus_nancymaae ENSANAG00000030142
carlito_syrichta ENSTSYG00000006675
propithecus_coquereli ENSPCOG00000021812
prolemur_simus ENSPSMG00000012755
tupaia_belangeri ENSTBEG00000015258
chinchilla_lanigera ENSCLAG00000002445
octodon_degus ENSODEG00000011266
cavia_porcellus ENSCPOG00000010688
heterocephalus_glaber_female ENSHGLG00000003128
heterocephalus_glaber_male ENSHGLG00100019408
fukomys_damarensis ENSFDAG00000012063
urocitellus_parryii ENSUPAG00010013822
spermophilus_dauricus ENSSDAG00000002283
ictidomys_tridecemlineatus ENSSTOG00000013627
marmota_marmota_marmota ENSMMMG00000011436
castor_canadensis ENSCCNG00000026957
dipodomys_ordii ENSDORG00000016171
peromyscus_maniculatus_bairdii ENSPEMG00000008507
microtus_ochrogaster ENSMOCG00000011385
cricetulus_griseus_crigri ENSCGRG00000003587
cricetulus_griseus_crigri-picr ENSCGRG00015017088
cricetulus_griseus_chok1gshd ENSCGRG00001013404
mesocricetus_auratus ENSMAUG00000012890
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034616
mus_spicilegus ENSMSIG00000014692
mus_musculus ENSMUSG00000031434
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033446
mus_pahari MGP_PahariEiJ_G0031985
rattus_norvegicus ENSRNOG00000060846
meriones_unguiculatus ENSMUGG00000024164
nannospalax_galili ENSNGAG00000020758
jaculus_jaculus ENSJJAG00000023626
oryctolagus_cuniculus ENSOCUG00000012633
ochotona_princeps ENSOPRG00000004365
sorex_araneus ENSSARG00000002281
erinaceus_europaeus ENSEEUG00000004257
ursus_maritimus ENSUMAG00000010778
ursus_americanus ENSUAMG00000022030
ailuropoda_melanoleuca ENSAMEG00000002755
mustela_putorius_furo ENSMPUG00000003738
neovison_vison ENSNVIG00000019135
canis_lupus_dingo ENSCAFG00020006778
canis_lupus_familiaris ENSCAFG00000017953
vulpes_vulpes ENSVVUG00000009682
panthera_pardus ENSPPRG00000020370
panthera_tigris_altaica ENSPTIG00000020497
felis_catus ENSFCAG00000005925
pteropus_vampyrus ENSPVAG00000004142
myotis_lucifugus ENSMLUG00000007987
equus_caballus ENSECAG00000011828
equus_asinus_asinus ENSEASG00005019764
bos_taurus ENSBTAG00000005294
bos_taurus ENSBTAG00000045876
bos_mutus ENSBMUG00000002710
bison_bison_bison ENSBBBG00000005255
capra_hircus ENSCHIG00000021874
ovis_aries ENSOARG00000018851
tursiops_truncatus ENSTTRG00000007542
sus_scrofa ENSSSCG00000036091
vicugna_pacos ENSVPAG00000005776
otolemur_garnettii ENSOGAG00000013272
microcebus_murinus ENSMICG00000015693
dasypus_novemcinctus ENSDNOG00000017226
loxodonta_africana ENSLAFG00000012352
echinops_telfairi ENSETEG00000017486
procavia_capensis ENSPCAG00000013505
phascolarctos_cinereus ENSPCIG00000007078
notamacropus_eugenii ENSMEUG00000002646
sarcophilus_harrisii ENSSHAG00000004222
ornithorhynchus_anatinus ENSOANG00000000372
chelonoidis_abingdonii ENSCABG00000009233
gopherus_agassizii ENSGAGG00000015068
chrysemys_picta_bellii ENSCPBG00000001756
pelodiscus_sinensis ENSPSIG00000003935
crocodylus_porosus ENSCPRG00005007034
apteryx_haastii ENSAHAG00000019197
apteryx_rowi ENSARWG00000002476
apteryx_owenii ENSAOWG00000016343
dromaius_novaehollandiae ENSDNVG00000003455
anser_brachyrhynchus ENSABRG00000001210
anas_platyrhynchos_platyrhynchos ENSAPLG00000008858
sphenodon_punctatus ENSSPUG00000018515
pelodiscus_sinensis ENSPSIG00000012445
dromaius_novaehollandiae ENSDNVG00000003462
sphenodon_punctatus ENSSPUG00000018524
latimeria_chalumnae ENSLACG00000012679
