lonchura_striata_domestica ENSLSDG00000013338
taeniopygia_guttata ENSTGUG00000005734
serinus_canaria ENSSCAG00000013309
zonotrichia_albicollis ENSZALG00000015307
junco_hyemalis ENSJHYG00000011005
ficedula_albicollis ENSFALG00000004195
parus_major ENSPMJG00000019719
cyanistes_caeruleus ENSCCEG00000024460
lepidothrix_coronata ENSLCOG00000005871
manacus_vitellinus ENSMVIG00005012439
calidris_pygmaea ENSCPGG00000013456
calidris_pugnax ENSCPUG00000000987
melopsittacus_undulatus ENSMUNG00000013108
meleagris_gallopavo ENSMGAG00000012223
coturnix_japonica ENSCJPG00005013120
gallus_gallus ENSGALG00000033452
numida_meleagris ENSNMEG00000022878
anser_brachyrhynchus ENSABRG00000000228
anas_platyrhynchos_platyrhynchos ENSAPLG00000012094
apteryx_owenii ENSAOWG00000012136
apteryx_haastii ENSAHAG00000010250
apteryx_rowi ENSARWG00000016426
dromaius_novaehollandiae ENSDNVG00000018650
chelonoidis_abingdonii ENSCABG00000014912
gopherus_agassizii ENSGAGG00000005132
chrysemys_picta_bellii ENSCPBG00000013165
pelodiscus_sinensis ENSPSIG00000010441
anolis_carolinensis ENSACAG00000003029
pogona_vitticeps ENSPVIG00000021421
notechis_scutatus ENSNSUG00000012138
salvator_merianae ENSSMRG00000011279
sphenodon_punctatus ENSSPUG00000018987
piliocolobus_tephrosceles ENSPTEG00000039259
cercocebus_atys ENSCATG00000038425
aotus_nancymaae ENSANAG00000025113
microcebus_murinus ENSMICG00000047782
mus_spicilegus ENSMSIG00000018356
cavia_aperea ENSCAPG00000013669
oryctolagus_cuniculus ENSOCUG00000015088
notamacropus_eugenii ENSMEUG00000002750
monodelphis_domestica ENSMODG00000015322
xenopus_tropicalis ENSXETG00000013896
latimeria_chalumnae ENSLACG00000010401
astyanax_mexicanus ENSAMXG00000015131
pygocentrus_nattereri ENSPNAG00000009693
ictalurus_punctatus ENSIPUG00000006338
danio_rerio ENSDARG00000063270
takifugu_rubripes ENSTRUG00000020062
tetraodon_nigroviridis ENSTNIG00000014528
gasterosteus_aculeatus ENSGACG00000015143
cynoglossus_semilaevis ENSCSEG00000010438
hippocampus_comes ENSHCOG00000009888
xiphophorus_maculatus ENSXMAG00000025935
xiphophorus_couchianus ENSXCOG00000020258
gambusia_affinis ENSGAFG00000005664
poecilia_mexicana ENSPMEG00000007273
poecilia_formosa ENSPFOG00000003980
poecilia_latipinna ENSPLAG00000014309
poecilia_reticulata ENSPREG00000010208
cyprinodon_variegatus ENSCVAG00000014895
fundulus_heteroclitus ENSFHEG00000000729
kryptolebias_marmoratus ENSKMAG00000019678
oryzias_latipes ENSORLG00000005285
oryzias_latipes ENSORLG00020016300
oryzias_latipes_asm223469v1 ENSORLG00015014746
oryzias_melastigma ENSOMEG00000007242
astatotilapia_calliptera ENSACLG00000027890
pundamilia_nyererei ENSPNYG00000016414
haplochromis_burtoni ENSHBUG00000007360
maylandia_zebra ENSMZEG00005005803
neolamprologus_brichardi ENSNBRG00000007319
oreochromis_niloticus ENSONIG00000012206
amphilophus_citrinellus ENSACIG00000000674
anabas_testudineus ENSATEG00000003440
monopterus_albus ENSMALG00000010906
mola_mola ENSMMOG00000006221
seriola_lalandi_dorsalis ENSSLDG00000012892
seriola_dumerili ENSSDUG00000021672
scophthalmus_maximus ENSSMAG00000006969
labrus_bergylta ENSLBEG00000025269
mastacembelus_armatus ENSMAMG00000022232
amphiprion_ocellaris ENSAOCG00000016649
amphiprion_percula ENSAPEG00000004582
acanthochromis_polyacanthus ENSAPOG00000004043
stegastes_partitus ENSSPAG00000019605
periophthalmus_magnuspinnatus ENSPMGG00000013014
gadus_morhua ENSGMOG00000004356
esox_lucius ENSELUG00000021648
paramormyrops_kingsleyae ENSPKIG00000008116
scleropages_formosus ENSSFOG00015006297
paramormyrops_kingsleyae ENSPKIG00000002909
scleropages_formosus ENSSFOG00015017310
lepisosteus_oculatus ENSLOCG00000010995
eptatretus_burgeri ENSEBUG00000013481
