bison_bison_bison ENSBBBG00000002819
bos_mutus ENSBMUG00000012011
capra_hircus ENSCHIG00000021172
ovis_aries ENSOARG00000001839
tursiops_truncatus ENSTTRG00000000756
sus_scrofa ENSSSCG00000014011
equus_caballus ENSECAG00000015254
equus_asinus_asinus ENSEASG00005012753
ursus_americanus ENSUAMG00000005103
ursus_maritimus ENSUMAG00000024544
ailuropoda_melanoleuca ENSAMEG00000000806
mustela_putorius_furo ENSMPUG00000000596
neovison_vison ENSNVIG00000010169
canis_lupus_dingo ENSCAFG00020002586
canis_lupus_familiaris ENSCAFG00000000391
vulpes_vulpes ENSVVUG00000026954
panthera_pardus ENSPPRG00000001768
panthera_tigris_altaica ENSPTIG00000021261
felis_catus ENSFCAG00000004472
pteropus_vampyrus ENSPVAG00000012659
myotis_lucifugus ENSMLUG00000009163
castor_canadensis ENSCCNG00000027220
dipodomys_ordii ENSDORG00000003918
mus_musculus ENSMUSG00000020374
mus_spicilegus ENSMSIG00000003892
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017125
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016280
mus_pahari MGP_PahariEiJ_G0017416
rattus_norvegicus ENSRNOG00000003005
meriones_unguiculatus ENSMUGG00000023866
peromyscus_maniculatus_bairdii ENSPEMG00000018905
microtus_ochrogaster ENSMOCG00000017254
cricetulus_griseus_chok1gshd ENSCGRG00001012629
cricetulus_griseus_crigri ENSCGRG00000017493
cricetulus_griseus_crigri-picr ENSCGRG00015026180
mesocricetus_auratus ENSMAUG00000017005
nannospalax_galili ENSNGAG00000020883
jaculus_jaculus ENSJJAG00000016338
urocitellus_parryii ENSUPAG00010013202
spermophilus_dauricus ENSSDAG00000019720
ictidomys_tridecemlineatus ENSSTOG00000002744
marmota_marmota_marmota ENSMMMG00000010333
heterocephalus_glaber_female ENSHGLG00000018254
heterocephalus_glaber_male ENSHGLG00100017590
fukomys_damarensis ENSFDAG00000002366
chinchilla_lanigera ENSCLAG00000010592
oryctolagus_cuniculus ENSOCUG00000013414
ochotona_princeps ENSOPRG00000004623
pan_troglodytes ENSPTRG00000017631
pan_paniscus ENSPPAG00000041803
homo_sapiens ENSG00000146090
gorilla_gorilla ENSGGOG00000003137
pongo_abelii ENSPPYG00000016134
nomascus_leucogenys ENSNLEG00000001943
macaca_nemestrina ENSMNEG00000040323
macaca_fascicularis ENSMFAG00000023088
macaca_mulatta ENSMMUG00000000635
mandrillus_leucophaeus ENSMLEG00000034495
cercocebus_atys ENSCATG00000010154
theropithecus_gelada ENSTGEG00000018740
papio_anubis ENSPANG00000003726
chlorocebus_sabaeus ENSCSAG00000008274
piliocolobus_tephrosceles ENSPTEG00000013357
colobus_angolensis_palliatus ENSCANG00000028254
rhinopithecus_roxellana ENSRROG00000026189
rhinopithecus_bieti ENSRBIG00000038870
saimiri_boliviensis_boliviensis ENSSBOG00000030445
callithrix_jacchus ENSCJAG00000010277
cebus_capucinus ENSCCAG00000024499
aotus_nancymaae ENSANAG00000036683
prolemur_simus ENSPSMG00000000118
propithecus_coquereli ENSPCOG00000018523
propithecus_coquereli ENSPCOG00000020096
bos_taurus ENSBTAG00000055156
otolemur_garnettii ENSOGAG00000016873
dasypus_novemcinctus ENSDNOG00000003003
erinaceus_europaeus ENSEEUG00000009833
loxodonta_africana ENSLAFG00000002749
procavia_capensis ENSPCAG00000003654
echinops_telfairi ENSETEG00000014117
paramormyrops_kingsleyae ENSPKIG00000008127
scleropages_formosus ENSSFOG00015015447
paramormyrops_kingsleyae ENSPKIG00000020926
tetraodon_nigroviridis ENSTNIG00000010506
takifugu_rubripes ENSTRUG00000000322
xiphophorus_couchianus ENSXCOG00000003383
periophthalmus_magnuspinnatus ENSPMGG00000020829
mola_mola ENSMMOG00000003263
cynoglossus_semilaevis ENSCSEG00000011079
