amphiprion_ocellaris ENSAOCG00000012216
amphiprion_percula ENSAPEG00000009906
acanthochromis_polyacanthus ENSAPOG00000002234
haplochromis_burtoni ENSHBUG00000021702
astatotilapia_calliptera ENSACLG00000025169
neolamprologus_brichardi ENSNBRG00000001853
poecilia_latipinna ENSPLAG00000015886
xiphophorus_couchianus ENSXCOG00000020530
kryptolebias_marmoratus ENSKMAG00000001000
oryzias_latipes ENSORLG00020021312
oryzias_melastigma ENSOMEG00000002133
periophthalmus_magnuspinnatus ENSPMGG00000015437
anabas_testudineus ENSATEG00000009417
