cavia_aperea ENSCAPG00000004621
mesocricetus_auratus ENSMAUG00000000494
choloepus_hoffmanni ENSCHOG00000011942
castor_canadensis ENSCCNG00000015293
dipodomys_ordii ENSDORG00000011509
mus_musculus ENSMUSG00000040767
mus_spicilegus ENSMSIG00000024344
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017021
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016176
mus_pahari MGP_PahariEiJ_G0017312
rattus_norvegicus ENSRNOG00000020626
meriones_unguiculatus ENSMUGG00000002066
cricetulus_griseus_chok1gshd ENSCGRG00001020306
cricetulus_griseus_crigri ENSCGRG00000005190
cricetulus_griseus_crigri-picr ENSCGRG00015019844
peromyscus_maniculatus_bairdii ENSPEMG00000000454
microtus_ochrogaster ENSMOCG00000014142
nannospalax_galili ENSNGAG00000016910
jaculus_jaculus ENSJJAG00000021564
jaculus_jaculus ENSJJAG00000000714
carlito_syrichta ENSTSYG00000029174
carlito_syrichta ENSTSYG00000029428
carlito_syrichta ENSTSYG00000000091
heterocephalus_glaber_male ENSHGLG00100008684
heterocephalus_glaber_female ENSHGLG00000002464
fukomys_damarensis ENSFDAG00000010402
chinchilla_lanigera ENSCLAG00000015828
cavia_porcellus ENSCPOG00000040718
octodon_degus ENSODEG00000016175
ictidomys_tridecemlineatus ENSSTOG00000010952
urocitellus_parryii ENSUPAG00010012763
spermophilus_dauricus ENSSDAG00000019595
marmota_marmota_marmota ENSMMMG00000018760
prolemur_simus ENSPSMG00000011412
propithecus_coquereli ENSPCOG00000018693
microcebus_murinus ENSMICG00000036732
otolemur_garnettii ENSOGAG00000002527
cebus_capucinus ENSCCAG00000019612
cebus_capucinus ENSCCAG00000014908
saimiri_boliviensis_boliviensis ENSSBOG00000027397
callithrix_jacchus ENSCJAG00000011572
aotus_nancymaae ENSANAG00000028810
aotus_nancymaae ENSANAG00000024025
pan_paniscus ENSPPAG00000032690
pan_troglodytes ENSPTRG00000007526
homo_sapiens ENSG00000161981
gorilla_gorilla ENSGGOG00000041586
gorilla_gorilla ENSGGOG00000038990
pongo_abelii ENSPPYG00000006894
nomascus_leucogenys ENSNLEG00000007946
rhinopithecus_bieti ENSRBIG00000044248
rhinopithecus_roxellana ENSRROG00000032621
colobus_angolensis_palliatus ENSCANG00000032430
piliocolobus_tephrosceles ENSPTEG00000007039
macaca_fascicularis ENSMFAG00000042669
macaca_nemestrina ENSMNEG00000036171
macaca_mulatta ENSMMUG00000047475
papio_anubis ENSPANG00000009311
mandrillus_leucophaeus ENSMLEG00000039570
theropithecus_gelada ENSTGEG00000008630
cercocebus_atys ENSCATG00000013144
chlorocebus_sabaeus ENSCSAG00000013178
ursus_americanus ENSUAMG00000013848
ursus_maritimus ENSUMAG00000020736
ailuropoda_melanoleuca ENSAMEG00000006781
neovison_vison ENSNVIG00000014409
mustela_putorius_furo ENSMPUG00000016075
canis_lupus_dingo ENSCAFG00020009344
canis_lupus_familiaris ENSCAFG00000032338
vulpes_vulpes ENSVVUG00000013635
panthera_pardus ENSPPRG00000014083
panthera_tigris_altaica ENSPTIG00000013574
felis_catus ENSFCAG00000009111
equus_caballus ENSECAG00000024913
equus_asinus_asinus ENSEASG00005017861
pteropus_vampyrus ENSPVAG00000000531
myotis_lucifugus ENSMLUG00000015600
bos_taurus ENSBTAG00000019804
bos_mutus ENSBMUG00000024576
bison_bison_bison ENSBBBG00000015440
capra_hircus ENSCHIG00000002314
ovis_aries ENSOARG00000010438
sus_scrofa ENSSSCG00000007962
tursiops_truncatus ENSTTRG00000012049
vicugna_pacos ENSVPAG00000003439
procavia_capensis ENSPCAG00000009469
loxodonta_africana ENSLAFG00000030883
oryctolagus_cuniculus ENSOCUG00000013614
ochotona_princeps ENSOPRG00000005515
dasypus_novemcinctus ENSDNOG00000004574
phascolarctos_cinereus ENSPCIG00000026350
monodelphis_domestica ENSMODG00000016609
sarcophilus_harrisii ENSSHAG00000009853
ornithorhynchus_anatinus ENSOANG00000010976
chrysemys_picta_bellii ENSCPBG00000026405
chelonoidis_abingdonii ENSCABG00000002020
pelodiscus_sinensis ENSPSIG00000012552
apteryx_haastii ENSAHAG00000010330
apteryx_rowi ENSARWG00000005944
dromaius_novaehollandiae ENSDNVG00000001285
gallus_gallus ENSGALG00000026559
gopherus_agassizii ENSGAGG00000024227
anolis_carolinensis ENSACAG00000016514
notechis_scutatus ENSNSUG00000004304
salvator_merianae ENSSMRG00000006542
sphenodon_punctatus ENSSPUG00000019092
zonotrichia_albicollis ENSZALG00000016668
junco_hyemalis ENSJHYG00000017495
lonchura_striata_domestica ENSLSDG00000004814
serinus_canaria ENSSCAG00000012038
lepidothrix_coronata ENSLCOG00000009658
calidris_pygmaea ENSCPGG00000007663
numida_meleagris ENSNMEG00000003912
calidris_pugnax ENSCPUG00000016908
parus_major ENSPMJG00000010275
anser_brachyrhynchus ENSABRG00000022681
coturnix_japonica ENSCJPG00005016280
melopsittacus_undulatus ENSMUNG00000005870
nothoprocta_perdicaria ENSNPEG00000009411
xenopus_tropicalis ENSXETG00000001143
latimeria_chalumnae ENSLACG00000014553
astyanax_mexicanus ENSAMXG00000040057
pygocentrus_nattereri ENSPNAG00000012116
ictalurus_punctatus ENSIPUG00000019654
danio_rerio ENSDARG00000020363
cynoglossus_semilaevis ENSCSEG00000010377
periophthalmus_magnuspinnatus ENSPMGG00000004241
anabas_testudineus ENSATEG00000004448
mola_mola ENSMMOG00000014833
amphiprion_ocellaris ENSAOCG00000022144
amphiprion_percula ENSAPEG00000011611
acanthochromis_polyacanthus ENSAPOG00000023884
stegastes_partitus ENSSPAG00000013864
poecilia_formosa ENSPFOG00000010725
poecilia_latipinna ENSPLAG00000002374
poecilia_reticulata ENSPREG00000007855
xiphophorus_couchianus ENSXCOG00000011121
xiphophorus_maculatus ENSXMAG00000000112
gambusia_affinis ENSGAFG00000017941
fundulus_heteroclitus ENSFHEG00000002723
cyprinodon_variegatus ENSCVAG00000015761
kryptolebias_marmoratus ENSKMAG00000018707
oryzias_latipes ENSORLG00000005104
oryzias_latipes_asm223469v1 ENSORLG00015018351
oryzias_latipes ENSORLG00020005222
oryzias_melastigma ENSOMEG00000023980
pundamilia_nyererei ENSPNYG00000007982
astatotilapia_calliptera ENSACLG00000006296
maylandia_zebra ENSMZEG00005022456
haplochromis_burtoni ENSHBUG00000003528
oreochromis_niloticus ENSONIG00000001423
neolamprologus_brichardi ENSNBRG00000014963
amphilophus_citrinellus ENSACIG00000023292
gasterosteus_aculeatus ENSGACG00000013984
seriola_dumerili ENSSDUG00000019172
seriola_lalandi_dorsalis ENSSLDG00000010882
scophthalmus_maximus ENSSMAG00000005024
monopterus_albus ENSMALG00000020777
mastacembelus_armatus ENSMAMG00000002897
tetraodon_nigroviridis ENSTNIG00000018585
takifugu_rubripes ENSTRUG00000023090
labrus_bergylta ENSLBEG00000024038
hippocampus_comes ENSHCOG00000007360
gadus_morhua ENSGMOG00000004344
esox_lucius ENSELUG00000021577
scleropages_formosus ENSSFOG00015014612
paramormyrops_kingsleyae ENSPKIG00000020652
lepisosteus_oculatus ENSLOCG00000007572
eptatretus_burgeri ENSEBUG00000006602
ciona_intestinalis ENSCING00000019722
