xiphophorus_maculatus ENSXMAG00000000277
xiphophorus_couchianus ENSXCOG00000010996
gambusia_affinis ENSGAFG00000017945
poecilia_formosa ENSPFOG00000006262
poecilia_mexicana ENSPMEG00000001763
poecilia_latipinna ENSPLAG00000009254
poecilia_reticulata ENSPREG00000022251
fundulus_heteroclitus ENSFHEG00000008958
cyprinodon_variegatus ENSCVAG00000009403
oryzias_melastigma ENSOMEG00000015938
astatotilapia_calliptera ENSACLG00000018461
maylandia_zebra ENSMZEG00005005537
pundamilia_nyererei ENSPNYG00000007587
haplochromis_burtoni ENSHBUG00000019137
neolamprologus_brichardi ENSNBRG00000008647
amphilophus_citrinellus ENSACIG00000002813
periophthalmus_magnuspinnatus ENSPMGG00000011303
seriola_dumerili ENSSDUG00000011570
anabas_testudineus ENSATEG00000006487
amphiprion_percula ENSAPEG00000020623
amphiprion_ocellaris ENSAOCG00000003956
acanthochromis_polyacanthus ENSAPOG00000018077
monopterus_albus ENSMALG00000011839
labrus_bergylta ENSLBEG00000011142
gasterosteus_aculeatus ENSGACG00000006782
gadus_morhua ENSGMOG00000017044
