pygocentrus_nattereri ENSPNAG00000013907
astyanax_mexicanus ENSAMXG00000018171
ictalurus_punctatus ENSIPUG00000008412
anabas_testudineus ENSATEG00000019039
gasterosteus_aculeatus ENSGACG00000016833
maylandia_zebra ENSMZEG00005018684
astatotilapia_calliptera ENSACLG00000013936
scophthalmus_maximus ENSSMAG00000002914
cynoglossus_semilaevis ENSCSEG00000016732
tetraodon_nigroviridis ENSTNIG00000009044
poecilia_mexicana ENSPMEG00000012503
poecilia_formosa ENSPFOG00000019813
cyprinodon_variegatus ENSCVAG00000021976
kryptolebias_marmoratus ENSKMAG00000017168
oryzias_latipes ENSORLG00000007559
oryzias_latipes ENSORLG00020018616
amphiprion_ocellaris ENSAOCG00000020231
amphiprion_percula ENSAPEG00000013661
mola_mola ENSMMOG00000009570
hippocampus_comes ENSHCOG00000018979
gadus_morhua ENSGMOG00000013700
esox_lucius ENSELUG00000007634
scleropages_formosus ENSSFOG00015022879
paramormyrops_kingsleyae ENSPKIG00000020736
lepisosteus_oculatus ENSLOCG00000010071
chelonoidis_abingdonii ENSCABG00000004750
gopherus_agassizii ENSGAGG00000020646
chrysemys_picta_bellii ENSCPBG00000025493
pelodiscus_sinensis ENSPSIG00000005246
gallus_gallus ENSGALG00000019756
coturnix_japonica ENSCJPG00005003245
meleagris_gallopavo ENSMGAG00000005363
numida_meleagris ENSNMEG00000010054
calidris_pygmaea ENSCPGG00000008736
cyanistes_caeruleus ENSCCEG00000015967
anser_brachyrhynchus ENSABRG00000021784
anas_platyrhynchos_platyrhynchos ENSAPLG00000003877
melopsittacus_undulatus ENSMUNG00000015887
calidris_pugnax ENSCPUG00000018495
serinus_canaria ENSSCAG00000001433
taeniopygia_guttata ENSTGUG00000018271
zonotrichia_albicollis ENSZALG00000012955
parus_major ENSPMJG00000016227
ficedula_albicollis ENSFALG00000010606
manacus_vitellinus ENSMVIG00005010202
lepidothrix_coronata ENSLCOG00000003777
apteryx_owenii ENSAOWG00000000882
apteryx_haastii ENSAHAG00000006869
apteryx_rowi ENSARWG00000004608
nothoprocta_perdicaria ENSNPEG00000009431
dromaius_novaehollandiae ENSDNVG00000014849
pogona_vitticeps ENSPVIG00000020770
anolis_carolinensis ENSACAG00000004131
salvator_merianae ENSSMRG00000012325
ailuropoda_melanoleuca ENSAMEG00000000942
ursus_maritimus ENSUMAG00000021216
mustela_putorius_furo ENSMPUG00000008362
neovison_vison ENSNVIG00000013119
canis_lupus_familiaris ENSCAFG00000001354
canis_lupus_dingo ENSCAFG00020011499
vulpes_vulpes ENSVVUG00000020289
panthera_tigris_altaica ENSPTIG00000017552
panthera_pardus ENSPPRG00000015692
felis_catus ENSFCAG00000032990
equus_caballus ENSECAG00000009103
sorex_araneus ENSSARG00000013125
erinaceus_europaeus ENSEEUG00000005241
tursiops_truncatus ENSTTRG00000012076
sus_scrofa ENSSSCG00000005206
bos_taurus ENSBTAG00000007440
bos_mutus ENSBMUG00000004855
bison_bison_bison ENSBBBG00000023121
capra_hircus ENSCHIG00000014493
ovis_aries ENSOARG00000013585
vicugna_pacos ENSVPAG00000012372
pteropus_vampyrus ENSPVAG00000003350
