panthera_pardus ENSPPRG00000013223
panthera_tigris_altaica ENSPTIG00000015316
bos_mutus ENSBMUG00000012585
ursus_americanus ENSUAMG00000019151
ursus_maritimus ENSUMAG00000022886
ailuropoda_melanoleuca ENSAMEG00000009716
neovison_vison ENSNVIG00000008169
mustela_putorius_furo ENSMPUG00000016423
canis_lupus_dingo ENSCAFG00020008469
canis_lupus_familiaris ENSCAFG00000029614
vulpes_vulpes ENSVVUG00000028472
felis_catus ENSFCAG00000000061
pteropus_vampyrus ENSPVAG00000001948
myotis_lucifugus ENSMLUG00000006843
erinaceus_europaeus ENSEEUG00000005886
equus_caballus ENSECAG00000009631
equus_asinus_asinus ENSEASG00005017789
bison_bison_bison ENSBBBG00000021991
bos_taurus ENSBTAG00000014777
capra_hircus ENSCHIG00000016841
ovis_aries ENSOARG00000000874
tursiops_truncatus ENSTTRG00000010077
sus_scrofa ENSSSCG00000003420
chinchilla_lanigera ENSCLAG00000004528
octodon_degus ENSODEG00000012870
cavia_aperea ENSCAPG00000011351
cavia_porcellus ENSCPOG00000037191
heterocephalus_glaber_male ENSHGLG00100013796
heterocephalus_glaber_female ENSHGLG00000009269
fukomys_damarensis ENSFDAG00000008255
oryctolagus_cuniculus ENSOCUG00000024728
ochotona_princeps ENSOPRG00000012266
sorex_araneus ENSSARG00000008427
prolemur_simus ENSPSMG00000024635
propithecus_coquereli ENSPCOG00000016176
microcebus_murinus ENSMICG00000045545
otolemur_garnettii ENSOGAG00000009712
pan_troglodytes ENSPTRG00000000148
pan_paniscus ENSPPAG00000037077
homo_sapiens ENSG00000116663
gorilla_gorilla ENSGGOG00000009401
pongo_abelii ENSPPYG00000001886
nomascus_leucogenys ENSNLEG00000027394
rhinopithecus_bieti ENSRBIG00000037458
rhinopithecus_roxellana ENSRROG00000042158
colobus_angolensis_palliatus ENSCANG00000009189
piliocolobus_tephrosceles ENSPTEG00000032624
macaca_nemestrina ENSMNEG00000021684
macaca_fascicularis ENSMFAG00000043439
macaca_mulatta ENSMMUG00000023668
chlorocebus_sabaeus ENSCSAG00000000796
theropithecus_gelada ENSTGEG00000020242
papio_anubis ENSPANG00000005053
cercocebus_atys ENSCATG00000030343
mandrillus_leucophaeus ENSMLEG00000040118
cebus_capucinus ENSCCAG00000019334
saimiri_boliviensis_boliviensis ENSSBOG00000028980
callithrix_jacchus ENSCJAG00000013250
aotus_nancymaae ENSANAG00000033362
peromyscus_maniculatus_bairdii ENSPEMG00000010206
microtus_ochrogaster ENSMOCG00000015460
cricetulus_griseus_crigri ENSCGRG00000005243
cricetulus_griseus_chok1gshd ENSCGRG00001023002
cricetulus_griseus_crigri-picr ENSCGRG00015002391
mesocricetus_auratus ENSMAUG00000007924
mus_musculus ENSMUSG00000055401
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027788
mus_spicilegus ENSMSIG00000026164
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026795
mus_pahari MGP_PahariEiJ_G0029143
rattus_norvegicus ENSRNOG00000009217
meriones_unguiculatus ENSMUGG00000019397
nannospalax_galili ENSNGAG00000020497
jaculus_jaculus ENSJJAG00000000468
castor_canadensis ENSCCNG00000025265
marmota_marmota_marmota ENSMMMG00000016731
spermophilus_dauricus ENSSDAG00000002036
urocitellus_parryii ENSUPAG00010003574
ictidomys_tridecemlineatus ENSSTOG00000009949
tupaia_belangeri ENSTBEG00000014842
carlito_syrichta ENSTSYG00000032786
loxodonta_africana ENSLAFG00000016252
procavia_capensis ENSPCAG00000015539
echinops_telfairi ENSETEG00000014674
dasypus_novemcinctus ENSDNOG00000008320
sarcophilus_harrisii ENSSHAG00000010236
notamacropus_eugenii ENSMEUG00000003344
phascolarctos_cinereus ENSPCIG00000015670
sarcophilus_harrisii ENSSHAG00000010338
ornithorhynchus_anatinus ENSOANG00000030587
ursus_americanus ENSUAMG00000019150
ailuropoda_melanoleuca ENSAMEG00000009712
equus_caballus ENSECAG00000031888
tursiops_truncatus ENSTTRG00000010076
vicugna_pacos ENSVPAG00000009763
erinaceus_europaeus ENSEEUG00000011292
papio_anubis ENSPANG00000005412
theropithecus_gelada ENSTGEG00000020221
macaca_mulatta ENSMMUG00000032251
macaca_nemestrina ENSMNEG00000044320
chlorocebus_sabaeus ENSCSAG00000000795
homo_sapiens ENSG00000132879
pongo_abelii ENSPPYG00000001887
prolemur_simus ENSPSMG00000024630
propithecus_coquereli ENSPCOG00000020176
spermophilus_dauricus ENSSDAG00000002026
ochotona_princeps ENSOPRG00000012256
pteropus_vampyrus ENSPVAG00000001947
procavia_capensis ENSPCAG00000015585
echinops_telfairi ENSETEG00000000056
vulpes_vulpes ENSVVUG00000024388
nomascus_leucogenys ENSNLEG00000028026
crocodylus_porosus ENSCPRG00005014717
