papio_anubis ENSPANG00000031187
cercocebus_atys ENSCATG00000018001
mandrillus_leucophaeus ENSMLEG00000034593
rhinopithecus_roxellana ENSRROG00000040904
rhinopithecus_bieti ENSRBIG00000029839
colobus_angolensis_palliatus ENSCANG00000042717
pan_troglodytes ENSPTRG00000033690
pan_paniscus ENSPPAG00000034609
gorilla_gorilla ENSGGOG00000005417
nomascus_leucogenys ENSNLEG00000002603
callithrix_jacchus ENSCJAG00000046705
saimiri_boliviensis_boliviensis ENSSBOG00000022128
piliocolobus_tephrosceles ENSPTEG00000022954
theropithecus_gelada ENSTGEG00000015957
pongo_abelii ENSPPYG00000004944
vicugna_pacos ENSVPAG00000008399
