labrus_bergylta ENSLBEG00000002434
gasterosteus_aculeatus ENSGACG00000004821
seriola_dumerili ENSSDUG00000007853
seriola_lalandi_dorsalis ENSSLDG00000009774
scophthalmus_maximus ENSSMAG00000006710
takifugu_rubripes ENSTRUG00000017043
tetraodon_nigroviridis ENSTNIG00000012942
mola_mola ENSMMOG00000003604
cynoglossus_semilaevis ENSCSEG00000020482
fundulus_heteroclitus ENSFHEG00000016608
cyprinodon_variegatus ENSCVAG00000002262
xiphophorus_maculatus ENSXMAG00000000655
xiphophorus_couchianus ENSXCOG00000000228
gambusia_affinis ENSGAFG00000008159
poecilia_mexicana ENSPMEG00000010086
poecilia_latipinna ENSPLAG00000001281
poecilia_formosa ENSPFOG00000016956
poecilia_reticulata ENSPREG00000020780
kryptolebias_marmoratus ENSKMAG00000005445
oryzias_latipes_asm223469v1 ENSORLG00015006255
oryzias_latipes ENSORLG00000002517
oryzias_latipes ENSORLG00020007611
oryzias_melastigma ENSOMEG00000008740
maylandia_zebra ENSMZEG00005019149
haplochromis_burtoni ENSHBUG00000022961
pundamilia_nyererei ENSPNYG00000004177
neolamprologus_brichardi ENSNBRG00000004619
oreochromis_niloticus ENSONIG00000019699
astatotilapia_calliptera ENSACLG00000019020
amphilophus_citrinellus ENSACIG00000021497
amphiprion_percula ENSAPEG00000020436
amphiprion_ocellaris ENSAOCG00000021226
acanthochromis_polyacanthus ENSAPOG00000012489
stegastes_partitus ENSSPAG00000022921
mastacembelus_armatus ENSMAMG00000003543
monopterus_albus ENSMALG00000014180
anabas_testudineus ENSATEG00000006910
hippocampus_comes ENSHCOG00000009959
periophthalmus_magnuspinnatus ENSPMGG00000003413
gadus_morhua ENSGMOG00000013414
esox_lucius ENSELUG00000019959
pygocentrus_nattereri ENSPNAG00000019709
astyanax_mexicanus ENSAMXG00000007483
ictalurus_punctatus ENSIPUG00000000903
danio_rerio ENSDARG00000075903
takifugu_rubripes ENSTRUG00000007863
tetraodon_nigroviridis ENSTNIG00000005098
mola_mola ENSMMOG00000002686
gasterosteus_aculeatus ENSGACG00000007654
mastacembelus_armatus ENSMAMG00000007220
monopterus_albus ENSMALG00000013137
anabas_testudineus ENSATEG00000007562
seriola_dumerili ENSSDUG00000000118
seriola_lalandi_dorsalis ENSSLDG00000018769
scophthalmus_maximus ENSSMAG00000005932
amphiprion_percula ENSAPEG00000012164
acanthochromis_polyacanthus ENSAPOG00000013987
stegastes_partitus ENSSPAG00000017714
astatotilapia_calliptera ENSACLG00000014070
maylandia_zebra ENSMZEG00005003455
pundamilia_nyererei ENSPNYG00000024060
haplochromis_burtoni ENSHBUG00000017537
oreochromis_niloticus ENSONIG00000008467
amphilophus_citrinellus ENSACIG00000009692
xiphophorus_maculatus ENSXMAG00000025962
xiphophorus_couchianus ENSXCOG00000014237
poecilia_formosa ENSPFOG00000024598
cyprinodon_variegatus ENSCVAG00000010467
kryptolebias_marmoratus ENSKMAG00000015130
oryzias_latipes ENSORLG00020008012
oryzias_latipes ENSORLG00000014083
oryzias_latipes_asm223469v1 ENSORLG00015019191
oryzias_melastigma ENSOMEG00000016273
oryzias_melastigma ENSOMEG00000005555
hippocampus_comes ENSHCOG00000014158
periophthalmus_magnuspinnatus ENSPMGG00000017931
gadus_morhua ENSGMOG00000002035
esox_lucius ENSELUG00000007480
paramormyrops_kingsleyae ENSPKIG00000003436
scleropages_formosus ENSSFOG00015013966
paramormyrops_kingsleyae ENSPKIG00000009110
scleropages_formosus ENSSFOG00015011414
