procavia_capensis ENSPCAG00000017060
loxodonta_africana ENSLAFG00000018262
echinops_telfairi ENSETEG00000017812
dasypus_novemcinctus ENSDNOG00000038776
erinaceus_europaeus ENSEEUG00000010410
cebus_capucinus ENSCCAG00000022808
callithrix_jacchus ENSCJAG00000013151
saimiri_boliviensis_boliviensis ENSSBOG00000031173
aotus_nancymaae ENSANAG00000021942
pan_troglodytes ENSPTRG00000007591
pan_paniscus ENSPPAG00000043365
gorilla_gorilla ENSGGOG00000014915
homo_sapiens ENSG00000059145
pongo_abelii ENSPPYG00000006950
nomascus_leucogenys ENSNLEG00000008624
theropithecus_gelada ENSTGEG00000005160
papio_anubis ENSPANG00000015754
cercocebus_atys ENSCATG00000033183
mandrillus_leucophaeus ENSMLEG00000037946
macaca_fascicularis ENSMFAG00000000632
macaca_nemestrina ENSMNEG00000036131
chlorocebus_sabaeus ENSCSAG00000011709
piliocolobus_tephrosceles ENSPTEG00000035716
colobus_angolensis_palliatus ENSCANG00000036315
rhinopithecus_roxellana ENSRROG00000029341
macaca_mulatta ENSMMUG00000012440
rhinopithecus_bieti ENSRBIG00000040235
carlito_syrichta ENSTSYG00000033619
propithecus_coquereli ENSPCOG00000017889
prolemur_simus ENSPSMG00000024857
microcebus_murinus ENSMICG00000007141
otolemur_garnettii ENSOGAG00000027777
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022136
mus_musculus ENSMUSG00000015127
mus_spicilegus ENSMSIG00000011290
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021225
mus_pahari MGP_PahariEiJ_G0023543
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021226
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022137
mus_pahari MGP_PahariEiJ_G0023544
rattus_norvegicus ENSRNOG00000054605
meriones_unguiculatus ENSMUGG00000016161
cricetulus_griseus_crigri-picr ENSCGRG00015016594
cricetulus_griseus_chok1gshd ENSCGRG00001014153
cricetulus_griseus_crigri ENSCGRG00000010384
mesocricetus_auratus ENSMAUG00000016281
microtus_ochrogaster ENSMOCG00000011424
peromyscus_maniculatus_bairdii ENSPEMG00000008937
nannospalax_galili ENSNGAG00000002821
jaculus_jaculus ENSJJAG00000011047
castor_canadensis ENSCCNG00000031290
chinchilla_lanigera ENSCLAG00000015420
octodon_degus ENSODEG00000017747
cavia_porcellus ENSCPOG00000011846
cavia_aperea ENSCAPG00000014785
heterocephalus_glaber_male ENSHGLG00100007463
heterocephalus_glaber_female ENSHGLG00000001586
fukomys_damarensis ENSFDAG00000012134
dipodomys_ordii ENSDORG00000015663
urocitellus_parryii ENSUPAG00010014554
ictidomys_tridecemlineatus ENSSTOG00000003487
spermophilus_dauricus ENSSDAG00000017036
marmota_marmota_marmota ENSMMMG00000015853
capra_hircus ENSCHIG00000025940
ovis_aries ENSOARG00000015636
bos_taurus ENSBTAG00000014126
bos_mutus ENSBMUG00000022212
bison_bison_bison ENSBBBG00000015583
tursiops_truncatus ENSTTRG00000011985
sus_scrofa ENSSSCG00000022963
ursus_americanus ENSUAMG00000013279
ailuropoda_melanoleuca ENSAMEG00000007925
neovison_vison ENSNVIG00000018903
mustela_putorius_furo ENSMPUG00000015653
canis_lupus_familiaris ENSCAFG00000019581
canis_lupus_dingo ENSCAFG00020001284
vulpes_vulpes ENSVVUG00000011182
felis_catus ENSFCAG00000010643
panthera_pardus ENSPPRG00000018472
panthera_tigris_altaica ENSPTIG00000000863
