peromyscus_maniculatus_bairdii ENSPEMG00000024532
cricetulus_griseus_crigri-picr ENSCGRG00015014494
mus_spicilegus ENSMSIG00000029413
mus_spicilegus ENSMSIG00000001685
meriones_unguiculatus ENSMUGG00000024048
castor_canadensis ENSCCNG00000004574
castor_canadensis ENSCCNG00000023938
urocitellus_parryii ENSUPAG00010006147
marmota_marmota_marmota ENSMMMG00000006962
prolemur_simus ENSPSMG00000002616
canis_lupus_dingo ENSCAFG00020017098
vulpes_vulpes ENSVVUG00000015527
ursus_americanus ENSUAMG00000002727
equus_asinus_asinus ENSEASG00005000654
equus_caballus ENSECAG00000035172
bos_taurus ENSBTAG00000051511
bos_mutus ENSBMUG00000014076
