saimiri_boliviensis_boliviensis ENSSBOG00000033814
callithrix_jacchus ENSCJAG00000039423
pan_troglodytes ENSPTRG00000046733
pan_paniscus ENSPPAG00000019511
nomascus_leucogenys ENSNLEG00000030587
rhinopithecus_bieti ENSRBIG00000021834
rhinopithecus_roxellana ENSRROG00000027385
piliocolobus_tephrosceles ENSPTEG00000006462
colobus_angolensis_palliatus ENSCANG00000018972
mandrillus_leucophaeus ENSMLEG00000027217
cercocebus_atys ENSCATG00000019622
macaca_mulatta ENSMMUG00000038572
macaca_fascicularis ENSMFAG00000014209
macaca_nemestrina ENSMNEG00000019548
theropithecus_gelada ENSTGEG00000026090
papio_anubis ENSPANG00000030712
microcebus_murinus ENSMICG00000049247
propithecus_coquereli ENSPCOG00000022989
spermophilus_dauricus ENSSDAG00000014157
urocitellus_parryii ENSUPAG00010018716
marmota_marmota_marmota ENSMMMG00000010691
castor_canadensis ENSCCNG00000028593
capra_hircus ENSCHIG00000027056
