canis_lupus_familiaris ENSCAFG00000029861
mustela_putorius_furo ENSMPUG00000004397
panthera_tigris_altaica ENSPTIG00000006934
bos_taurus ENSBTAG00000051802
capra_hircus ENSCHIG00000022688
sus_scrofa ENSSSCG00000033965
meriones_unguiculatus ENSMUGG00000011247
phascolarctos_cinereus ENSPCIG00000010507
sphenodon_punctatus ENSSPUG00000005038
pogona_vitticeps ENSPVIG00000009928
junco_hyemalis ENSJHYG00000010387
zonotrichia_albicollis ENSZALG00000012592
manacus_vitellinus ENSMVIG00005017412
anas_platyrhynchos_platyrhynchos ENSAPLG00000026476
chelonoidis_abingdonii ENSCABG00000004260
periophthalmus_magnuspinnatus ENSPMGG00000002669
